,Households,NPISHs,Central government,Local government,Total,Gross fixed capital formation,Valuables,Change in inventories,Total,Non-resident households,"Rest of
UK
exports",Rest of world exports,Total,Total final use, Total use for industry output
Agriculture,885.4636683999219,0.6511879550162258,0.1064797011338683,1.857052644102862,888.0783887001749,114.126232147057,0.0009652798256978844,14.70541972764292,128.8326171545256,51.01699369789591,783.6848103701633,163.2216268955888,997.923430963648,2014.834436818348,2929.721761215415
Forestry planting,10.95705155606182,0.9396140534410891,0,0.5922307834995916,12.4888963930025,7.605994794218958,-0.0002051757861234735,-4.908851684525839,2.696937933906995,9.67064474984845,4.429187497851011,2.387977878103022,16.48781012580248,31.67364445271198,162.2108378954456
Forestry harvesting,11.79679235483364,0.146919418565429,0.04242883863549812,0.3280212393609903,12.31416185139556,0.961041226560129,0,26.57640368754297,27.5374449141031,0.2722491878637158,64.66282643855476,17.40618875890178,82.34126438532026,122.1928711508189,300.9826668744004
Fishing,10.5118957145824,0.09861883462009781,0.01960743365992204,0.4489404164695081,11.07906239933192,0.1388790712426319,0,-10.28235056480256,-10.14347149355993,3.618485497057786,43.77184009420454,142.8692310922669,190.2595566835292,191.1951475893012,299.5290019839526
Aquaculture,23.14962155460651,0.1924955948320873,0.03812774270529816,0.8801840584749814,24.26042895061888,0.1674917358890768,0,6.966238672116884,7.13373040800596,4.239155746882298,180.4791093555043,125.6109358919774,310.329200994364,341.7233603529888,585.4832405599843
Coal & lignite,7.045128022723588,0.0009419535080308327,0,0,7.046069976231619,1.306221696007786,0,-19.30235861890091,-17.99613692289312,0.5521291966868219,212.0126853018253,2.561271162270998,215.1260856607831,204.1760187141216,276.7428902342731
"Oil & gas extraction, metal ores & other",12.73500240849774,0.005787955646654293,0,0,12.74079036414439,1.119470834060423,0,6.413035482674189,7.532506316734612,0.8523251712269471,65.96789238796418,89.18512491206319,156.0053424712543,176.2786391521333,380.2550698223039
Mining Support,116.7371417946012,0.0722009845570516,0,0,116.8093427791583,21.53024496344148,0,3.884516800453906,25.41476176389539,11.11707109381276,2456.729270743063,350.0356505695831,2817.881992406459,2960.106096949513,3410.326191272087
Meat processing,338.7045087455833,0.02196715727340888,0,0,338.7264759028567,1.486361482870211,0,1.186778465373456,2.673139948243668,9.413920869157185,636.9184947236047,94.04023743928549,740.3726530320473,1081.772268883148,1288.192541556345
Fish & fruit processing,183.924557853709,0.0303108251797825,0,0,183.9548686788888,0.9778739313055886,0,-1.907571971432072,-0.9296980401264838,3.835927871059964,554.9881905166802,301.7186346132752,860.5427530010154,1043.567923639778,1185.149874166998
"Dairy products, oils & fats processing",227.8943717963693,0.001408488795026486,0,0,227.8957802851643,0.7091355783052576,0,1.393954674243993,2.103090252549251,5.579353045548068,303.909711516878,14.90975036548785,324.3988149279139,554.3976854656274,633.1909075646716
Grain milling & starch,9.671306169073667,0.00108009406123487,0,0,9.672386263134902,0.1594294809878022,0,0.08096427002329835,0.2403937510111006,0.2711064423522342,43.28835061052571,5.586749943531555,49.1462069964095,59.05898701055551,85.82317839793528
Bakery & farinaceous,362.6847142176985,0.01105334070738043,0,0,362.6957675584059,1.584551668164729,0,0.2535450199978822,1.838096688162611,8.793803688028701,487.0750526248114,98.78619770895253,594.6550540217926,959.1889182683611,1063.492215010968
Other food,132.4628687084442,0.005611179465160488,0.2343224976977963,0,132.7028023856072,1.597082965145939,0,-0.04594499588904096,1.551137969256898,2.784885376352462,247.0425848410969,87.90709461336272,337.7345648308121,471.9885051856762,563.7048484443741
Animal feeds,54.73454269865832,0.001827712572605943,0,0,54.73637041123093,0.7461215836297983,0,2.404607019624026,3.150728603253824,0.3581429989195569,47.05888637266497,25.96212694713239,73.37915631871691,131.2662553332017,247.2331482907403
Spirits & wines,120.5630498465533,0.03454051262978441,0,0,120.5975903591831,15.87924818843119,0,0.7199797533656592,16.59922794179685,9.658660153758971,488.6015405307723,3144.221243135738,3642.48144382027,3779.67826212125,3919.879438982036
Beer & malt,6.282729731948832,0.007358005180221102,0,0,6.290087737129053,1.435469316428941,0,0.0390096169821976,1.474478933411138,0.4559265203041319,49.50613477702191,132.1682792057606,182.1303405030866,189.8949071736268,197.9907442375396
Soft Drinks,58.7061970351091,0.0006485674365461253,0,0,58.70684560254565,0.07333088071506048,0,-0.7406446570254394,-0.6673137763103789,3.707163875739067,240.1078613165417,5.535651441604651,249.3506766338854,307.3902084601207,327.1044950247937
Tobacco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Textiles,210.2438672081112,0.0103122797774273,0.04273587787271053,0,210.2969153657614,20.51075143066534,0.04725690850526681,-16.22052454304678,4.337483796123829,5.834458112372286,161.5345371832467,173.2950441264252,340.6640394220443,555.2984385839294,663.8531270742129
Wearing apparel,113.6876428665578,0.005232587004139241,0,0,113.6928754535619,1.138884103144841,-0.01154702237387951,0.8799064967611417,2.007243577532103,10.11225068666946,82.80430124233322,82.46740833109864,175.3839602601013,291.0840792911953,303.9760821526169
Leather goods,16.94336378382178,0.002176157086896108,0,0,16.94553994090868,0.5120913164330554,-0.0002067584464281304,-2.817743702480306,-2.305859144493679,2.463373823307074,15.81262792070686,55.65567946147119,73.93168120548512,88.57136200190013,90.72529390140636
Wood and wood products,44.30064161015308,0.02006938239887439,0,0,44.32071099255195,4.140939422420212,0.2292723184402263,2.652229268655524,7.022441009515962,4.040405831093898,522.8318825446064,63.73039209900348,590.6026804747038,641.9458324767717,1105.664753205072
