,Households,NPISHs,Central government,Local government,Total,Gross fixed capital formation,Valuables,Change in inventories,Total,Non-resident households,"Rest of
UK
exports",Rest of world exports,Total,Total final use, Total use for industry output
Agriculture,584.1426748807396,0.4115770012499195,0.09782312597801586,1.602190416136895,586.2542654241045,51.08085872369369,0,5.587682860243414,56.66854158393711,34.07867296614832,454.643790469069,83.71429660490807,572.4367600401254,1215.359567048167,1810.902202671645
Forestry planting,7.557282401744469,0.6898015857953421,0,0.4995632317028436,8.746647219242654,5.443934187732328,0.0003776759281350008,12.49463171929025,17.93894358295072,7.863611110197813,3.598820889239967,1.855650787421589,13.31808278685937,40.00367358905274,122.4365532307061
Forestry harvesting,14.30766805086014,0.2153250680008217,0.07189633784738579,0.5138256023163625,15.10871505902471,0.645765406065307,0,22.68910647275467,23.33487187881998,0.1726421721393164,45.17832504311278,7.074919153274924,52.42588636852702,90.8694733063717,218.1760912394525
Fishing,9.63218077841793,0.01493999739341907,0,0.4384757948208984,10.08559657063225,0.1279268621210308,0,-10.47545166227299,-10.34752480015196,2.38219569305482,32.031411350086,92.02367780508835,126.4372848482292,126.1753566187095,212.852733913622
Aquaculture,12.57092083657033,0.04024193082728966,0,1.18106530677147,13.79222807416909,0.03351676253687892,0,3.883737651049667,3.917254413586546,2.665707727159422,88.21770968805644,53.82009223037133,144.7035096455872,162.4129921333428,249.7546761989279
Coal & lignite,24.1286325067625,0.002159820337131013,0,0,24.13079232709963,0.817897684380229,0,-9.235679195135083,-8.417781510754853,0.4406083293680406,107.139537261641,1.662023835165844,109.2421694261749,124.9551802425197,217.0782633247028
"Oil & gas extraction, metal ores & other",11.34253532874351,0.00180100404867865,0,0,11.34433633279219,1.390827797981727,0,8.754855387798086,10.14568318577981,0.8860417255836429,51.86264752585685,29.96494804659843,82.71363729803892,104.2036568166109,400.1986215296978
Mining Support,43.33045797956274,0.01460471031548892,0,0,43.34506268987823,15.94280199828966,0,-0.07442143327194575,15.86838056501772,5.305650337487908,1308.886282079417,170.4671011241539,1484.659033541059,1543.872476795955,1742.707115312282
Meat processing,183.7967590827875,0.005184476271409393,0,0,183.8019435590589,0.5333419548748023,0,-0.3167433309728959,0.2165986239019064,6.282033131558889,501.5056682995515,32.14315058031735,539.9308520114278,723.9493941943886,824.4310094586533
Fish & fruit processing,120.2195546656114,0.003426140460898554,0,0,120.2229808060723,1.897550689027189,0,0.5015773469132624,2.399128035940451,2.966831976331521,435.09235635535,209.2336348121774,647.292823143859,769.9149319858717,846.1846256785155
"Dairy products, oils & fats processing",292.8234627940623,0.001658057937364232,0,0,292.8251208519997,0.8173441517784537,0,-2.096722786314947,-1.279378634536493,7.29899931732486,171.4846346896292,12.32753892551633,191.1111729324704,482.6569151499335,619.3865209393086
Grain milling & starch,17.17619286544745,0.0002418517499551384,0,0,17.17643471719741,0.1846993279368393,0,-1.986883356864438,-1.802184028927599,0.3514056365740658,36.78221093377834,7.864545069841363,44.99816164019377,60.37241232846358,89.50928070193187
Bakery & farinaceous,233.611383757896,0.001666523910476361,0,0,233.6130502818064,0.5418072370145717,0,1.2898904202075,1.831697657222072,6.292306789063336,271.3729963724522,46.91853477374021,324.5838379352557,560.0285858742842,656.0415919311332
Other food,74.50981647639969,8.648067753757964e-05,0.02301221618524844,0,74.53291517326248,1.137225171482315,0,-0.1542542211731794,0.9829709503091357,1.917546706963061,174.5746234678212,47.97701140073752,224.4691815755218,299.9850676990933,351.6877172224503
