,Agriculture,Forestry planting,Forestry harvesting,Fishing,Aquaculture,Coal & lignite,"Oil & gas extraction, metal ores & other",Mining Support,Meat processing,Fish & fruit processing,"Dairy products, oils & fats processing",Grain milling & starch,Bakery & farinaceous,Other food,Animal feeds,Spirits & wines,Beer & malt,Soft Drinks,Tobacco,Textiles,Wearing apparel,Leather goods,Wood and wood products,Paper & paper products,Printing and recording,"Coke, petroleum & petro-chemicals","Paints, varnishes and inks etc.",Cleaning & toilet preparations,Other chemicals,"Inorganic chemicals, dyestuffs & agro-chemicals",Pharma-ceuticals,Rubber & Plastic,Cement lime & plaster,"Glass, clay & stone etc.",Iron & Steel,Other metals & casting,Fabricated metal,"Computers, electronics & opticals",Electrical equipment,Machinery & equipment,Motor Vehicles,Other transport equipment,Furniture,Other manu-facturing,Repair & maintenance,Electricity,Gas etc.,Water and sewerage,"Waste, remediation & management",Construction,Wholesale & Retail - vehicles,Wholesale - excl vehicles,Retail - excl vehicles,Rail transport,Other land transport,Water transport,Air transport,Support services for transport,Post & courier,Accomm-odation,Food & beverage services,Publishing services,Film video & TV etc.; broadcasting,Telecommunications,Computer services,Information services,Financial services,Insurance & pensions,Auxiliary financial services,Real estate - own,Imputed rent,Real estate - fee or contract,Legal activities,Accounting & tax services,Head office & consulting services,Architectural services etc.,Research & development,Advertising & market research,Other professional services,Veterinary services,Rental and leasing services,Employment services,Travel & related services,Security & investigation,Building & landscape services,Business support services,Public admin & defence,Education,Health,Residential care and social work,Creative services,Cultural services,Gambling,Sports & recreation,Membership organisations,Repairs - personal and household,Other personal services,Households as employers
Total domestic use,604.8982456750471,30.13464981653106,102.6365620663488,63.36328766682296,103.9496593519583,79.14949108567667,117.5427841044997,457.881580381882,462.2415674984082,406.9969680859678,386.6781574304435,38.70375215774827,202.7371008721954,106.862122902472,75.70288306997647,530.5219443065096,83.42556306401333,88.13633590780714,0,210.5491749346199,111.0710037430976,17.2548069929079,372.9107557317253,441.8030650005389,197.3023698437487,591.2915888655675,10.69647458876153,27.51151717456704,42.38166365263228,54.89379050385606,130.196281076673,289.1453032924788,175.3826311767192,137.545658320517,70.64332921139574,62.10107677803523,641.8978697605936,1658.825393430255,217.3495912321172,509.0752814314309,100.0944298469647,434.5323897520892,64.2949545483424,105.6273936928359,351.5842138677858,1821.774490575556,541.9092556143796,195.026622755715,370.981412548361,5329.380418562508,412.8336178829822,1863.631265058926,1697.094006656318,353.7726841085569,732.0437172457046,133.8201236062376,212.7556485969595,889.8882767837832,229.7664251492048,309.0600257536804,975.2334167988629,184.7990160872222,99.38772524342912,613.2976438209316,534.487799790621,53.38916611346254,1048.774889932103,1825.661890195971,402.2502865290799,795.2280812552303,781.8339039546042,85.62595013505796,229.3119791748686,130.2159724571098,249.9438711327526,695.3560094178368,157.1180273867782,53.91628004156986,89.44098681161847,15.78728368908295,227.387191591347,265.1419570076644,656.9092767008875,41.46782579497385,195.1949621822405,175.1067889616393,2585.91817215757,1184.757176892009,1503.976599827506,915.2149926093398,49.315475342293,88.37415604381385,167.8377625842606,375.3611258863443,138.7003863937103,42.60375511867598,349.5008027268364,0
Imports from rest of UK,419.533690846039,12.27204679440761,15.02520012493935,33.00075988435453,74.43687687849052,29.53869474784583,37.54210867299212,252.0213709187573,254.3774303487437,187.0815608497552,180.1255662310479,24.46982701952711,176.6716433550472,82.2464243091956,68.97048778300204,434.3965426689896,52.48830524983474,77.57511390342398,0,118.3957218288156,64.23429208663087,13.15392773014135,131.1632299913624,197.9073634212561,114.2367721431188,1607.883918832638,9.067747862951927,20.12756009817171,26.52659544728052,37.26187653736854,103.4544705658784,158.2432516667307,65.53185800098149,62.19667310773627,58.17126985783174,66.2262186205796,390.0004428995485,898.7990564986328,109.936017810991,263.3578239108442,89.99624606166253,233.9690121619536,42.81017535407296,67.23370082304417,190.4976195407467,657.2671849827071,508.8153909972712,36.0487480888019,169.147635538052,1721.291164526311,356.2308171510232,844.6450105095904,791.8290779739579,143.9448580298451,361.9278070316178,50.3370462019694,121.4149756873698,331.8523954056058,71.1577907787912,137.3321720667688,562.4847875178775,138.5547622039591,145.2986001267204,329.9565172976799,315.9943357294603,32.89962004745981,631.1866003329072,1085.75626477588,244.302649417433,259.5487314990492,258.8894152330175,56.53387945436413,103.7336456421317,62.01250111764909,174.619881282782,201.4214359130758,71.3186087902079,29.08352041256435,73.19958279329695,8.076950826770686,146.3947339492869,153.9773705038978,286.1616806451775,20.8481163546904,68.39906207158327,103.6337047086124,1271.635371343653,482.1850785319982,814.957688000837,189.158555518568,53.94045991801588,46.81992694294355,90.23589596711655,183.7611103150185,97.00780151524535,26.11092643879298,137.509077924273,0
Imports from rest of world,86.82149733360436,3.478459209197279,5.640898347050071,12.79680856129018,11.12820122652439,24.67902990688681,11.60578099871798,83.35044873847777,83.11557985888756,68.09967148574508,60.18166063253968,6.479919824934831,42.27656845756759,21.84538721374568,14.06208653260328,107.0186833620201,15.98442702280629,22.96875677294086,0,62.30719770896835,31.46017322110516,4.016610106836082,55.00068175422273,114.6392450101901,51.09608352302501,195.5753999731554,3.142062769744683,8.892017967221316,16.28374217208388,14.09032266157994,32.29547339790422,81.8020342572632,15.60110737587433,17.3859158039137,29.37673984959576,21.95720636507625,166.2510128319582,1392.009318519744,120.4539285950312,193.4438053013098,39.95961508216776,172.6037793333716,16.85199749175369,32.62142588702295,167.962514343624,108.1651802933394,29.99901521252386,10.69082774729658,73.11829245223097,554.1567292165466,72.78491545364389,206.7114232244336,147.7313430016489,32.39750464316091,115.2734722979214,22.46841228395197,75.6048866583197,118.452024460889,19.17835257694616,61.93269043392959,169.6177482923198,27.8892700499935,27.11578453821742,95.03660058278696,77.50470953261679,7.418600752555103,89.42566846038942,125.0089568445351,19.74815717070727,21.24024344292387,17.10492887905511,6.855959198489596,21.88216302202919,13.92079830574837,36.22135473023373,67.80605266986801,19.56552650053355,8.826127907070285,20.40784742720183,2.836099551804355,37.61632210231728,15.42730624974641,164.5610186778705,6.478333216719776,17.92573190963249,30.71656108807674,501.0614258741082,122.5688653906566,506.1726678466636,53.08267077341483,18.68731123807353,9.688531243806592,22.54196514268533,46.15776438883861,24.4115107070186,13.67552979668702,47.03668258731376,0
Total intermediate use at basic prices,1111.25343385469,45.88515582013594,123.3026605383382,109.1608561124677,189.5147374569732,133.3672157404093,166.6906737762098,793.2534000391171,799.7345777060394,662.178200421468,626.9853842940311,69.65349900221021,421.6853126848102,210.9539344254133,158.7354573855818,1071.937170337519,151.8982953366544,188.680206584172,0,391.2520944724038,206.7654690508336,34.42534482988534,559.0746674773104,754.3496734319851,362.6352255098925,2394.750907671361,22.90628522145813,56.53109523996007,85.19200127199667,106.2459897028046,265.9462250404557,529.1905892164727,256.5155965535751,217.128247232167,158.1913389188232,150.2845017636911,1198.1493254921,3949.633768448632,447.7395376381394,965.8769106435849,230.050290990795,841.1051812474144,123.957127394169,205.482520402903,710.0443477521565,2587.206855851603,1080.723661824175,241.7661985918135,613.247340538644,7604.828312305365,841.8493504876493,2914.98769879295,2636.654427631925,530.1150467815629,1209.244996575244,206.625582092159,409.775510942649,1340.192696650278,320.1025685049422,508.3248882543788,1707.33595260906,351.2430483411748,271.8021099083669,1038.290761701398,927.9868450526982,93.70738691347745,1769.3871587254,3036.427111816387,666.3010931172201,1076.017056197203,1057.828248066677,149.0157887879117,354.9277878390295,206.1492718805073,460.7851071457683,964.5834980007807,248.0021626775197,91.82592836120449,183.0484170321173,26.70033406765799,411.3982476429512,434.5466337613086,1107.631976023936,68.79427536638403,281.5197561634562,309.4570547583284,4358.614969375331,1789.511120814664,2825.106955675007,1157.456218901323,121.9432464983824,144.882614230564,280.6156236940625,605.2800005902014,260.1196986159742,82.39021135415597,534.0465632384231,0
Taxes less subsidies on products,-19.83539307868969,0.7555553048640266,2.909701239661838,18.10272892753228,4.456628701026951,11.06751548359064,8.235092178517684,1.999764927882855,-69.246851295039,-0.3452110754673923,-45.6489856710307,-4.419392147210247,1.548248140189954,-2.66277173341334,-3.367876058581745,63.43547792148101,5.353868416345404,3.502468972828273,0,19.4717362955965,1.07187266216628,0.8088621811146661,10.50332029768979,5.907734112974739,2.063849507106958,301.1891211632276,2.347940696541879,1.646488120039952,8.974841878266382,7.932129680084429,2.271565547544461,88.36283767852728,10.48772964842482,10.48446791083317,2.6400395401401,2.050192576094719,7.298393553899124,57.5299478983671,9.21578126941469,3.774958976414647,4.886039487562722,11.88254795958542,2.43576837483079,5.539412230097151,14.58058314384362,63.91949021864875,13.90321689093472,25.22584955618631,93.33909130444108,137.9462443416347,10.20525168935103,67.10623213704672,40.33778782408,-21.07999469456297,148.7180187347555,4.145051485841027,80.70563541035142,25.5798013387225,36.0828551090578,66.78570814562131,134.7473204439411,1.038193956825188,0.7404589746331245,3.279313186601079,5.761070944301597,0.6180486805225045,167.8909727745982,272.9787560406111,91.95541122738777,9.806858954797569,8.171751869322684,0.8371890090881948,1.979149704970757,1.43300248449271,4.189344048231451,18.92573037884402,-37.31793789451982,0.6133898617954215,1.682680729882708,0.1972413553420214,11.41252291204908,4.119119617691148,17.08672851106495,1.477187396615981,6.274911693543659,3.341284694671661,393.8837083229217,134.8527103733361,291.3768678469974,106.3405909566774,13.86058694961757,0.2590162484360198,4.660571977937624,59.62435569679868,3.652099316025831,0.249913555844076,58.2495420885769,0
Taxes less subsidies on production,-116.4086868,0.138160574,0.24238323,5.472912996,0.318459335,1.089573742,1.483861589,9.426564669,3.812510768,3.775210136,2.698066412,0.382498465,2.918092707,1.320071757,0.74999277,8.142425209,1.061464204,1.139667572,0,4.601347927,3.044735378,0.353916695,7.980024881,11.03507047,6.984904649,14.97069676,0.148401569,0.526021056,0.732262704,0.622617906,4,14.69687757,5.668544575,5.634577859,3.441704021,3.548070977,30.010225001,13,9,14,4.497842353,17.502157643,2.165298895,4.808672867,11.026028238,79.61845823,25.38154177,21.44295796,21.557042039,62.00000000999999,72.45663855,198.5765927,261.9667687,-6.674979555,40.07192215,12.23907053,12.03985432,35.77628162,13.54785094,43.43019526,101.5698047,13.80502065,7.276717205000001,50.88839978,40.44025576,4.589606601,55.92104278,47.20155227,12.87740495,-7.165406053,0,2.165406053,13.39256488,8.175374334,11.85383593,34.49735303,7.613506725,2.850799455,6.025652128,0.590913516,11.80861772,14.74363989,14.88933383,2.817660426,8.917621611,9.823126517,0,15,6.435286289,2.56471371,3.598388683,5.254796939,8.342608899,17.80420548,6.871009358,2.293365121,19.83562552,0
Compensation of employees,329.2473292,29.39834064,33.5659753,15.03612315,20.78308305,33.40854781,52.60424453,532.9872077,135.2583265,209.6108572,107.970269069,20.47222383,237.1148203,84.06592688,26.65416586,385.3435126,81.42850266,65.08139506,0,171.3349216,129.0683107,15.59676772,154.7628828,220.2570923,204.9800248,296.6040827,12.12241918,47.01186879,27.46879806,100.79283123,156,277.4554266,82.50663826,119.0379351,81.52154089,63.2921371,722.186322003,1018,251,671,98.43395889,390.566041118,69.22613088,173.4061434,328.36772572,405.2913165,56.70868349,251.7428847,251.178218891,3331,770.6975487,1566.144152,2875.158299,164.598983,882.2739262,92.1968086,187.4108827,962.9780592,522.5413404,611.7642799,1092.23572,246.6968853,133.96473118,711.7462854,927.1021239,86.48997426,1502.816964,1010.626473,381.5565632,262.615558,0,117.384442,403.6450208,288.5602783,354.6995184,1192.736001,247.6837339,86.68814251,186.798541,27.18876425,285.5546725,699.2090982,146.8186724,158.0226207,355.2435443,342.1513918,4172,4703.000000399999,3647.0293333,2061.9706672,73.624463643,183.85205817,98.58882587,404.9346524,146.2187228,36.75977136,412.0215059,77
Gross operating surplus,685.4634516,30.48770882,31.7640628,49.19250392,68.6853969,16.16598837,36.86053013,352.9734815,116.4786113,123.2415908,50.27519888,15.84706036,103.8293094,47.93138846,23.43351654,620.6968404,39.91270059,51.35378316,0,23.10346001,77.07276588,40.82377411,33.19879678,42.39850545,74.40269778,269.3977831,8.315916023,28.37677199,88.33248162,-0.422952703,284,147.6998156,71.02209944,70.27808494,5.538549011,28.76361304,182.697837908,312,68,341,8.463736919,87.536263082,30.18226888,117.2706472,96.547083915,949.9552021,153.0447979,586.0797672,199.360607056,2153.9999998,419.9964208,1048.5912,1838.412379,36.06225276,465.6994739,41.60163539,132.5294938,390.9422265,32.1649177,298.4527801,539.5472199,139.2887354,71.68200741,833.4677298,269.973512,75.58801553,1274.89063,1173.828767,214.280603,1910.473096,7656,18.52690448,292.6878389,156.1856788,124.4636163,527.7690855,157.5363681,48.99294399,126.4221162,40.9423522,327.5188585,154.6475128,46.2554111,34.81303128,209.2145232,210.5506631,1495.0000004,945,1267.285369,159.714630998,30.656078724,27.800715026,166.6297995,125.91340673,137.8074957,65.48401623,492.7084881,0
Gross value added,898.302094,60.024210034,65.57242133,69.701540066,89.786939285,50.664109922,90.948636249,895.387253869,255.549448568,336.627658136,160.943534361,36.701782655,343.862222407,133.317387097,50.83767517,1014.182778209,122.402667454,117.574845792,0,199.039729537,209.185811958,56.774458525,195.941704461,273.69066822,286.367627229,580.97256256,20.586736772,75.91466183600001,116.533542384,100.992496433,444,439.85211977,159.197282275,194.950597899,90.50179392199999,95.603821117,934.894384912,1343,328,1026,111.395538162,495.604461843,101.573698655,295.485463467,435.940837873,1434.86497683,235.13502316,859.26560986,472.095867986,5546.99999981,1263.15060805,2813.3119447,4975.5374467,193.986256205,1388.04532225,146.03751452,331.98023082,1389.69656732,568.25410904,953.64725526,1733.3527446,399.79064135,212.923455795,1596.10241498,1237.51589166,166.667596391,2833.62863678,2231.65679227,608.7145711500001,2165.923247947,7656,138.076752533,709.72542458,452.921331434,491.01697063,1755.00243953,412.833608725,138.531885955,319.246309328,68.722029966,624.88214872,868.60025089,207.96341733,195.653312406,573.375689111,562.525181417,5667.000000399999,5663.000000399999,4920.749988589,2224.250011908,107.87893105,216.907570135,273.561234269,548.65226461,290.897227858,104.537152711,924.56561952,77
Total output at basic prices,1989.720134776001,106.664921159,191.7847831080001,196.965125106,283.7583054430002,195.098841146,265.8744022037275,1690.640418836,986.0371749790004,998.4606474820006,742.2799329840003,101.93588951,767.0957832320001,341.6085497889999,206.2052564970001,2149.555426468,279.6548312069998,309.7575213490002,0,609.7635603050004,417.0231536709999,92.00866553600001,765.5196922360003,1033.94807576496,651.0667022459994,3276.912591394589,45.84096269000001,134.092245196,210.7003855342631,215.170615815889,712.2177905880002,1057.405546665,426.2006084769999,422.5633130420002,251.3331723809633,247.9385154567858,2140.342103957999,5350.163716346999,784.9553189075541,1995.651869619999,346.3318686403577,1348.59219105,227.9665944239998,506.5073961000002,1160.565768769,4085.991322900252,1329.761901875109,1126.257658008,1178.682299829085,13289.774556457,2115.205210227,5795.405875629996,7652.529662156005,703.021308292,2746.008337559999,356.8081480979999,822.4613771730005,2755.469065309001,924.439532654,1528.75785166,3575.436017653001,752.0718836479999,485.4660246780001,2637.672489868,2171.263807657,260.993031985,4770.906768279999,5541.062660126998,1366.971075494608,3251.747163099001,8721.999999935999,287.9297303299999,1066.632362124,660.503605799,955.9914218239998,2738.511667909625,623.5178335079999,230.9712041779999,503.97740709,95.61960538900001,1047.692919275,1307.266004269,1332.682121865,265.924775169,861.1703569679999,875.32352087,10419.49867809825,7587.363831588,8037.233812111004,3488.046821766,243.682764498,362.049200614,558.8374299410001,1213.556620897,554.66902579,187.1772776210001,1516.861724847,77
