,Agriculture,Forestry planting,Forestry harvesting,Fishing,Aquaculture,Coal & lignite,"Oil & gas extraction, metal ores & other",Mining Support,Meat processing,Fish & fruit processing,"Dairy products, oils & fats processing",Grain milling & starch,Bakery & farinaceous,Other food,Animal feeds,Spirits & wines,Beer & malt,Soft Drinks,Tobacco,Textiles,Wearing apparel,Leather goods,Wood and wood products,Paper & paper products,Printing and recording,"Coke, petroleum & petro-chemicals","Paints, varnishes and inks etc.",Cleaning & toilet preparations,Other chemicals,"Inorganic chemicals, dyestuffs & agro-chemicals",Pharma-ceuticals,Rubber & Plastic,Cement lime & plaster,"Glass, clay & stone etc.",Iron & Steel,Other metals & casting,Fabricated metal,"Computers, electronics & opticals",Electrical equipment,Machinery & equipment,Motor Vehicles,Other transport equipment,Furniture,Other manu-facturing,Repair & maintenance,Electricity,Gas etc.,Water and sewerage,"Waste, remediation & management",Construction,Wholesale & Retail - vehicles,Wholesale - excl vehicles,Retail - excl vehicles,Rail transport,Other land transport,Water transport,Air transport,Support services for transport,Post & courier,Accomm-odation,Food & beverage services,Publishing services,Film video & TV etc.; broadcasting,Telecommunications,Computer services,Information services,Financial services,Insurance & pensions,Auxiliary financial services,Real estate - own,Imputed rent,Real estate - fee or contract,Legal activities,Accounting & tax services,Head office & consulting services,Architectural services etc.,Research & development,Advertising & market research,Other professional services,Veterinary services,Rental and leasing services,Employment services,Travel & related services,Security & investigation,Building & landscape services,Business support services,Public admin & defence,Education,Health,Residential care and social work,Creative services,Cultural services,Gambling,Sports & recreation,Membership organisations,Repairs - personal and household,Other personal services,Households as employers
Total domestic use,695.5203097323938,34.57469867534767,131.5634467259366,67.56915650696821,152.9587741736339,79.88293033690594,150.6068935380525,668.9718331919892,499.5021216754547,389.7710371773703,291.8188715564995,25.24859270657443,197.9563522825286,121.3122891720789,60.27275672706688,503.7554174403724,42.47751801057964,80.05762320517508,0,180.526849090878,92.35212839344761,18.44376002868301,568.4143936749083,485.6558008568084,173.8828646730625,733.2630840050449,13.10649331545161,17.27533486087122,44.72099295495097,56.01536753596258,98.08165666032527,391.1302908798729,192.366983349175,149.102215998379,44.13202125511242,29.31087760686215,682.897964263844,887.4308090789929,169.2497699694335,629.2512046335921,94.97399012797972,629.4461003209532,95.45493244856127,169.6780060099605,374.4304289216637,2389.518010973258,1080.786547002877,189.7773824540086,442.1383236591938,7419.075160081499,417.8808452661337,1600.671954047842,2046.406831123648,337.6753793210359,696.4859123203491,132.9701410811554,308.1717111018531,950.6740213643558,216.6120623484392,341.0792380166956,1026.399885247072,163.2367468632528,97.00014614065462,646.5903508091016,427.2518501599556,29.34141955952244,1137.33754229076,2477.392513751453,555.404630471512,1274.303613321153,853.8794147843157,113.7152951911044,238.0185225458348,150.7959073939293,371.134685057685,1408.093869714037,161.6784256644917,50.99012483146213,106.5495576767488,18.75120652128066,207.0379215628103,417.6305416741322,564.7916924102745,57.50832116420388,276.2208055449498,172.177303455499,3347.044094942313,1470.910599047795,2052.716226308404,1004.015812623615,70.6193170093319,115.4205125905801,190.7253426381396,431.3265686075413,135.7993908763772,37.31854531242201,307.9483915914485,0
Imports from rest of UK,464.5195056014368,16.36516145682405,19.08900482268666,37.11846584470266,74.32332975867061,35.39801147321248,55.19387250063395,385.4606397867353,268.01345159299,201.6563653571607,133.869777831453,17.85501044600932,195.9898761919103,110.4419647494337,64.13519928481495,461.5379049577438,36.00514490931877,69.29703645309222,0,105.0486166729987,54.11821638592224,13.88306211840515,134.7549257829496,224.5872874022981,107.0962812266096,3047.1645419369,8.970696314604577,13.69978595760003,27.60819853730664,36.55654084960395,81.40873754860947,175.2828735063153,81.95260802800702,62.54277298672405,29.71313564356755,39.26409702515344,414.362254817857,525.5768861109302,94.59867676118314,356.1041170904111,94.34602967998467,351.6345431635923,46.65618298083707,94.65046424835508,209.2551230744538,899.0701061976846,728.5293794965976,34.33913647283789,148.9123294258746,2153.033985336133,401.0118553422834,792.3023095039978,885.510072159798,143.4628863249975,318.3551927149446,90.68576720050726,184.1092612122913,441.6705521824039,69.8575608076648,180.062689932866,701.4732952718343,136.9705451810903,140.3923687204267,375.0647806724672,283.352614572305,19.47857742786157,828.5022998258185,1389.134554132836,388.9106268490369,431.1708617226521,347.5620113315352,104.1100828229822,104.2160326964484,87.15287041829578,245.9491465356226,315.4772998898273,76.01053309484304,32.69172820710055,67.10271718758742,13.53395082859389,163.8397877372954,214.4823086705718,436.7205425133399,27.08642475283311,87.55425507007753,126.6835663783506,1605.615718426579,607.794115219231,1045.366962758627,247.2734648669476,67.86315682394347,55.07353482645784,128.9649856938982,192.5318672974518,119.9158984910383,23.48717750849188,118.467839284426,0
Imports from rest of world,136.7749743035014,4.731369492630644,7.171820631541572,19.12979208429681,16.96995370738676,34.30423861009419,16.5971967017778,109.9353472122569,122.1365154711356,73.57158779053478,68.79551528647626,5.887294324429207,57.36506103495821,32.70439878185564,16.37457647980706,123.9248643955773,11.48414329712004,30.39416957789734,0,52.26152653004348,23.72520510645972,6.319208446228699,77.6691715951393,133.7104221303597,44.18329558397058,455.7784473507268,4.274460503327816,6.600831657452986,19.10131125426614,15.33891105347771,25.73290897911518,135.713586974571,27.32348269336857,27.25393522916425,31.9702252898393,32.9776852161734,331.4012782702544,835.8043007215856,131.7119978459993,381.4198926420534,53.84627838857678,341.8878541531213,27.57449666025776,60.9946818757297,205.4897578857881,234.0751916735917,57.97338960773282,15.84063681992401,110.1784252592354,766.1315707254656,106.0957401217997,244.2250400664823,203.7873923564666,33.93318024980051,145.7811302006685,29.52404026436615,114.6807169026729,152.6749105069936,23.92476986983096,69.30848056171867,237.0835144783317,26.23932714767234,28.80864859301561,101.9330305485037,74.97073406643838,5.724859767102645,119.4130220754862,139.2757020491493,42.1907218120112,40.18037385767308,25.15078933198021,15.15580932029523,21.4941758405005,18.80419120803479,56.77800428411383,118.7348174623871,19.27606076176599,9.724249040020783,21.87952147340889,4.510704844672874,45.42849400475022,28.21948271145252,137.722478878548,9.762231889524429,28.75481146237888,48.1855475271039,751.351458667624,178.5674145284653,625.6882243282811,71.60798023979002,27.59911307492997,13.39341229996561,30.89213812798126,60.19155944815803,31.83843266293431,12.29591327359289,40.19960917028734,0
Total intermediate use at basic prices,1296.814789637332,55.67122962480236,157.8242721801648,123.8174144359677,244.2520576396913,149.5851804202126,222.3979627404642,1164.367820190981,889.6520887395803,664.9989903250657,494.4841646744287,48.99089747701296,451.3112895093971,264.4586527033682,140.7825324916889,1089.218186793694,89.96680621701844,179.7488292361646,0,337.8369922939202,170.1955498858296,38.64603059331686,780.8384910529973,843.9535103894663,325.1624414836427,4236.206073292672,26.35165013338401,37.57595247592424,91.43050274652374,107.9108194390442,205.2233031880499,702.1267513607592,301.6430740705505,238.8989242142673,105.8153821885193,101.552659848189,1428.661497351955,2248.811995911509,395.5604445766159,1366.775214366057,243.1662981965412,1322.968497637667,169.6856120896561,325.3231521340453,789.1753098819056,3522.663308844535,1867.289316107207,239.9571557467705,701.2290783443038,10338.2407161431,924.9884407302168,2637.199303618322,3135.704295639913,515.0714458958339,1160.622235235962,253.1799485460289,606.9616892168174,1545.019484053753,310.394393025935,590.4504085112802,1964.956694997238,326.4466191920154,266.201163454097,1123.588162030072,785.575198798699,54.54485675448665,2085.252864192065,4005.802769933439,986.5059791325601,1745.654848901478,1226.592215447831,232.9811873343818,363.7287310827837,256.7529690202599,673.8618358774215,1842.305987066251,256.9650195211007,93.40610207858346,195.5317963377451,36.79586219454742,416.3062033048559,660.3323330561566,1139.234713802163,94.35697780656142,392.5298720774062,347.0464173609536,5704.011272036516,2257.272128795491,3723.771413395312,1322.897257730353,166.0815869082053,183.8874597170036,350.5824664600191,684.0499953531512,287.5537220303499,73.10163609450679,466.6158400461618,0
Taxes less subsidies on products,31.71921713366687,1.418755677197632,3.243742227835059,19.27668919703243,5.10744973630867,9.811503011787302,12.18838678500685,5.39841540701735,-12.28637551658037,1.477524006934251,-6.081531739429146,-0.6254731220129215,2.646667171603416,0.3366715826321365,0.4254205053113351,74.61312036030635,3.671689867981561,4.010355187835265,0,17.73896546607979,0.9461498451704309,0.9273442316831826,13.56425168300197,7.42080793420194,2.233366593357671,314.4288233997861,2.567518216615995,0.7549717390757537,6.864477833711244,6.538239598872068,2.279115153950313,114.1298620032423,13.48619214844956,13.50708850073276,1.860604156728683,0.8896136107796657,8.886056033045225,20.52207406449026,6.597852740406173,6.064581787943196,3.884896684120716,19.39934042633441,3.099893062343875,8.777065030954837,14.24551873709364,42.44819483636119,25.52686017559437,28.85150878422972,132.0803058281741,272.3610656169094,13.51667725978361,74.07424893467456,59.51133918008906,-6.571621897833694,132.3436591108552,11.28999464997137,106.0375810311823,34.29320462924593,33.00440708206504,61.36109800971992,163.7116827487597,0.980049953984792,0.812905054902933,7.679267258929228,4.770945261300275,0.2814664835132955,215.517975197935,391.783768055563,149.9050164900407,21.38339066175172,7.407784601168339,2.024288092618015,2.508342014216236,1.584060744740321,9.804585149578743,29.92621043312757,-14.90431014810086,0.6105405124165205,1.680043095254905,0.354280288452541,12.00757158914408,8.98510741384357,31.74281185183835,1.158082281438629,7.166851402593771,3.309136539046299,582.0596499964842,189.6996512095084,404.7318478846888,129.9886757576467,19.33684155579484,1.584327567996369,5.121090543981086,74.11900753184946,7.921944000279115,0.2769759894932143,51.57940222183775,0
Taxes less subsidies on production,-546.3766698,0.075804866,0.126306967,7.017815075,0.177359686,-1.864856325,2.811394482,17.05346184,3.50738257,2.967506563,2.075656698,0.209178153,2.939659871,1.327207277,0.620924317,10.58875168,0.756057995,1.007674881,0,3.974726825,1.863788919,0.161484256,8.815578728,9.052638779,5.131782493,14.91701741,0.116420432,0.262810207,0.467041608,0.236710342,3,16.30404774,6.441523281,5.254428981,2.309043141,2.185780668,27.505176194,8,7,15,3.484343838,15.515656162,2.289987073,4.611102167,11.09891076,66.92725607,27.07274393,19.81599611,26.184003889,76,82.25067844,234.7556777,311.9936438,-13.77356002,34.9689491,10.56192099,13.5530498,40.24107038,-36.55143024,51.87297944,121.1270206,12.47744311,6.300066722,51.80301861,39.79524871,2.624222841,61.09017192,73.94249669,16.96733139,-109.9863873,0,3.986387308,13.83072169,9.603975047,16.25796154,50.27411121,7.39827416,3.315448838,5.724712864,0.59479465,13.4301948,24.14751818,16.83134322,4.300968704,13.09219593,11.19777917,0,19,9.741049684,4.258950316,4.408171191,6.197790245,11.57598296,19.8180556,5.469038161,2.173862594,17.35709924,0
Compensation of employees,286.9786559,30.88623377,35.26479852,23.43371904,23.59260023,32.30307058,82.54542923,716.1515002,165.9252642,216.4365873,108.242806729,7.160089061,321.6213231,99.60162309,29.48950425,664.7939212,46.67005442,72.05882664,0,183.5269419,104.4069453,12.06611286,255.3281139,226.7211949,215.9506912,235.1324483,15.65964078,35.7047375,40.88467978,115.61849364,192,339.574721,110.0220748,136.4032042,50.07861398,40.88275158,860.03863444,841,212,696,102.9472414,454.0527586220001,95.04227043,171.6103607,422.3473689,511.2393552,141.7606448,354.9572025,466.861805381,4553,1044.968327,2244.057545,3374.974128,223.6357456,997.7183899,77.98662652,194.1488344,1050.3154146,635.1949889,811.2671343,1437.732866,270.155868,127.60306023,919.5202022,1072.137761,68.58310875,2038.312689,2163.71138,689.9759309,441.9430958,0,221.0569042,554.1588404,439.2293758,613.6781387,1730.08714,320.378868,127.827015,231.7323326,42.90828963,309.6708168,980.0635276,155.1089613,242.2496502,587.2529202,375.654124,5150,5549.0000004,5154.6406898,2968.3593098,100.709427207,219.66196802,116.2544061,499.3741987,227.0653734,78.22856015,426.7060664,96
Gross operating surplus,1073.743039,43.33987332,24.04246522,83.87502686,77.5249346,-8.559657184,132.5963476,842.9633096,-18.23794285,3.113035722,26.429834629,7.953293289,100.5462999,23.35150402,22.94143367,1373.46552,87.96071903,58.4763022,0,60.59384882,31.067187,21.33896418,68.68246812,51.07265217,95.24487971,309.703878,29.95863088,45.0976681,92.76073052,8.479092506,347,132.9796353,84.93909415,26.08127055,54.92207978,58.41724443,206.660675794,333,76,280,61.99870502,20.00129498199999,24.43981424,48.89973524,141.660450529,1627.687613,231.3123872,534.4475725,349.476814189,2916.9999997,202.9474579,1307.694951,1753.357592,17.74081561,395.6162493,53.82412288,134.0597874,432.8429474,1.916077428,293.1568454,534.8431546,100.1921411,64.87148099,687.0730461,296.5901683,30.27316349,1705.684407,1874.699791,311.6158019,2017.606663,9217,27.39333735,337.7326559,197.2263937,153.532469,868.1271758,124.0612766,85.59053015,116.8939263,68.83557248,358.9543346,317.6657465,51.84510834,41.50647021,251.9640421,187.0642982,2018.0000004,1356,1613.0043236,275.995676027,26.492456716,41.41143963,333.3487442,158.74735943,114.0946721,35.46546229,591.4398656,0
Gross value added,814.3450250999999,74.301911956,59.433570707,114.326560975,101.294894516,21.878557071,217.953171312,1576.16827164,151.19470392,222.517129585,136.748298056,15.322560503,425.107282871,124.280334387,53.05186223699999,2048.84819288,135.386831445,131.542803721,0,248.095517545,137.337921219,33.566561296,332.826160748,286.846485849,316.327353403,559.75334371,45.734692092,81.065215807,134.112451908,124.334296488,542,488.85840404,201.402692231,167.738903731,107.309736901,101.485776678,1094.204486428,1182,295,991,168.430290258,489.5697097660001,121.772071743,225.121198107,575.106730189,2205.85422427,400.14577593,909.22077111,842.522623459,7545.9999997,1330.16646334,3786.5081737,5440.3253638,227.60300119,1428.3035883,142.37267039,341.7616716,1523.39943238,600.559636088,1156.29695914,2093.7030412,382.82545221,198.774607942,1658.39626691,1408.52317801,101.480495081,3805.08726792,4112.35366769,1018.55906419,2349.5633715,9217,252.436628858,905.72221799,646.059744547,783.46856924,2648.48842701,451.83841876,216.732993988,354.350971764,112.33865676,682.0553462,1321.87679228,223.78541286,288.057089114,852.30915823,573.9162013700001,7168.0000004,6924.0000004,6777.386063084,3248.613936143,131.610055114,267.271197895,461.17913326,677.9396137299999,346.629083661,115.867885034,1035.50303124,96
Total output at basic prices,2142.879031870999,131.391897258,220.5015851149999,257.4206646080001,350.654401892,181.2752405029999,452.5395208374711,2745.934507237999,1028.560417143,888.9936439170001,625.1509309909995,63.68798485800004,879.0652395520004,389.0756586730004,194.2598152340002,3212.679500034,229.02532753,315.3019881449999,0,603.671475305,308.47962095,73.13993612100005,1127.228903483999,1138.220804172668,643.7231614800004,5110.388240402458,74.65386044200001,119.396140022,232.407432488235,238.7833555259163,749.5024183420002,1305.115017404001,516.5319584500002,420.1449164460001,214.9857232462479,203.9280501369686,2531.752039813,3451.334069975999,697.1582973170221,2363.839796154,415.4814851386619,1831.937547830001,294.557576895,559.2214152720002,1378.527558807999,5770.965727950896,2292.961952212801,1178.029435641,1675.832007631478,18156.60178146001,2268.671581330001,6497.781726252996,8635.540998620001,736.1028251880002,2721.269482646817,406.8426135860003,1054.760941848,3102.712121062999,943.958436196,1808.108465661,4222.371418945998,710.2521213560002,465.7886764509999,2789.663696199002,2198.869322069999,156.3068183189999,6105.85810731,8509.940205679002,2154.970059812601,4116.60161106323,10451.000000049,487.4421042849998,1271.959291087,904.3967743120002,1467.134990267,4520.720624509378,693.8991281329999,310.749636579,551.5628111970001,149.488799243,1110.369121094,1991.19423275,1394.762938514001,383.572149202,1252.00588171,924.2717552699999,13454.070922433,9370.971780405,10905.889324364,4701.499869630999,317.0284835780002,452.7429851799999,816.8826902640002,1436.108616615001,642.104749691629,189.246497118,1553.698273508,96
