,Households,NPISHs,Central government,Local government,Total,Gross fixed capital formation,Valuables,Change in inventories,Total,Non-resident households,"Rest of
UK
exports",Rest of world exports,Total,Total final use, Total use for industry output
Agriculture,704.8389456229778,0.2880345286299493,0.06010211470021946,1.216019949301956,706.4031022156099,65.25237109377137,0,2.585380559974351,67.83775165374573,44.10570817229493,535.3988742843244,112.5316424967031,692.0362249533224,1466.277078822678,2142.879032304125
Forestry planting,8.212543955290386,0.6340991530336244,0,0.519025110837039,9.36566821916105,6.582173005510858,0.0004968414863229847,9.846095897414155,16.42876574441134,9.181715553317215,3.120846066001287,1.549423419616182,13.85198503893468,39.64641900250707,131.3919011044425
Forestry harvesting,15.07632326826847,0.3491679257398137,0.1155083425490606,0.8800119923166069,16.42101152887395,0.7154475612736994,0,14.32203383172459,15.03748139299829,0.2348732782033977,47.61394807503556,8.675606593641835,56.52442794688079,87.98292086875303,220.5015850922184
Fishing,12.11534382328212,0.02212887850911852,0,0.551036532073811,12.68850923386505,0.164634304894226,0,17.52435378389991,17.68898808879413,3.384585747634166,52.52872052436745,69.50419422774922,125.4175004997508,155.79499782241,257.4206835720273
Aquaculture,14.43807194162146,0.03932358713230581,0,0.9792061117403315,15.45660164049409,0.1063409788796782,0,4.612641782325241,4.718982761204919,3.48462299564171,116.8001476789954,68.00843415393385,188.2932048285709,208.4687892302699,350.654401891342
Coal & lignite,2.904210879400268,0,0,0,2.904210879400268,1.781790345313859,0,0.1795475117811842,1.961337857095044,0.4314184566253214,152.7459940255073,1.667941193071434,154.8453536752041,159.7109024116994,181.275240566886
"Oil & gas extraction, metal ores & other",15.36501867225705,0.006479220312076205,0,0,15.37149789256912,1.730691270291529,0,9.459469795201548,11.19016106549308,1.38136327429299,51.16755421997559,59.81649106137203,112.3654085556406,138.9270675137028,452.5426725382242
Mining Support,54.71954007645952,0.01828073318911769,0,0,54.73782080964863,28.30314104548169,0,-1.263058188381646,27.04008285710004,6.890560730343625,2248.408459294008,205.020025337763,2460.319045362115,2542.096949028864,2745.934506935422
Meat processing,291.7892957922289,0.01028956432325881,0,0,291.7995853565521,0.7283553720815434,0,-0.04854526693245512,0.6798101051490884,10.18475492749933,494.5349495309001,60.87561242271003,565.5953168811095,858.0747123428107,1028.560417522472
Fish & fruit processing,122.6673861911752,0.010927385312095,0,0,122.6783135764873,2.007278342839325,0,0.7660632257289649,2.77334156856829,3.220637376632756,473.857844338043,204.5726824252436,681.6511641399194,807.102819284975,888.993644123077
