,Households,NPISHs,Central government,Local government,Total,Gross fixed capital formation,Valuables,Change in inventories,Total,Non-resident households,"Rest of
UK
exports",Rest of world exports,Total,Total final use, Total use for industry output
Agriculture,612.231588444542,0.5258629236314836,0.1301621655514255,1.981173389674778,614.8687869233997,48.65054153814671,0,5.813855548645469,54.46439708679218,34.8173697936585,277.036140390307,80.5613448617112,392.4148550456767,1061.748039055869,1781.241744240672
Forestry planting,6.743853836805139,0.5533280419306319,0,0.4228690183156057,7.720050897051376,5.395656360095665,0.0003901278109217786,8.302372529590347,13.69841901749693,7.226084752030134,2.791296585628306,1.088468582546618,11.10584992020506,32.52431983475337,110.5369954785418
Forestry harvesting,13.10069601907656,0.2846573355831662,0.09612391505377049,0.6826874777411036,14.1641647474546,0.6298743185204488,0,12.24664496319706,12.87651928171751,0.1581266207026497,47.1075997669005,6.262342925984615,53.52806931358776,80.56875334275988,200.8572878261624
Fishing,8.9340819662284,0.0001549977690715986,0,0,8.93423696399747,0.03665492006823693,0,2.715955011251498,2.752609931319735,2.024440047642253,35.23864038904512,62.1057623709,99.36884280758737,111.0556897029046,226.5515728749472
Aquaculture,9.528373609967556,0.0005952340799681495,0,0,9.528968844047524,0.01750132737319977,0,3.398823081447993,3.416324408821192,2.141080283154488,72.25143394881933,69.52743719133043,143.9199514233042,156.865244676173,255.255291247465
Coal & lignite,30.17047857866209,0.00265218602205462,0,0,30.17313076468414,1.26443326986307,0,10.43908615139518,11.70351942125825,0.4710077257698854,88.04697977399165,2.402593577977736,90.92058107773927,132.7972312636817,242.3941835307661
"Oil & gas extraction, metal ores & other",14.58428659352427,0.002888378443451957,0,0,14.58717497196773,1.755951067961761,0,4.847733333343531,6.603684401305292,1.092740450245266,27.96199347266323,15.46947786932132,44.52421179222982,65.71507116550283,448.6211891363934
Mining Support,49.45166692959921,0.01838259264477789,0,0,49.47004952224399,17.29854996115112,0,0.9487952157510274,18.24734517690215,5.790793584308028,1196.357051249423,158.5342849580842,1360.682129791815,1428.399524490962,1651.261248000744
Meat processing,276.9721144245913,0.004862663937097227,0,0,276.9769770885284,0.5881097601214075,0,0.4802797625573315,1.068389522678739,8.757800000938191,419.2143292042475,35.70185029027324,463.6739794954589,741.7193461066661,900.842114779716
Fish & fruit processing,147.1942798523991,0.003221765620676384,0,0,147.1975016180198,1.249154719060807,0,1.081265260848694,2.330419979909502,3.460925309553869,432.7570211591137,192.1731637278062,628.3911101964737,777.919031794403,881.283955814456
"Dairy products, oils & fats processing",306.4496286717736,0.001576624391497726,0,0,306.451205296165,0.7135063802790808,0,2.038987473739803,2.752493854018883,7.25200705972415,124.8714931683536,9.736763840863752,141.8602640689415,451.0639632191254,598.2997481333678
Grain milling & starch,12.24283230149651,9.4594980405774e-05,0,0,12.24292689647692,0.1238605504604071,0,0.1837806871688303,0.3076412376292373,0.2721583089626367,34.63289292743493,8.2198786986821,43.12492993507967,55.67549806918582,76.46191416159058
Bakery & farinaceous,234.6246533394224,0.001765294891406253,0,0,234.6264186343138,0.5693969390523269,0,1.705784143435113,2.27518108248744,6.291947951977579,241.0184927966532,61.25344032719115,308.5638810758219,545.4654807926231,641.0788833056064
Other food,85.68049682818845,0.0001165237055429435,0.02438300226365135,0,85.70499635415764,1.274249368684293,0,0.7320443406242011,2.006293709308494,2.108104908534599,169.8419637974897,57.8335899993897,229.783658705414,317.4949487688801,375.7390513855237
Animal feeds,33.03973049763812,0.000172530861049263,0,0,33.03990302849917,2.49546765794654,0,1.971612950267035,4.467080608213576,0.340228303059702,88.69286402615114,25.27192716036064,114.3050194895715,151.8120031262842,213.9239775993139
Spirits & wines,293.0415474340995,0.00227014936075488,0,0,293.0438175834602,6.505735599736255,0,1.159023911857271,7.664759511593526,25.76590914831758,692.7907301149643,1011.753725816872,1730.310365080154,2031.018942175208,2276.568357125353
