,Households,NPISHs,Central government,Local government,Total,Gross fixed capital formation,Valuables,Change in inventories,Total,Non-resident households,"Rest of
UK
exports",Rest of world exports,Total,Total final use, Total use for industry output
Agriculture,600.3814943227834,0.1966653674839986,0.03819513614961573,0.8815311616511635,601.4978859880682,58.94096218326008,0,2.300168296511794,61.24113047977188,37.47129522332019,492.1187443116504,124.233634553947,653.8236740889175,1316.562690556758,1896.052573484941
Forestry planting,8.48208658347191,0.784446026516925,0,0.4506694625245601,9.717202072513395,7.220841772828002,0.0004747842131233702,5.56216400953218,12.7834805665733,9.150899746095963,3.506698088250038,1.647446088953455,14.30504392329946,36.80572656238616,136.3996334429955
Forestry harvesting,15.57036156191165,0.114013264354042,0.03888402959362162,0.3012244915239137,16.02448334738323,0.8497126025471543,0,44.43312093128201,45.28283353382917,0.2606787364099926,53.02225499286556,11.250958011777,64.53389174105254,125.8412086222649,255.2470296528391
Fishing,11.66163280431457,0.03299674443430715,0,0.6557050107661554,12.35033455951504,0.1673725763907671,0,2.789535666007325,2.956908242398092,3.122294014129497,40.36020020787084,75.2394717368375,118.7219659588378,134.029208760751,234.0641495541713
Aquaculture,15.99467341041508,0.07065920757635526,0,1.404126084512324,17.46945870250376,0.6535522609891891,0,3.641985645407494,4.295537906396683,3.36374415280514,83.45247871822538,90.86040659487308,177.6766294659036,199.441626074804,329.2971156503443
Coal & lignite,4.411371220273576,0,0,0,4.411371220273576,2.777443461306671,0,2.256213775336411,5.033657236643082,0.5212599507285676,172.3018759536524,1.860950231040958,174.6840861354219,184.1291145923386,226.6822544394798
"Oil & gas extraction, metal ores & other",13.67702004494866,0.007031444949891299,0,0,13.68405148989856,1.906414651894002,0,-9.716650096568465,-7.810235444674463,1.30571952204632,59.38488519761081,49.58052371871459,110.2711284383717,116.1449444835958,413.377331639799
Mining Support,47.06150858817924,0.0197235319241721,0,0,47.08123212010342,26.79718796484064,0,0.9609067697437358,27.75809473458438,6.020366668463894,1835.633846966513,189.8459571071471,2031.500170742124,2106.339497596812,2330.811502647777
Meat processing,312.7871461309679,0.01026196138781926,0,0,312.7974080923557,0.6001926807038478,0,0.3434995505862071,0.9436922312900549,10.58484184345053,491.5263471002242,50.96887865965796,553.0800676033327,866.8211679269785,1047.257196901972
Fish & fruit processing,177.6231170146278,0.01179645643810821,0,0,177.6349134710659,1.443178717255802,0,0.4962646519198916,1.939443369175694,4.213210358746023,466.9458481828428,196.4858875975604,667.6449461391493,847.2193029793908,970.9989654884807
