,Agriculture,Forestry planting,Forestry harvesting,Fishing,Aquaculture,Coal & lignite,"Oil & gas extraction, metal ores & other",Mining Support,Meat processing,Fish & fruit processing,"Dairy products, oils & fats processing",Grain milling & starch,Bakery & farinaceous,Other food,Animal feeds,Spirits & wines,Beer & malt,Soft Drinks,Tobacco,Textiles,Wearing apparel,Leather goods,Wood and wood products,Paper & paper products,Printing and recording,"Coke, petroleum & petro-chemicals","Paints, varnishes and inks etc.",Cleaning & toilet preparations,Other chemicals,"Inorganic chemicals, dyestuffs & agro-chemicals",Pharma-ceuticals,Rubber & Plastic,Cement lime & plaster,"Glass, clay & stone etc.",Iron & Steel,Other metals & casting,Fabricated metal,"Computers, electronics & opticals",Electrical equipment,Machinery & equipment,Motor Vehicles,Other transport equipment,Furniture,Other manu-facturing,Repair & maintenance,Electricity,Gas etc.,Water and sewerage,"Waste, remediation & management",Construction,Wholesale & Retail - vehicles,Wholesale - excl vehicles,Retail - excl vehicles,Rail transport,Other land transport,Water transport,Air transport,Support services for transport,Post & courier,Accomm-odation,Food & beverage services,Publishing services,Film video & TV etc.; broadcasting,Telecommunications,Computer services,Information services,Financial services,Insurance & pensions,Auxiliary financial services,Real estate - own,Imputed rent,Real estate - fee or contract,Legal activities,Accounting & tax services,Head office & consulting services,Architectural services etc.,Research & development,Advertising & market research,Other professional services,Veterinary services,Rental and leasing services,Employment services,Travel & related services,Security & investigation,Building & landscape services,Business support services,Public admin & defence,Education,Health,Residential care and social work,Creative services,Cultural services,Gambling,Sports & recreation,Membership organisations,Repairs - personal and household,Other personal services,Households as employers
Total domestic use,1227.263373360758,69.12483600891154,207.1203718807098,69.17983516776854,391.933938668654,21.81542474437958,216.1587701732644,693.4322635231773,689.4728030747027,743.4469332760915,246.3238603439554,35.07564325853858,253.120081120834,159.6119303041904,226.0406715910756,695.2852605844469,68.07996955683411,104.1009541170238,0,110.211926208125,64.96943981311783,90.89670316834426,780.613742050265,299.0493475944039,73.70284358457292,109.8934769897238,14.94666973207348,39.44554755863614,348.1808790026379,48.29935732112794,79.56505295954905,233.5779808401099,139.7346026410088,106.4447053906947,130.6284082341696,33.78575274512434,702.8790861867325,652.2114583790308,151.9970953479955,613.171960849629,215.2947381334303,1336.248984000638,86.1913629665084,138.6229053176276,324.8401669907413,4507.116968545361,1162.023576390367,260.3127305050971,778.0390947092767,7290.123476885984,507.3100217906784,2317.452176643289,1724.107174815528,354.2752350083711,625.6290681382726,103.8906503074738,346.4247074056381,964.6233733364029,326.5145620668742,498.4889290565592,1199.850037884902,61.82254400355909,142.1664328580347,424.5189777491473,325.0234204606911,44.55139991475146,2270.057349015598,2739.014922768988,1046.841141281155,1538.762702018156,1458.56777539566,139.952550613584,151.8542207330759,104.0296998287338,410.786003955694,1317.009632313586,467.4977287754811,46.5834354515616,141.2827662233568,31.65308088780528,346.4999945135073,410.2452051931947,274.8132437783991,40.58905402274819,569.6046122241206,240.2769582238473,3944.425180991893,1649.739714458114,2469.024546616737,1310.712056409009,69.80437909251017,139.8071446624454,239.7236522396311,511.6931826791026,214.8094593511671,55.06398976018426,171.3828167845253,0
Imports from rest of UK,686.065522180696,29.28702602879383,34.56747786403258,70.28885287984676,206.7594558243044,21.52929112639736,92.15196560885086,494.0380394497661,254.1220168812492,274.8008347377961,101.5889269346278,24.67443421666187,293.8872329909424,155.3713116112403,210.2133144979521,642.6749963727133,69.46026489945002,83.40359499209438,0,72.16358595923745,34.00692874303661,55.22238875705472,156.1376143356284,112.2505667325857,42.88303376686869,555.3710007075538,14.33736962693031,38.74420612897924,322.8568582224785,38.62446369197634,75.86322507785148,250.6816384495885,70.05035703540165,41.70729778217113,65.72020263528093,25.19175101864079,351.1099875437134,341.8560335515799,81.43874012392575,292.9963089932525,163.7297928047034,565.3108579701525,31.22879882857205,89.9345747803249,166.3584103770705,1538.813021427969,787.5277931348826,108.3355113785279,272.4748567195331,2604.443012894936,365.7434327622213,1364.197703205678,886.4703210671767,210.4398950280414,478.4116349040552,79.3091846295875,318.2075272472476,562.4596185837557,104.4552700617282,292.8928968219074,751.412894295003,60.61259345966835,230.8263580901561,407.7292344266031,397.6326541498196,39.56301548273774,1435.16736617154,1348.648991066611,642.7400248100819,478.3288376906038,542.3061219327533,71.90810432696017,89.46312578692935,72.40257758707939,313.7111441774612,568.7846421865144,214.0832322382581,38.56096637751096,77.52422584029158,22.56987287329558,224.6376458955745,239.3152284073058,263.0503709236863,23.31360757450022,169.3971962508069,127.4005923705671,1904.987499852166,688.6749347869335,1366.545260766546,361.109456698151,94.1350551775837,77.43904132224787,156.3251990843687,273.3008146225894,139.8356570885574,33.61586635742722,76.31837693803804,0
Imports from rest of world,266.5985400469373,10.4601755595835,13.85359316426444,31.79802608017041,46.07014581329922,8.172877580332093,33.2407363470567,273.9949991604043,168.8778390404322,156.0859917157126,67.0022209409597,8.867078320992137,102.588021466153,62.86918395082889,48.50104473746047,237.3050302657556,21.1896105005579,49.82719630562949,0,42.21882594363019,20.70496558911545,30.89290898412476,84.50883121329822,139.3744891516224,36.28819132894883,136.8673840831336,8.509380843102395,20.19121667016048,93.06860595158084,19.80153508445711,63.14388718037216,150.7852340256207,20.33093463719307,18.6803497798369,60.43525220558072,36.75017102397798,316.6547491787923,788.9793798320276,167.9028688676466,458.5272075075893,87.16738360350367,821.335623990942,19.51532334069491,63.68063647992958,187.4196455719664,284.3924176198715,109.5549996329091,34.5655003150133,171.9140648019599,1097.871258245045,106.4121148160105,637.5904194167005,275.6795342879219,60.28699867154135,178.919382858557,32.10263981865683,187.7088680005785,234.1875509597041,36.74240396075366,90.65513750880883,289.8102207374349,17.58922743442534,56.0585955960083,168.7813672383814,123.7829135598184,20.24861999753113,416.1162243704301,192.669879882508,108.4880754217021,80.53952045508771,89.60460422360664,17.39472649359706,23.00056228241711,27.05777540992586,126.4246606980378,243.9150969558123,81.98115503190218,12.68135107043714,41.82461702298103,18.02461945056396,82.51505575507277,54.82923294987966,132.102899644479,12.5788519419101,67.85934185134683,114.0483626766692,1253.850211480617,251.1855445955847,1308.58028615099,121.024989200873,50.27120794387096,23.80294676252483,81.34966519573325,94.21298677658422,61.11639316147345,17.65650789494935,41.21466979474216,0
Total intermediate use at basic prices,2179.927435588391,108.8720375972889,255.5414429090068,171.2667141277857,644.7635403062576,51.51759345110903,341.551472129172,1461.465302133348,1112.472658996384,1174.3337597296,414.9150082195429,68.61715579619259,649.5953355779294,377.8524258662596,484.7550308264881,1575.265287222916,158.729844956842,237.3317454147477,0,224.5943381109926,119.6813341452699,177.0120009095237,1021.260187599192,550.674403478612,152.8740686803905,802.1318617804112,37.79342020210618,98.38097035777585,764.1063431766972,106.7253560975614,218.5721652177727,635.044853315319,230.1158943136035,166.8323529527027,256.7838630750313,95.72767478774311,1370.643822909238,1783.046871762638,401.3387043395679,1364.695477350471,466.1919145416373,2722.895465961732,136.9354851357754,292.2381165778821,678.6182229397782,6330.322407593201,2059.106369158159,403.2137421986383,1222.42801623077,10992.43774802596,979.4655693689102,4319.240299265667,2886.257030170627,625.0021287079538,1282.960085900885,215.3024747557182,852.3411026534642,1761.270542879863,467.7122360893561,882.0369633872754,2241.07315291734,140.0243648976528,429.0513865441991,1001.029579414132,846.4389881703291,104.3630353950203,4121.340939557567,4280.333793718108,1798.069241512939,2097.631060163847,2090.47850155202,229.2553814341413,264.3179088024224,203.490052825739,850.9218088311931,2129.709371455913,763.5621160456415,97.8257528995097,260.6316090866295,72.24757321166481,653.6526961641545,704.3896665503802,669.9665143465643,76.48151353915851,806.8611503262744,481.7259132710837,7103.262892324676,2589.600193840632,5144.150093534273,1792.846502308033,214.2106422139648,241.0491327472181,477.3985165197331,879.2069840782763,415.7615096011979,106.3363640125608,288.9158635173055,0
Taxes less subsidies on products,58.24886718060533,3.460207346711087,6.628178030993507,32.52121310621425,9.959519861741455,5.799495790890932,28.33051434138813,6.270669030652614,-2.184841623385452,3.778682119400858,0.8780845184572734,0.2717515808074181,6.131054859070315,2.346976453740361,3.183849479512339,116.964406912083,5.759028965157865,6.122681375252178,0,12.67923325400722,1.252353313730091,2.469977950475973,14.20342305880876,7.179039538519582,1.148016066594548,126.0320413894755,4.795362829893798,1.354447668224094,26.63318088285538,4.266317146675691,3.448675600227739,101.1211789896814,10.32712784839664,11.04114280429733,2.228913338391451,1.020515898981668,15.42508500476247,27.27472934236304,12.30083972666015,9.89294730052845,2.786959915731829,43.04980043502785,2.58718682122444,12.12923183611831,15.39203045522182,203.7933184223147,24.30915876419814,60.59294106036159,260.9992476153991,311.6073719860317,26.29134218709034,146.8070911353348,77.68877938337354,13.97878224304638,216.8041778103015,9.06185191428185,153.1947846345368,80.70295721313792,56.72550870564376,45.5584089247253,180.9320811946606,0.4949891343473604,1.100686804800928,6.239920667868644,6.346785720671024,0.6459120589796811,432.5665562124319,423.4267774918872,185.8115953645663,25.19186955068525,14.52149826997984,2.522117868858632,1.836480352577497,2.483284417260995,14.67842034880731,37.49785123694802,-150.1295343016423,0.7277558204902554,2.492786172370644,0.7963971143351602,26.46305202184528,10.52980501561941,44.44731812643588,2.974931310841479,12.04926691572607,3.806562490916496,864.1445556713248,241.0201929933675,689.647355563731,202.764858343966,30.10645743003504,4.494153655781904,3.401187917266811,119.6047197167242,12.15386031786801,1.205125638439241,37.50919738069445,0
Taxes less subsidies on production,-478.95,0.251334665,0.354333549,0.734954463,0.49691049,-2.247509526,2.032938536,13.21457099,3.240203507,1.549571712,-0.506338003,-0.023990705,1.756634078,1.649687848,-0.048707208,4.457295237,0.30861656,-0.382973025,0,0.831359456,-0.778079546,-6.05327991,11.71454836,6.932988086,3.352463555,11.67211958,0.40489839,1.623842945,9.049925362,1.249213728,2,21.04383167,5.280560784,4.675607546,4.245485086,1.271459467,33.48305545,7,7,17,4.157252756,19.842747248,1.224679975,3.595948814,6.179371209999999,162.3838329,47.61616715,66.29340603,14.220418695,109,136.2895422,391.1557789,457.5546789,23.83271339,42.68537838,9.829493774,18.18700857,56.81223572,2.653170162,99.37230314,204.6276969,2.529456115,-29.190005206,37.76422573,54.74124521,-0.844921844,144.6278258,82.9785845,53.39358966,-91.03726216,0,5.037262165,17.93382293,12.13373377,44.754728,85.11682791,16.83254974,4.945434194,6.901090648,-8.618187178,23.56926756,30.69513759,15.94176798,3.150520575,16.97372997,22.66957632,0,42,21.09983361,21.90016639,6.819041539,8.837666644,19.28269898,35.06059283,11.61584446,5.961783133,28.4223724,0
Compensation of employees,414.71,77.11090514,88.04247726,69.59087467,93.31413536,17.16921092,87.86346928,967.9673198,183.4274703,249.4591921,80.107357959,11.01408558,359.8280076,173.6560641,50.27876547,756.2993737,57.18808429,84.74159882,0,175.419458,116.6242282,41.95631377,317.9520798,220.0408344,148.0070859,216.1158755,15.4767363,44.90562718,102.8139032,55.687857812,508,359.99407,94.46737433,115.5385557,78.20833778,23.36439688,895.4272652899999,895,176,727,122.8805613,471.119438699,95.45231958,268.0675027,763.48017772,668.9887319,320.0112681,281.7560513,585.45847619,4848.0000003,1489.829777,2579.452677,4209.717546,337.8824948,1162.122189,121.7502386,321.2707711,1357.5545364,628.4197701,1103.070378,2060.929622,208.5708948,235.34635374,964.6122955,1439.00208,84.46837607,3064.00316,956.5403935,1364.456447,583.2816785,0,279.7183215,539.1572053,511.540046,1482.609641,1959.89057,542.4648605,122.5750277,300.4026801,106.3599693,512.8047362,1194.405423,187.6046649,201.9210032,939.8589855,762.4051873,6913,5859.999999899999,7087.6785633,3763.3214374,85.248625765,207.88592689,233.0586933,739.8067541,379.7042421,114.5503588,446.7453991,251
Gross operating surplus,1292.000444,61.68277616,50.0618507,108.2220105,257.9160315,2.790590492,83.15972807,255.0496814,79.29442103,175.144808,20.99354982,0.518207026,91.32072435,95.66171038,22.50544454,1579.272668,49.18852821,89.09993891,0,145.5602224,109.4557606,16.98401699,234.0634187,47.8710802,95.06550112,159.535778,3.765679223,53.98153581,326.0700966,49.64691033,444,128.855009,22.26516987,27.87982114,69.26688864,21.39643211,220.3366793,338,37,194,72.15657503,30.84342496200001,16.38118234,56.81479908,454.80401857,2722.911002,252.0889983,712.5037366,659.54628883,3813.9999993,322.9916144,1117.383967,2338.624418,-6.916784385,434.6645758,22.53388062,41.05255214,947.2910769,55.37469897,523.1185647,678.8814353,66.02562961,174.42737985,781.7499037,1186.543717,141.2533696,2610.850168,2303.524827,1379.625005,3792.926564,11274,41.07343567,476.5120547,309.1821291,369.7171797,1165.456724,259.7065867,188.4713126,218.4384386,125.5155745,563.4116185,240.7676277,347.3806122,45.89554238,204.2454439,359.2991554,2647.9999999,2233.9999996,2450.438757,612.5612427530001,40.499365733,32.34100106,338.1875505,112.97208267,110.6783226,233.9921281,1009.329549,0
Gross value added,1227.760444,139.045015965,138.458661509,178.547839633,351.7270773499999,17.712291886,173.056135886,1236.23157219,265.962094837,426.153571812,100.594569776,11.508301901,452.905366028,270.967462328,72.735502802,2340.029336937,106.68522906,173.458564705,0,321.811039856,225.301909254,52.88705085,563.73004686,274.844902686,246.425050575,387.32377308,19.647313913,100.511005935,437.933925162,106.58398187,954,509.89291067,122.013104984,148.093984386,151.720711506,46.032288457,1149.24700004,1240,220,938,199.194389086,521.805610909,113.058181895,328.478250594,1224.4635675,3554.2835668,619.71643355,1060.55319393,1259.225183715,8770.9999996,1949.1109336,4087.9924229,7005.896642899999,354.798423805,1639.47214318,154.113612994,380.51033181,2361.65784902,686.447639232,1725.56124584,2944.4387542,277.125980525,380.583728384,1784.12642493,2680.28704221,224.876823826,5819.4811538,3343.043805,2797.47504166,4285.17098034,11274,325.829019335,1033.60308293,832.85590887,1897.0815487,3210.46412191,819.00399694,315.991774494,525.742209348,223.257356622,1099.78562226,1465.86818829,550.92704508,250.967066155,1161.07815937,1144.37391902,9560.9999999,8135.999999499999,9559.21715391,4397.782846543,132.567033037,249.064594594,590.52894278,887.8394296,501.99840916,354.504270033,1484.4973205,251
Total output at basic prices,3465.936746768996,251.3772609089999,400.6282824490003,382.335766867,1006.450137517999,75.02938112799995,542.9381223565601,2703.967543354001,1376.249912209999,1604.266013661001,516.3876625140001,80.397209278,1108.631756465,651.1668646479999,560.6743831080005,4032.259031071999,271.1741029819999,416.9129914949999,0,559.0846112209998,346.235596713,232.3690297099997,1599.193657518,832.6983457031316,400.447135321985,1315.487676249887,62.23609694499998,200.2464239609999,1228.673449221553,217.5756551142371,1176.020840818,1246.058942975,362.4561271460002,325.967480143,410.7334879194227,142.7804791437248,2535.315907954001,3050.321601105001,633.639544066228,2312.588424651,668.1732635433692,3287.75087730576,252.5808538519998,632.8455990080004,1918.473820895,10088.39929281551,2703.131961472357,1524.359877189,2742.652447561169,20075.045119612,2954.867845156,8554.039813301002,9969.842452454,993.7793347560001,3139.236406891186,378.477939664,1386.046219098001,4203.631349113,1210.885384027,2653.156618152001,5366.443988312,417.6453345570001,810.735801733,2791.395925012,3533.072816101,329.88577128,10373.38864957,8046.804376209995,4781.355878537505,6407.993910054533,13378.999999822,557.6065186379999,1299.757472085,1038.829246113,2762.68177788,5377.671344602861,1432.436578683999,414.545283214,788.8666046070001,296.301326948,1779.901370446,2180.787659856,1265.340877553,330.423511005,1979.988576612,1629.906394782,17528.407447896,10966.620386334,15393.014603008,6393.394207195,376.8841326809999,494.607880997,1071.328647217,1886.651133395,929.913779079066,462.0457596840001,1810.922381398,251
