,Households,NPISHs,Central government,Local government,Total,Gross fixed capital formation,Valuables,Change in inventories,Total,Non-resident households,"Rest of
UK
exports",Rest of world exports,Total,Total final use, Total use for industry output
Agriculture,1010.648001382678,0.3249633044715483,0.03496136712780511,0.9094909244055115,1011.917416978683,136.4055593751074,0,7.707251570794359,144.1128109459017,49.24360796586615,818.7468854799441,245.2842041920842,1113.274697637894,2269.304925562479,3227.603102225978
Forestry planting,12.41660526138412,0.9383232373079813,0,0.5857285688066995,13.9406570674988,8.00502279486776,0.001128598851406504,14.26689122676777,22.27304262048694,8.698796100032423,4.568563902212701,2.576319847149362,15.84367984939449,52.05737953738022,168.4875013388512
Forestry harvesting,12.44364467248005,0.3553035173633168,0.07484112379170366,0.5757677091037324,13.4495570227388,0.9223163063384298,0,-3.915724896474914,-2.993408590136485,0.2262912749285763,65.86125602827332,13.5014928501216,79.5890401533235,90.04518858592581,285.4815261481475
Fishing,15.650584645322,0.2133589663403213,0.02820330850813708,0.9918147114418723,16.88396163161233,0.1649241003583876,0,23.88712119725769,24.05204529761608,3.433398148905259,44.7775726060916,128.1865039283136,176.3974746833104,217.3334816125388,367.8862681211884
Aquaculture,26.67293697997707,0.4285129245174601,0.05657485232575547,1.99384720000729,29.15187195682757,0.1245852704942671,0,12.20690102519769,12.33148629569195,4.142895300543258,182.624296730805,253.5903275260635,440.3575195574117,481.8408778099313,738.6682760318511
Coal & lignite,2.112240261077392,0,0,0,2.112240261077392,0.9036100734636971,0,-15.0025869723112,-14.0989768988475,0.1374398269503074,67.59216637894224,1.031783005377809,68.76138921127036,56.77465257350025,81.79049786331403
"Oil & gas extraction, metal ores & other",15.25015851845613,0.003849716388117253,0,0,15.25400823484424,1.416162341205351,0,10.10534265052424,11.52150499172959,0.8867525131100719,63.46438954276058,73.08815459856274,137.4392966544334,164.2148098810072,454.7318117576746
Mining Support,129.9265273192242,0.1177312849687052,0,0,130.0442586041929,20.55989732948627,0,0.7202363518553213,21.28013368134159,11.91741521063294,2753.858893160712,441.7412061529525,3207.517514524297,3358.841906809832,3848.178183164355
Meat processing,307.2703855178446,0.03509773376158654,0,0,307.3054832516062,1.265835188785347,0,-0.9025838845539808,0.3632513042313666,7.881840657668771,612.8678607351388,85.37388801849488,706.1235894113025,1013.79232396714,1187.170347668105
Fish & fruit processing,233.9438097937548,0.03506822223063634,0,0,233.9788780159855,1.042107518424071,0,-3.534197742233193,-2.492090223809122,4.550216723093013,692.8637763565395,321.8445656936409,1019.258558773273,1250.74534656545,1429.346265297565
"Dairy products, oils & fats processing",308.7669692792772,0.002561663145510938,0,0,308.7695309424227,0.5310254708481812,0,2.446982036032919,2.9780075068811,6.735765963478245,268.1534136238886,39.05844635142862,313.9476259387955,625.6951643880992,727.5531043389354
Grain milling & starch,13.88096773114573,0.001360191447167423,0,0,13.8823279225929,0.1145885496903223,0,-1.26839984379985,-1.153811294109528,0.3331958077383682,31.16580261005824,2.717620316877746,34.21661873467436,46.94513536315772,86.468983334098
Bakery & farinaceous,455.9641802929408,0.01993128360740251,0,0,455.9841115765482,1.580979194523599,0,1.401512794075256,2.982491988598855,9.458611154990182,513.6864349560298,101.0271155919792,624.1721617029991,1083.138765268146,1203.2129900666
Other food,166.96577333985,0.01416031090033668,0.1315197351480794,0,167.1114533858984,1.766906625477628,0,2.189233697034527,3.956140322512154,3.235519078489006,297.1313771945771,75.78181453434263,376.1487108074087,547.2163045158193,651.8131203555596
Animal feeds,80.59088254168067,0.003598018449195716,0,0,80.59448056012987,1.165688691115088,0,1.694107824048408,2.859796515163496,0.5425708427950656,76.40369822078245,48.69581533592373,125.6420843995012,209.0963614747946,365.2951112113548
Spirits & wines,249.3780834389184,0.0814774245364166,0,0,249.4595608634548,21.41724271009707,0,11.92311079748505,33.34035350758212,17.28900271281872,578.6395760968659,2758.485010025811,3354.413588835496,3637.213503206533,3880.387298267746
Beer & malt,52.550665869959,0.0235967508988705,0,0,52.57426262085787,2.3350722018686,0,2.614362306521368,4.949434508389968,3.417368543112465,59.92107423274835,136.5254935438189,199.8639363196797,257.3876334489275,300.3728383620381
Soft Drinks,100.0863483432694,0.00073275560066075,0,0,100.0870810988701,0.2944108890802473,0,0.2678676945177546,0.5622785835980019,6.394276240025372,241.9066168899207,11.8243621805918,260.1252553105379,360.7746149930059,395.9738154667033
Tobacco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Textiles,223.4671420483215,0.07796487105936661,0.01644043804397268,0,223.5615473574248,31.15095454145879,0.1211064791808328,2.262830660452027,33.53489168109165,5.813685416696667,159.7367402676101,171.1523306696846,336.7027563539913,593.7991953925077,711.7788359994472
Wearing apparel,72.45041494287507,0.01058684796681886,0,0,72.46100179084189,1.469578825937613,0.02644060606331408,0.1381600713300096,1.634179503330937,5.905991147027683,102.7675348895992,92.22151585164944,200.8950418882764,274.9902231824491,284.4105875541807
Leather goods,30.83734437426788,0.00714704889560608,0,0,30.84449142316348,0.7367014605861282,0.001574218418511317,0.08385480920918471,0.8221304882138242,4.097736865167164,22.55090148077742,80.13237307557324,106.7810114215178,138.4476333328951,142.3767340685411
