,Agriculture,Forestry planting,Forestry harvesting,Fishing,Aquaculture,Coal & lignite,"Oil & gas extraction, metal ores & other",Mining Support,Meat processing,Fish & fruit processing,"Dairy products, oils & fats processing",Grain milling & starch,Bakery & farinaceous,Other food,Animal feeds,Spirits & wines,Beer & malt,Soft Drinks,Tobacco,Textiles,Wearing apparel,Leather goods,Wood and wood products,Paper & paper products,Printing and recording,"Coke, petroleum & petro-chemicals","Paints, varnishes and inks etc.",Cleaning & toilet preparations,Other chemicals,"Inorganic chemicals, dyestuffs & agro-chemicals",Pharma-ceuticals,Rubber & Plastic,Cement lime & plaster,"Glass, clay & stone etc.",Iron & Steel,Other metals & casting,Fabricated metal,"Computers, electronics & opticals",Electrical equipment,Machinery & equipment,Motor Vehicles,Other transport equipment,Furniture,Other manu-facturing,Repair & maintenance,Electricity,Gas etc.,Water and sewerage,"Waste, remediation & management",Construction,Wholesale & Retail - vehicles,Wholesale - excl vehicles,Retail - excl vehicles,Rail transport,Other land transport,Water transport,Air transport,Support services for transport,Post & courier,Accomm-odation,Food & beverage services,Publishing services,Film video & TV etc.; broadcasting,Telecommunications,Computer services,Information services,Financial services,Insurance & pensions,Auxiliary financial services,Real estate - own,Imputed rent,Real estate - fee or contract,Legal activities,Accounting & tax services,Head office & consulting services,Architectural services etc.,Research & development,Advertising & market research,Other professional services,Veterinary services,Rental and leasing services,Employment services,Travel & related services,Security & investigation,Building & landscape services,Business support services,Public admin & defence,Education,Health,Residential care and social work,Creative services,Cultural services,Gambling,Sports & recreation,Membership organisations,Repairs - personal and household,Other personal services,Households as employers
Total domestic use,1078.658873869607,54.40362473715506,164.471877927358,81.42014778167406,300.9435017090739,23.4850952698132,186.1359679837462,1137.488988740046,554.1195157466553,659.7281698623111,353.4564901498436,34.16758263251192,311.4566467831712,193.0638433906938,131.9556963442243,800.5843430686613,82.78848333670345,107.6496149522848,0,160.1041612736979,94.54933978359051,51.82082119696546,803.1173735096531,351.5811694810043,115.2411479095442,134.8825935825299,14.82239995941978,46.08623942760358,110.8184488026238,81.90181714108792,136.711828363348,331.5252100013298,121.9560311571327,134.7878398196254,126.97065912732,32.2122214797728,805.1934982114742,397.1079706016884,195.4633700350086,753.9012562263625,203.3196101925644,1066.563330649807,94.51710137800022,126.8476555683439,446.1836186109782,4697.271391270812,1246.253772077299,198.4619964762045,514.0110068946767,6855.222077927913,455.7203091960077,2099.345082398891,2020.927892150235,406.2484914593859,553.1185300284837,158.4460881881502,327.9621852864675,819.7363093793361,284.1695837369449,463.2004357870981,1152.402467638888,107.4243834527371,79.90323086236037,603.8915926411827,451.5553489568457,38.19531922468411,2085.830306147352,2714.876198203488,1045.583764991213,1341.210001727142,1518.42774719877,127.1649036682174,196.1270970511308,130.552386444315,372.120455136091,1779.948145157469,272.5115641828997,57.90009609337378,80.35422757274,26.70666828704265,353.954356075266,563.201743191099,489.9731919087467,52.51997315666297,519.7397902639393,248.7571014051621,3858.605097352881,1596.868614669519,2304.876323922087,1343.542228775842,74.79817985332261,134.6304248303197,265.1063135282585,441.840912517888,147.2415554925253,24.39747615270807,185.7915668957624,0
Imports from rest of UK,636.4931123225642,20.46517751221557,24.62997019860824,63.01236261791691,173.8404106403934,18.44292955426716,79.47383113052112,528.1274248147425,230.676082155629,258.602834861677,118.2821143502162,23.22618849100295,312.9986556306672,150.5791199962845,126.7745286177042,730.488197881228,66.99186221569921,81.3126357055124,0,71.60966301648784,36.31785432320598,31.98791987949044,132.9580421188153,98.8414245867291,55.34571706403534,796.7923493896884,12.39752861358908,36.22011434041084,72.84510533451557,49.32765703212406,91.60073198661955,258.8123574164679,54.08672491629229,52.34836640481208,58.03374661252581,30.71054708514776,295.8056124323559,187.455517726802,93.68737446227532,251.2302617172505,217.9446017945671,360.7371434177881,33.23724967053431,62.86486921701532,212.1993287131928,1229.56520934374,638.9762429187326,57.34894948110708,235.8777001009489,2042.037826126595,388.4372772712976,1211.356321963611,998.8594724525954,217.4815097446531,399.5907388916648,108.7018314292999,251.8268724794135,457.2833544462463,96.80792966078762,234.6144234650902,706.4692502868959,78.16459637387855,137.063148383327,421.1304966091382,332.7358872279901,31.3230400903729,1359.784743195955,1360.969542569955,589.4576597389807,433.7372724242608,694.7755346547876,72.19427813435067,104.6006049630126,81.38690419979308,287.1829834646437,748.4358124238744,117.0078802957849,34.47390254891569,66.38863674281549,15.76077846088672,237.8164194788114,288.6822877424792,280.51160304106,27.21641663549538,150.8748399993723,154.753587560614,1868.611156279085,635.895515892139,1097.641858463849,326.1352645675856,74.38157371669745,70.82449490851619,162.9362441532781,231.0295721627479,129.4257844667399,14.28201154259384,80.0099191377562,0
Imports from rest of world,260.0187487894192,8.13763769661304,10.18568610006773,32.1602958638187,36.58641194575269,10.93466967382917,32.26509982833039,398.6569494705362,141.0171361481794,137.3909985437072,88.20926447766743,8.175352163505343,111.5782542197307,60.35139814742109,32.24864808158663,224.5288350920807,22.47969563409864,44.96171485827434,0,55.28712315496316,28.98517028034623,17.16418334443706,108.7612169256341,159.9557208370842,53.4415479804844,237.6692872787627,7.368009616771275,22.98037911167562,58.07450576827985,28.73943661109551,81.47746325409254,172.387555917209,19.81601131171791,26.54297087409217,78.04484766501899,31.17195462714234,317.9904432638208,498.5916323964165,180.3523301325151,466.1300658880575,110.2720969344727,485.1913023581942,24.68971818949477,56.39640292734013,208.4777356507682,323.7203603403149,118.738566704308,23.45334916096536,160.9337121894471,866.2046078660662,101.5022045004375,526.6153385806695,275.6366944555177,62.32297309001113,154.3062702763924,39.22200330044749,167.3036607358003,167.1119836958014,34.52898859400582,69.70094845542152,229.8135277945139,32.05310391921805,35.37107324464569,168.872762991147,110.9179066827367,11.69718862579627,318.8527719753989,234.012941840777,103.8404412401127,65.21798939073857,84.93175495799846,18.38381068964102,25.83628272020278,24.94404269548956,101.7791911424503,346.5030218766556,46.67833812124648,14.67270252421586,34.70947030550025,15.26230551310851,76.49809789672715,48.5104622966747,154.2220743376007,12.02666813065902,71.02256464272737,96.81052843466416,1168.637051544836,227.5321207039762,1146.649674484614,117.0214335390774,33.15706070341417,20.6227181402543,57.40330197442027,75.72933986190247,47.4691997126117,6.228684168520993,36.30432181140182,0
Total intermediate use at basic prices,1975.17073498159,83.00643994598367,199.2875342260339,176.5928062634097,511.37032429522,52.86269449790952,297.8748989425977,2064.273363025325,925.8127340504637,1055.722003267695,559.9478689777272,65.56912328702022,736.0335566335691,403.9943615343994,290.9788730435151,1755.60137604197,172.2600411865013,233.9239655160715,0,287.0009474451489,159.8523643871427,100.972924420893,1044.836632554103,610.3783149048176,224.028412954064,1169.344230250981,34.58793818978013,105.28673287969,241.7380599054192,159.9689107843075,309.7900236040601,762.7251233350066,195.8587673851429,213.6791770985297,263.0492534048648,94.0947231920629,1418.989553907651,1083.155120724907,469.503074629799,1471.261583831671,531.5363089216041,1912.491776425789,152.4440692380293,246.1089277126994,866.8606829749392,6250.556960954867,2003.96858170034,279.2642951182769,910.8224191850727,9763.464511920574,945.6597909677428,3837.316742943171,3295.424059058349,686.0529742940502,1107.015539196541,306.3699229178977,747.0927185016812,1444.131647521384,415.5065019917383,767.5158077076098,2088.685245720297,217.6420837458337,252.337452490333,1193.894852241468,895.2091428675725,81.21554794085328,3764.467821318706,4309.85868261422,1738.881865970306,1840.165263542141,2298.135036811556,217.7429924922091,326.5639847343462,236.8833333395976,761.0826297431851,2874.886979457999,436.1977825999311,107.0467011665053,181.4523346210557,57.72975226103788,668.2688734508046,900.3944932302529,924.7068692874074,91.76305792281737,741.637194906039,500.3212174004403,6895.853305176801,2460.296251265634,4549.167856870549,1786.698926882505,182.3368142734342,226.0776378790901,485.4458596559568,748.5998245425383,324.1365396718769,44.9081718638229,302.1058078449204,0
Taxes less subsidies on products,62.54137444341028,2.617088069016278,4.7210565079659,29.25381076259022,9.438441208778874,4.970050411090538,19.78369483085378,7.935710515674996,-2.681106517463651,3.658164133305788,-0.852227564727198,0.06017459797983327,5.290822317430541,1.685965662600835,1.943429190485133,137.8396182940274,7.592456286498735,5.212670735928351,0,13.90183477585093,1.549341808857504,1.288742126107013,18.90689665589822,6.576558382972578,1.253623195936151,112.6491214602611,4.539819579219859,1.085013296309965,17.61347742537237,10.4123949161509,4.092984435939931,101.0017876419942,7.439312511857094,13.92882065447028,2.652892271970069,0.9126937845156281,12.5842038203481,14.08139674309211,8.26158702133504,7.287645142332294,3.807386728087697,33.57681199321055,3.090727876970769,7.811574293300727,19.05504408305992,100.8903442592892,28.97786143636618,39.7499840307228,204.6874315692311,267.0351972994273,14.17242163725747,138.0587439708258,59.22157582565733,15.9980852759501,148.8822258963648,17.63973615210187,137.1236309273189,42.54871216961453,52.35258646126203,74.17075346338932,164.4727948056997,0.9137142381660031,0.6395642126670209,7.386261276530892,5.554777680426819,0.3994011631467683,398.3201098812936,415.564194855782,191.8390096936703,19.06492568980103,10.86496325344516,2.809462642790893,1.916377523653856,1.691527314402318,11.17926013581555,45.76391170270647,-50.15153679993073,1.218182935494693,1.564546339944082,0.795132061962071,26.79041527919613,14.06497863474682,49.67729163459211,2.828882447182571,12.79515916596156,4.680287463559575,836.5679025131988,238.8230425113679,598.0994765004472,199.3665705554946,24.6901541545657,2.609912901909731,5.098331223042954,96.00631207546098,9.568673306122772,0.2061820201770704,38.3207485450797,0
Taxes less subsidies on production,-488.8821,0.154565274,0.217907315,1.537574462,1.701674534,-0.350916222,1.308535217,12.042381,3.147834719,3.418196486,1.679331274,0.192031679,2.948688098,1.738154116,0.785297955,9.572382311,0.736562703,0.78152066,0,1.1125877,-0.269619834,-2.842967866,11.84846841,7.66635556,3.485176026,16.63654167,0.555533486,1.641731942,3.743420289,2.422772618,2,19.35810624,4.355858323,5.286035432,5.280024568,1.532427457,34.187547978,7,6,32,4.669903407,16.330096593,1.098767166,2.544847126,8.356385708000001,117.8546722,35.14532777,41.7757605,50.2242395,103,123.1238125,365.6117308,452.2644567,25.12730219,43.48935876,14.90881117,19.56612308,54.41685702,-7.508452211,79.81175664,164.1882434,7.182836215,2.422878605,49.23350552,49.60137327,3.559406387,128.91394,85.02933049,42.0567295,38.04763578,0,5.952364216,14.7860498,11.02839541,21.48775268,89.03674204,13.33459001,3.845599991,6.691927861,-1.211057788,19.78901462,26.12760466,17.25935095,3.285657923,21.78888894,16.7494829,0,40,19.05576977,15.94423023,6.20016379,8.039512694,16.61345739,28.14686613,9.906244033,4.098612008,28.99514396,0
Compensation of employees,349.7793,47.42150523,54.14418089,44.22856956,63.26067175,11.2411864,91.3417462,1465.417067,155.0953105,238.6366987,94.79548394199999,10.4349874,344.4037666,157.0433041,38.85988299,750.6537996,58.2015605,114.8752057,0,245.2662966,58.66771764,16.06598575,295.5002648,254.7531905,141.7465447,221.1490055,16.51515035,47.94830033,92.28132526,79.10621854,292,370.6394946,65.35851134,128.0019941,103.1004319,30.3309281,968.56864002,890,252,829,156.8157388,463.18426124,81.91972316,218.0630781,859.0171987,672.6162172,307.3837828,321.1245466,444.763287912,4291.9999999,1210.983754,2444.376287,4269.639959,266.641909,1108.833368,124.0919789,267.4696366,1347.3327775,611.6303299,968.87102,1721.12898,179.3116567,174.78763331,828.3550634,1254.367849,91.17779741,3022.16833,811.5201712,1298.311499,549.8610331,0,241.1389669,499.2583963,483.44225,607.7681286,2497.18034,456.9407285,108.5843693,266.0921258,74.73366186,478.2859757,1098.819306,182.0215743,160.6086848,960.986648,702.2778111,5753,6131.999999600001,6353.391787299999,3169.6082131,147.192249039,231.94818457,183.9034547,752.9561118,293.8319333,111.4130895,429.7549773,190
Gross operating surplus,1328.993792,35.28789834,27.11084731,116.2735065,152.8971643,13.06748287,44.42285497,298.5096622,105.7955742,127.9112023,71.982647161,10.21266626,114.5361561,87.35133431,32.72762779,1226.720122,61.58221754,41.18045261,0,164.4971691,64.61078169,26.89204923,136.7433054,63.47219624,58.78449839,174.9819398,5.854934666,17.55238278,43.38142509,28.229317675,452,135.4436916,50.42468426,38.13162414,78.75338075,7.742052838,419.504566422,285,102,358,17.83210126,73.167898738,20.00914571,94.88083241,598.11002193,2562.826942,399.1730584,640.9526448,369.939942189,3181.9999996,549.5838437,1591.3396,2280.076557,1.22296345,442.6900148,74.2132572,111.4040101,641.7905388,75.67921565,427.6192927,630.3807073,58.69476099,177.57780255,813.3577552,676.1300063,85.239675,1834.259364,2700.485317,600.2553198,3263.148038,9993,40.85196172,362.6702436,286.4106807,257.3540125,1364.764068,335.6531244,119.254704,177.6989187,90.19424799,506.2363385,267.3166367,322.9362501,36.33894074,289.778111,212.3937229,2603.9999997,2033.9999998,2197.77446,521.225539574,29.441659783,40.48602932,348.7815451,147.29076583,98.91055462,97.3973999,859.6920455,0
Gross value added,1189.890992,82.863968844,81.472935515,162.039650522,217.859510584,23.957753048,137.073136387,1775.9691102,264.038719419,369.966097486,168.457462377,20.839685339,461.888610798,246.132792526,72.372808735,1986.946303911,120.520340743,156.83717897,0,410.8760534,123.008879496,40.115067114,444.09203861,325.8917423,204.016219116,412.76748697,22.925618502,67.142415052,139.406170639,109.758308833,746,525.44129244,120.139053923,171.419653672,187.133837218,39.605408395,1422.26075442,1182,360,1219,179.317743467,552.682256571,103.027636036,315.488757636,1465.483606338,3353.2978314,741.70216897,1003.8529519,864.927469601,7576.9999995,1883.6914102,4401.3276178,7001.9809727,292.99217464,1595.01274156,213.21404727,398.43976978,2043.54017332,679.801093339,1476.30206934,2515.6979307,245.189253905,354.788314465,1690.94632412,1980.09922857,179.976878797,4985.341634,3597.03481869,1940.6235483,3851.05670688,9993,287.943292836,876.7146897,780.88132611,886.60989378,3950.98115004,805.9284429100001,231.684673291,450.482972361,163.716852062,1004.31132882,1392.26354736,522.21717535,200.233283463,1272.55364794,931.4210169,8356.9999997,8205.9999994,8570.222017069998,3706.777982904,182.834072612,280.473726584,549.29845719,928.39374376,402.648731953,212.909101408,1318.44216676,190
Total output at basic prices,3227.603101425,168.4874968589999,285.4815262489998,367.8862675479999,738.6682760879988,81.79049795700007,454.7317301604515,3848.178183741,1187.170346952,1429.346264887001,727.55310379,86.46898322400004,1203.212989749,651.8131197230002,365.2951109690002,3880.387298246997,300.372838216,395.9738152219999,0,711.7788356209999,284.4105856920002,142.376733661,1507.835567820001,942.8466155877901,429.2982552660001,1694.760838681242,62.05337627099999,173.514161228,398.7577079697916,280.1396145334584,1059.88300804,1389.168203417001,323.43713382,399.027651425,452.835982894835,134.6128253715785,2853.834512147999,2279.236517467999,837.764661651134,2697.549228974003,714.6614391166919,2498.75084499,258.5624331510001,569.4092596420002,2351.399333395999,9704.745136614158,2774.648612106706,1322.867231049,1980.437320355304,17607.49970872,2843.523622805,8376.703104713997,10356.626607584,995.0432342100003,2850.910506652906,537.2237063399996,1282.656119209,3530.220533010999,1147.660181792,2317.988630510999,4768.855971225998,463.7450518889997,607.7653311680001,2892.227437637999,2880.863149117999,261.591827901,9148.129565199999,8322.457696160001,3871.344423963977,5710.286896111942,12302.000000065,508.495747971,1205.195051958,1019.456186764,1658.871783659001,6871.632041200705,1191.97468871,339.949557393,633.4998533219998,222.2417363849999,1699.370617550001,2306.723019225,1496.601336272,294.8252238329999,2026.986002012,1436.422521764,16089.42120739,10905.119293177,13717.489350441,5692.843480342,389.8610410399999,509.1612773649999,1039.842648069,1772.999880377999,736.3539449309997,258.0234552919999,1658.86872315,190
