,Households,NPISHs,Central government,Local government,Total,Gross fixed capital formation,Valuables,Change in inventories,Total,Non-resident households,"Rest of
UK
exports",Rest of world exports,Total,Total final use, Total use for industry output
Agriculture,1401.610309878882,1.953425314787544,0.1864247843857625,3.318156354341834,1407.068316332397,138.5809797971472,0,-131.3800632642054,7.20091653294179,46.85161772364237,881.017053793196,232.8326285182831,1160.701300035121,2574.970532900461,3945.596995851331
Forestry planting,14.2516975852753,1.372309925170253,0,0.6834230755705776,16.30743058601614,9.569027007152046,0.002182836693957651,35.65051029575815,45.22172013960415,8.269611661869373,5.773109006537272,3.219842794807621,17.26256346321427,78.79171418883455,192.0677776418907
Forestry harvesting,14.78443311812303,0.4016490831192026,0.1213395855874301,1.023128123739291,16.33054991056895,1.038796637122966,0,45.43491325525261,46.47370989237557,0.0906720059142605,68.77515967290589,14.23417201734044,83.10000369616058,145.9042634991051,306.1047871227738
Fishing,20.61552271126821,0.1171519188895134,0.00882369941911356,1.516454031740148,22.25795236131698,0.6074695947404287,0,6.460491883511052,7.067961478251481,1.770637532686065,37.58964476895523,108.1129589178786,147.4732412195199,176.7991550590883,298.3130282156421
Aquaculture,46.20410552414005,0.4658410777118337,0.02932545168175561,5.086510825905435,51.78578287943908,5.175757412324615,0,16.4158522411165,21.59160965344112,3.775344540001767,184.28285836551,418.2309268425141,606.2891297480259,679.6665222809061,1014.695789740743
Coal & lignite,12.54511332782219,0.01061549487575854,0,0,12.55572882269795,18.4926515020679,0,-5.308734691978195,13.18391681008971,0.04262949445886374,11.26911220652365,6.15981912842895,17.47156082941147,43.21120646219912,64.24259560244204
"Oil & gas extraction, metal ores & other",19.11043609547289,0.05039724468737632,0,0,19.16083334016027,2.324169111167051,0,6.947675511335441,9.271844622502492,0.3897991242441848,77.59606368810158,70.9221312468439,148.9079940591897,177.3406720218524,481.4716690455149
Mining Support,80.90731886113684,0.256900878955159,0,0,81.16421974009201,16.03013771715642,0,0.763304337848345,16.79344205500477,3.67648297708304,2295.390829319411,326.0908991782952,2625.158211474789,2723.115873269886,3004.747652202923
Meat processing,327.2953554197188,0.08347584792227455,0,0,327.378831267641,0.2641931487266792,0,1.953622907665755,2.217816056392434,3.890008624057544,771.1134193006834,87.35820871983306,862.361636644574,1191.958283968607,1349.729871511516
Fish & fruit processing,284.7190427191628,0.3137572205047222,0,0,285.0327999396675,2.855988170711668,0,0.589484288085224,3.445472458796892,2.284059856859356,691.4518806904941,382.8723359403631,1076.608276487716,1365.086548886181,1529.124866152853
"Dairy products, oils & fats processing",215.1416000782249,0.007785767124555214,0,0,215.1493858453494,0.3239266258318555,0,1.648833311671752,1.972759937503608,1.926442000742573,123.6648891082089,19.67571918222859,145.2670502911801,362.3891960740331,416.1718070587123
Grain milling & starch,14.63897085980505,0.004198461709446449,0,0,14.6431693215145,0.179093456812977,0,-7.940074080104649,-7.760980623291672,0.1489246197135302,50.52108783624643,5.734625730710617,56.40463818667057,63.2868268848934,96.95130622289106
Bakery & farinaceous,464.370800298315,0.07394346908940876,0,0,464.4447437674044,2.817258785467586,0,2.591074415308941,5.408333200776527,3.936671855064976,444.2172594413313,111.4479786504766,559.6019099468729,1029.454986915054,1126.082598714785
Other food,159.8188010314187,0.02042931750454876,0.100320190336665,0,159.9395505392599,2.030902749320594,0,-0.933605468755619,1.097297280564975,1.283385802459581,248.7895530745122,130.5673041764284,380.6402430534002,541.6770908732251,617.9138076127367
Animal feeds,92.54327397007708,0.02169450642060668,0,0,92.56496847649768,1.637516568067677,0,4.041128997690314,5.678645565757991,0.2256924795173021,47.65286287910099,97.66943921465024,145.5479945732685,243.7916086155242,440.5472591875671
Spirits & wines,193.6278991914904,0.05415300335017124,0,0,193.6820521948406,15.54815535491085,0,-1.784195775298231,13.76395957961262,5.1009098405505,628.8138149224565,3400.626188002609,4034.540912765616,4241.98692454007,4411.408954144354
Beer & malt,87.19717642871767,0.0375111850750806,0,0,87.23468761379274,3.136471931811861,0,-0.5563434966698267,2.580128435142034,2.269204582925502,157.3099568995959,240.8234523950784,400.4026138775998,490.2174299265346,545.3005659084017
Soft Drinks,166.972151677837,0.002020373892344034,0,0,166.9741720517293,0.109853587561145,0,-1.050485350198175,-0.9406317626370299,4.149456840604898,117.8267603336738,11.71938870301009,133.6956058772888,299.7291461663811,334.6273301333165
Tobacco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Textiles,185.3398871849509,0.06570519327905934,0.01589595807593656,0,185.4214883363059,18.63692839689636,0.0339448585552098,0.5750487313250269,19.2459219867766,1.280756108093349,133.1872123090492,126.3657553582621,260.8337237754046,465.5011340984872,515.1851836220139
Wearing apparel,62.50357757210819,0.01225838429957276,0,0,62.51583595640776,1.004192036085569,0.01469959610947816,0.6281980649022484,1.647089697097295,1.828848077045565,44.59115775078432,56.98793081267763,103.4079366405075,167.5708622940126,174.4721968878029
Leather goods,42.12604769072591,0.003887889691420829,0,0,42.12993558041733,0.385383779898561,0.00387633397694785,0.1327299843877848,0.5219900982632937,1.938876274009691,16.32956733115035,48.86038342218413,67.12882702734417,109.7807527060248,113.6070680218659
Wood and wood products,62.48785215204782,0.2191046886359197,0,0,62.70695684068374,4.114270253966889,0.1078516387779122,5.94121080819003,10.16333270093483,1.570649322579787,668.3076795111308,48.9524631345202,718.8307919682308,791.7010815098494,1356.362325242681
Paper & paper products,95.48819937785944,0.02933005030358702,0,0,95.51752942816303,2.293896774219225,0.006056411950001394,1.367489263236716,3.667442449405942,0.9622545148366671,160.7283807246592,146.3951337217391,308.085768961235,407.270740838804,684.001280420816
Printing and recording,28.92056375149808,0.04590984624890708,0,0,28.96647359774698,2.518358783794748,0.2230639002423629,-10.15118129507152,-7.409758611034412,0.1858826908775079,81.90463194363795,22.92077032898039,105.0112849634959,126.5679999502084,319.2204641058711
"Coke, petroleum & petrochemicals",157.7459304722574,0.108602615995617,0.662672806774483,0,158.5172058950275,9.777083156070232,0.001698861296142284,8.479529397290865,18.25831141465724,0.9763736169734301,448.8054991756339,442.4194300481155,892.2013028407229,1068.976820150408,1407.571431568039
"Paints, varnishes and inks etc",1.768598234856489,0.02247995024226973,0,0,1.791078185098759,1.105270197785079,0,-0.1825891871624977,0.9226810106225808,0.0304699746792191,15.40070137632818,27.03977127191899,42.47094262292638,45.18470181864772,54.32880989280055
Cleaning & toilet preparations,74.98717554397975,0.02383450962859775,0,0,75.01101005360835,1.661291659291678,0.008556270089058097,0.4144285001911477,2.084276429571884,0.7792643651993136,98.47872863098307,81.2426067536428,180.5005997498252,257.5958862330054,279.929862494127
Other chemicals,47.94374642441353,0.01285925534451945,0.09815217760733758,0,48.05475785736539,2.285290102467216,0.006361065370507971,-24.4404417059745,-22.14879053813677,0.836600461986062,494.3852154193254,1022.846326672934,1518.068142554245,1543.974109873473,1706.950366980511
"Inorganic chemicals, dyestuffs & agrochemicals",12.15903250647745,0.05663013039819793,0.07110638988701994,0,12.28676902676267,2.725542647261825,0,1.552548984216508,4.278091631478333,0.06304738855371397,21.98417066988369,91.58364460921364,113.630862667651,130.195723325892,197.2991188053452
Pharmaceuticals,165.8840764126142,0.5059862267132814,248.1251265458574,0,414.5151891851849,22.58247476534711,0.1640696662109947,9.1957371657032,31.9422815972613,1.153492817618575,180.4469395534209,522.9981720243651,704.5986043954045,1151.056075177851,1551.933668373203
Rubber & Plastic,44.93422387747187,0.1796827471808861,0.0009431035717081651,0,45.11484972822446,11.30143844643071,0.1817958137765286,-0.430359178719138,11.0528750814881,0.9380068028885606,330.9713565612637,521.3523460499975,853.2617094141499,909.4294342238625,999.843785697141
Cement lime & plaster,7.956975614158043,0.03129796968335188,0,0,7.988273583841395,1.190013625206725,0,-0.846251736332575,0.3437618888741505,0.1350771204382268,56.70690100081087,17.00739663063104,73.84937475188015,82.1814102245957,310.7497267711377
