,Agriculture,Forestry planting,Forestry harvesting,Fishing,Aquaculture,Coal & lignite,"Oil & gas extraction, metal ores & other",Mining Support,Meat processing,Fish & fruit processing,"Dairy products, oils & fats processing",Grain milling & starch,Bakery & farinaceous,Other food,Animal feeds,Spirits & wines,Beer & malt,Soft Drinks,Tobacco,Textiles,Wearing apparel,Leather goods,Wood and wood products,Paper & paper products,Printing and recording,"Coke, petroleum & petro-chemicals","Paints, varnishes and inks etc.",Cleaning & toilet preparations,Other chemicals,"Inorganic chemicals, dyestuffs & agro-chemicals",Pharma-ceuticals,Rubber & Plastic,Cement lime & plaster,"Glass, clay & stone etc.",Iron & Steel,Other metals & casting,Fabricated metal,"Computers, electronics & opticals",Electrical equipment,Machinery & equipment,Motor Vehicles,Other transport equipment,Furniture,Other manu-facturing,Repair & maintenance,Electricity,Gas etc.,Water and sewerage,"Waste, remediation & management",Construction,Wholesale & Retail - vehicles,Wholesale - excl vehicles,Retail - excl vehicles,Rail transport,Other land transport,Water transport,Air transport,Support services for transport,Post & courier,Accomm-odation,Food & beverage services,Publishing services,Film video & TV etc.; broadcasting,Telecommunications,Computer services,Information services,Financial services,Insurance & pensions,Auxiliary financial services,Real estate - own,Imputed rent,Real estate - fee or contract,Legal activities,Accounting & tax services,Head office & consulting services,Architectural services etc.,Research & development,Advertising & market research,Other professional services,Veterinary services,Rental and leasing services,Employment services,Travel & related services,Security & investigation,Building & landscape services,Business support services,Public admin & defence,Education,Health,Residential care and social work,Creative services,Cultural services,Gambling,Sports & recreation,Membership organisations,Repairs - personal and household,Other personal services,Households as employers
Total domestic use,794.1800029364128,30.85966593457737,119.770478333984,82.43753731373891,195.5345769972585,97.57423985615657,153.536857589895,1003.566911202687,530.2591087725361,473.5453071960633,281.5673885553751,30.27522110885281,207.8556144360718,120.6198526310099,59.31091681462335,547.1808711650973,32.46513103661768,76.5119205089842,0,185.3478339611234,102.287284876059,22.90128341413601,515.6529410944911,348.2563498696181,89.86614201780021,837.8996360513956,13.18262427580298,30.02449296951583,65.22824253343961,48.66854123015036,165.8945548113876,373.6915580131567,152.6120227833603,126.8864689872808,49.12501730944889,46.16102373282684,911.1244062932412,760.1346120373302,190.7913357874189,586.6394569455069,84.69626659173976,989.3560633211493,63.24367736523264,106.7240702117778,397.7752350704934,2642.727429287399,874.2158843995209,232.2205521509483,416.9163132608333,6629.699342219711,360.9441538504348,1945.119517134195,1984.072408552182,371.315590275314,607.4656694672049,203.6591334879664,280.2838774904275,847.1987331591685,224.3754231210153,358.8705840202597,1033.528803275433,115.7126651846484,105.6281894256618,758.6361079475004,360.5422004971123,24.98194530842354,1290.7701015001,2194.452189960775,626.1549528198242,1011.899066255726,1191.888592733288,135.0418530058191,225.3432979410068,108.7335014921156,451.4412508449633,1724.690732423467,215.3237882927024,46.5927739309484,71.39571361898726,29.58445719217541,289.5312242891288,432.3794524248791,452.2722089493889,39.14584860043795,303.3142301387707,178.0867268208072,3361.555986511122,1515.446540075949,2237.179758410239,1103.623081201226,77.98113896223008,100.4282489859837,189.7520257724634,347.567157349601,135.1033833820764,59.79988822656119,135.1944189206025,0
Imports from rest of UK,579.0265791972383,14.83737013357652,15.74194188371052,34.84672503525239,114.5799210611811,40.7953566033623,64.27875349061297,436.691433519754,317.152657304837,221.4955797751422,155.157830011023,25.3064621553592,216.2615809907575,117.6920129674014,63.68143802686916,536.7472557430841,26.30500082231888,63.78408329217097,0,93.45759991390372,54.12007048146799,15.53180780151855,114.4356870566855,197.2572407689809,66.48850079365938,2623.288500167221,8.085743567184299,25.39651405249889,40.07088119503872,29.2060912985751,120.7011184850101,158.1849490403296,68.06199532173319,53.91237696473677,31.63950353166902,38.14716514077261,459.5004075500133,472.1227092422766,110.6311582086385,279.0901852798099,90.25169020006315,443.6280547078847,29.38168276718414,56.71100007899935,236.0982222565,814.8451781852357,538.6175118653301,49.12022973403983,199.9972216533758,1747.731337210908,360.4643766274267,1077.008243175196,1019.585711601637,166.292979263921,264.0862490546349,132.7004896337914,150.1973177775874,443.6423409602959,69.66230111104268,203.0157511973752,739.6639081542985,118.5921796540413,141.197394075184,391.3167571165224,253.5257200881239,17.73547826033877,849.6084122492563,1342.987684460205,395.8996932694945,346.3308977664158,1066.434103796594,87.70365818036635,121.2812623825161,69.0737122585239,277.634123749339,393.6243556300588,115.1058826034241,33.12581119706,77.6758391769289,17.7096107383343,207.1013867284297,225.7109455682003,408.67055726512,20.90471054185588,97.56754116359555,125.7146895704505,1730.251179476106,663.828386954247,1183.565241570858,295.0763713203659,74.75809167186708,53.79006100334471,138.5471634950736,187.8451125520473,131.3188859108692,34.01219995239112,60.41795746381166,0
Imports from rest of world,166.2658627768876,3.98336762883626,5.575697643650662,16.08317238424898,24.8289768747131,36.95922147670488,17.01773388674349,203.7012958189676,149.1274050331025,83.35719735650255,75.3294272405022,7.445370871167123,62.50781632486325,36.56528851470063,16.06342254164321,109.945517524573,6.981573140511502,31.62850169853889,0,46.05596413997404,21.38704203792144,7.279125168479395,81.94302681517202,100.7007798316495,26.28746950198099,940.3030734178367,4.367859534810397,13.11179338784192,28.62885273982686,13.30504592326192,46.89659021900863,125.6201793405631,21.30758939672489,19.5199312940868,37.21366977841106,35.15466823432427,385.2093999254096,586.5684321641212,146.3413197814728,322.0760349978557,43.03434279224129,450.4734743434988,16.61614748683129,35.27015023482714,216.36917114808,324.2050631083913,96.46674258552784,18.95798218652716,106.7030378349782,633.5808645270342,78.00137198308283,335.9231443611301,208.2332059254803,37.49578494669465,118.8102852591171,41.96287335442526,100.7559288266979,148.75599724755,23.47800021937806,50.38841416011573,209.1761969369425,21.09103720671115,28.79083290188643,121.4974500248234,67.1034513308085,6.407706151380719,148.5310801112202,130.6082213039305,45.69163638118285,37.51668138116547,51.25885066068526,15.92300673418728,20.21141379636009,17.21856729313615,81.27138454949417,138.412278396331,31.41668337237189,9.151457473736933,21.22306029965833,6.939660987164536,46.92603756074192,28.08941350733253,144.6825417486314,7.542513060474957,39.87965570402741,67.77926858476526,743.5446433470067,188.2196245090058,655.3955337572077,79.00007510507947,23.26087811719562,12.45236318636069,32.65112485139225,51.12993116569586,35.8825071723626,16.05127416584609,20.73485916219459,0
Total intermediate use at basic prices,1539.472444910539,49.68040369699014,141.0881178613452,133.3674347332403,334.9434749331527,175.3288179362237,234.8333449672515,1643.959640541409,996.5391711104755,778.398084327708,512.0546458069003,63.02705413537913,486.6250117516925,274.8771541131119,139.0557773831357,1193.873644432754,65.75170499944807,171.9245054996941,0,324.8613980150012,177.7943973954484,45.71221638413395,712.0316549663487,646.2143704702485,182.6421123134406,4401.491209636453,25.63622737779767,68.53280040985665,133.9279764683052,91.17967845198739,333.4922635154063,657.4966863940494,241.9816075018184,200.3187772461044,117.978190619529,119.4628571079237,1755.834213768664,1818.825753443728,447.7638137775302,1187.805677223173,217.9822995840442,1883.457592372533,109.2415076192481,198.7052205256043,850.2426284750734,3781.777670581027,1509.300138850379,300.2987640715153,723.6165727491873,9011.011543957653,799.4099024609444,3358.050904670522,3211.891326079299,575.1043544859295,990.3622037809569,378.3224964761831,531.2371240947128,1439.597071367014,317.5157244514361,612.2747493777506,1982.368908366674,255.3958820454009,275.6164164027322,1271.450315088846,681.1713719160447,49.12512972014304,2288.909593860576,3668.04809572491,1067.746282470501,1395.746645403307,2309.581547190567,238.6685179203727,366.8359741198829,195.0257810437757,810.3467591437966,2256.727366449857,361.8463542684983,88.87004260174533,170.2946130955745,54.23372891767424,543.5586485783003,686.1798115004119,1005.62530796314,67.5930722027688,440.7614270063937,371.580684976023,5835.351809334235,2367.494551539201,4076.140533738305,1477.699527626672,176.0001087512928,166.6706731756891,360.9503141189293,586.5422010673441,302.3047764653082,109.8633623447984,216.3472355466087,0
Taxes less subsidies on products,41.93355748246203,0.8071193290099011,2.492279629654524,18.98776337475982,12.6641147678471,13.60945776277624,10.81305166909943,5.893409178591877,-7.965778486473953,1.224545050293639,-3.927567562900186,-0.3127390453792347,1.687230772307661,0.3227860488883553,0.1924734648642689,75.37663831824565,3.093383472552023,5.710115009305931,0,13.64914508099868,1.393455401551601,1.004227036866103,13.33260615465152,3.967705478566939,0.7976188197148641,378.6965890336516,3.237669716202296,1.240019134143346,11.32739435936999,6.035252323538524,4.783182261593648,113.3235787739505,9.497509455181486,12.11368895989544,2.045469230886779,2.096480036794546,11.76690257233538,18.06042411227307,7.470173511157165,4.586729977830729,2.998133676911505,28.7143372914678,1.61222185375186,5.907128545395569,17.79073602792721,47.63952236841044,20.18377409360178,31.01207237948503,125.5908986434055,155.1845754653449,12.20401374805552,104.5628769404761,50.31347752070059,-1.868208822928908,121.6533651081341,20.38388070881695,93.68570907528675,33.51761675298822,32.63206647056376,61.91527266924803,172.714512983326,0.7016326165988281,0.3408726172678622,6.099170346151893,3.808826187954998,0.115455572856948,186.8326722794222,273.0358148250888,107.0673554079159,9.30708200302736,7.418452405432217,2.138710584626893,2.060664578116648,0.909270584224216,9.050187867203684,31.90789685855883,-15.59634258449868,0.533002872254644,1.454080629425616,0.6701827153257396,11.84504091169928,5.91915059258787,33.9518177878608,0.952419278231217,4.16238506260625,2.843760097976906,504.3703450507637,167.1082529037974,381.6634475506991,124.1219406183283,17.89556901670725,1.479699076310746,4.916578318070512,55.58870517865557,7.174952500722371,0.4224423412015279,19.96000649539107,0
Taxes less subsidies on production,-618.170308,0.0721023,0.129788842,7.777803337,-0.096494592,-1.729680028,0.583638542,7.146041486,3.64239668,2.922296674,1.898000426,0.234235002,2.634712489,1.323121717,0.490777954,10.55728784,0.564873221,0.732297997,0,3.550475799,0.895494789,-0.445970588,9.726200607,9.196022912,4.07777648,12.04758453,-0.03531844,0.07447968,0.190219966,-0.276965736,3,18.62597221,5.73094282,5.643084971,1.976358293,1.675409382,31.348232324,7,6,14,2.600556443,19.399443556,1.230222355,3.087837617,9.681940028,77.69018395,25.30981605,29.62555435,36.374445647,86,85.05185536,281.976462,346.9716826,-8.92736121,31.1321121,12.34871143,12.005131,38.88140815,-4.440001476,56.13055808,124.8694419,7.054976426,4.12869192,43.71318514,27.70857742,2.394569102,85.77725276,91.43063069,23.79211654,-87.99616715,0,4.99616715,12.83098091,7.994964128,18.3196858,64.3989298,10.77347744,3.00657307,4.285026688,0.390362163,13.33311237,20.22705469,12.53669104,2.418153242,9.676218933,10.80876973,0,20,12.54995244,4.450047562,6.126110224,7.392015314,14.92118546,23.560689,9.726487714,4.393495169,28.88001712,0
Compensation of employees,275.9975438,36.92953075,42.16481916,55.10396939,42.28508933,48.02260008,138.8206908,963.1567091,183.9933185,203.5804619,115.879015865,12.97099726,305.0655925,117.7677228,31.07641172,685.8366208,34.01062393,81.81923468,0,181.2572689,98.28210794,11.46062315,247.9725144,202.5963727,191.4311129,232.0011149,12.69803626,20.98946579,46.06335029,69.248032781,254,348.6173172,101.7379445,131.6447383,49.73165015,30.93343758,926.33491227,881,189,698,96.33543867,505.66456136,62.19509272,192.5114595,542.29344781,678.1446191,205.8553809,322.5488926,431.107151031,3970.9999997,987.1707196,2371.82728,3764.002,296.3045213,1016.159384,113.9740299,212.6425891,1111.4033214,633.5161544,779.6069639,1367.393036,237.5843418,135.70099246,869.4520908,914.4883498,72.77422509,2216.616573,1776.922168,872.4612587,428.1478995,0,202.8521005,492.5037649,373.9863129,630.3357824,2096.196131,335.4036344,113.4953775,147.5324482,51.54654835,328.9750353,1061.942548,156.1960608,184.8551446,578.3426103,411.6886012,5242,5961.0000004,5636.852210800001,2836.1477893,125.672220732,228.49298109,123.787551,599.0472471,220.1920561,112.5043037,436.3036402,140
Gross operating surplus,918.2207832,37.65079478,36.68669598,94.99971916,78.48687136,50.181507,101.6253807,724.1931123,17.3802871,49.21768875,46.222757091,9.340158455,112.4747523,36.01347691,23.07028648,1656.628649,90.33114262,27.32080101,0,91.42448295,-36.55800858,24.13352563,66.99758158,78.92124326,35.08117515,514.0907495,0.167012365,-3.004649254,76.23454735,9.512340088,292,72.23077632,26.81257547,32.95664821,15.72134441,7.449874323,133.82878126,327,51,48,11.05549192,10.944508082,16.25482878,67.12982636,234.615344832,2333.704771,370.2952287,562.4459932,377.778937941,2222,410.6180473,1429.308142,1913.073811,13.58344053,297.8572254,36.3840094,97.99900065,423.7622519,31.41407214,317.7866138,419.2133862,49.99697568,102.31345637,993.4253071,431.9794783,79.28478254,2543.766208,1983.181956,442.051836,2066.982549,8841,21.01745146,281.4844063,175.3548375,126.9800948,1141.87214,324.2889247,82.70338328,103.9711634,119.3450501,460.5301181,279.1840851,76.80738556,26.25779941,268.7174481,297.5031637,2029.0000003,1599.9999997,1930.4608186,391.539181528,36.673006623,42.75379215,358.6937948,147.87940644,73.71509326,17.01260025,705.2723065,0
Gross value added,576.0480190000001,74.65242783,78.981303982,157.881491887,120.675466098,96.474427052,241.029710042,1694.495862886,205.01600228,255.720447324,163.999773382,22.545390717,420.175057289,155.104321427,54.637476154,2353.02255764,124.906639771,109.872333687,0,276.232227649,62.619594149,35.148178192,324.696296587,290.713638872,230.59006453,758.1394489300001,12.829730185,18.059296216,122.488117606,78.483407133,549,439.47406573,134.28146279,170.244471481,67.429352853,40.058721285,1091.511925854,1215,246,760,109.991487033,536.008512998,79.680143855,262.729123477,786.59073267,3089.53957405,601.46042565,914.6204401499999,845.2605346189999,6278.9999997,1482.84062226,4083.111884,6024.0474936,300.96060062,1345.1487215,162.70675073,322.64672075,1574.04698145,660.490225064,1153.52413578,1911.4758641,294.636293906,242.14314075,1906.59058304,1374.17640552,154.453576732,4846.160033759999,3851.53475469,1338.30521124,2407.13428135,8841,228.86571911,786.81915211,557.3361145279999,775.6355629999999,3302.4672008,670.46603654,199.20533385,255.788638288,171.281960613,802.83826577,1361.35368779,245.5401374,213.531097252,856.7362773330001,720.0005346300001,7271.0000003,7581.000000100001,7579.86298184,3232.13701839,168.471337579,278.638788554,497.40253126,770.4873425400001,303.633637074,133.910399119,1170.45596382,140
Total output at basic prices,2157.454021393001,125.139950856,222.5617014729997,310.2366899950001,468.2830557989998,285.412702751,486.6761066783509,3344.348912606001,1193.589394904002,1035.343076702002,672.1268516260001,85.2597058069999,908.4872998130002,430.3042615890002,193.885727002,3622.272840391,193.7517282430001,287.506954196,0,614.7427707449999,241.807446946,81.86462161300005,1050.060557708,940.8957148208154,414.0297956631554,5538.327247600105,41.70362727899997,87.83211576,267.7434884336752,175.6983379085259,887.275445777,1210.294330898,385.7605797469998,382.6769376869998,187.4530127034157,161.6180584297183,2859.113042194999,3051.886177556001,701.2339872886873,1952.392407201003,330.9719202939557,2448.180442662001,190.5338733279999,467.3414725479999,1654.624097173001,6918.956766999437,2130.944338593981,1245.931276601,1694.468006011593,15445.196119123,2294.454538469,7545.725665610998,9286.252297199999,874.1967462830006,2457.164290389091,561.413127915,947.5695539199995,3047.161669570002,1010.638015986,1827.714157826999,4066.55928545,550.7338085679997,518.1004297700001,3184.140068474998,2059.156603624,203.694162025,7321.902299899998,7792.618665239999,2513.118849118418,3812.188008756334,11157.999999596,469.6729476149996,1155.715790808,753.2711661559998,1595.032510011,5591.102464108416,1016.716048224,288.608379324,427.5373320130001,226.185872246,1358.24195526,2053.452649883,1285.117263151001,282.076588733,1301.660089402,1094.424979704,13610.722154685,10115.602804543,12037.666963129,4833.958486635,362.367015347,446.7891608059999,863.2694236969998,1412.618248786,613.1133660400307,244.1962038049999,1406.763205862,140
