,Households,NPISHs,Central government,Local government,Total,Gross fixed capital formation,Valuables,Change in inventories,Total,Non-resident households,"Rest of
UK
exports",Rest of world exports,Total,Total final use, Total use for industry output
Other manufacturing,136.2075404155892,0.00868909068419389,0.7398732382102634,0,136.9561027444836,12.62631482955964,1.987569462885612,-16.20756943027861,-1.593685137833352,5.396560334800051,143.5448735343579,117.6571584464277,266.5985923155857,401.961009922236,467.3414728558814
Repair & maintenance,32.72405640710478,0.06899346692514484,0,0,32.79304987402993,165.004357885423,-0.07149891667179663,-27.41428248615123,137.5185764825999,0.8196808824257797,433.6647840572517,167.004400012708,601.4888649523855,771.8004913090153,1654.624096815367
Electricity,1444.607569601465,0.01389762241019854,0,0,1444.621467223875,25.31743572581591,0,-1.339044433125831,23.97839129269008,38.81236669823618,1643.013157756801,16.44756479394417,1698.273089248981,3166.872947765547,6918.956192027579
Gas etc,487.7414185067383,0.004223677910780793,0,0,487.7456421846491,4.51463983769147,0,0.01092930521376504,4.525569142905235,12.32658052640646,698.1325940694095,7.628054069004905,718.0872286648208,1210.358439992375,2130.943580811549
Water and sewerage,660.4446201265648,0.01038490654309701,0,0,660.4550050331079,18.70151399688378,0,-10.95676698851957,7.744747008364207,6.500786151117565,13.96112938511957,5.13073778568777,25.59265332192491,693.792405363397,1245.93128255468
"Waste, remediation & management",23.80198121672644,0.03916577492899718,0,787.6104818827918,811.4516288744472,15.28488008584457,0,-4.154197698290962,11.13068238755361,7.053341818639014,204.9250266225549,218.0013020304804,429.9796704716743,1252.561981733675,1694.468005812902
Construction,245.1089269516261,0.2518805793766634,0,0,245.3608075310028,7895.815639674282,0,-614.7181258791811,7281.097513795101,35.12967948433853,1489.639948347357,297.8195483696815,1822.589176201377,9349.04749752748,15445.19610996303
Wholesale & Retail - vehicles,1355.363543591245,0.07280662839881032,0,0,1355.436350219644,144.413643841315,0,-0.06401004412387765,144.3496337971911,27.11369130936987,108.9745345567021,11.0391105999306,147.1273364660026,1646.913320482837,2294.454538968681
Wholesale - excl vehicles,801.2482075686588,0.3909332586416698,0.05792586905282729,0.3095184289563687,802.0065851253097,462.3737888836936,0,-0.3728192618907087,462.0009696218029,39.79220075861019,1886.383095283759,1644.845898712785,3571.021194755154,4835.028749502267,7545.725665427659
Retail - excl vehicles,6388.623730855215,2.306097997683566,0,17.73036630310345,6408.660195156002,19.29691063815368,1.065975765199623,-0.1829969789549394,20.17988942439836,339.4760932412635,485.0544382692684,436.0135294348917,1260.544060945424,7689.384145525824,9286.252297397254
Rail transport,538.0736091066142,0.002189203213257588,0,0,538.0757983098274,0.09419124450145468,0,0.0003707970499786065,0.09456204155143329,29.56922111608509,91.10340765129216,3.318329535668535,123.9909583030458,662.1613186544247,874.1967464143327
Other land transport,475.7846865025889,0.02702711980121015,0,0,475.8117136223901,2.471525220247224,0,-0.01710582319529701,2.454419397051927,56.46876962741492,528.6717103417434,218.4620365519352,803.6025165210934,1281.868649540535,2457.164282861947
Water transport,126.8094547979545,0.006064167331454492,0,0,126.8155189652859,0.9960650862917269,0,-0.03548242463845758,0.9605826616532693,19.11178481613539,42.82807082952384,264.0364274969358,325.976283142595,453.7523847695342,561.4131280337616
Air transport,335.101812611685,0.02407750283173641,0,0,335.1258901145167,1.651407978495916,0,0.009145391437923535,1.66055336993384,29.13780802013999,230.8357273376625,33.73293364370804,293.7064690015105,630.492912485961,947.5695541356449
Support services for transport,109.8046313587954,0.06225868147379676,417.0352090131865,0,526.9020990534557,14.75561430095922,0,-0.4836854719342778,14.27192882902494,12.38438109408252,564.4652875736949,396.6424557292979,973.4921243970754,1514.666152279556,3047.161669422186
Post & courier,54.91994214550032,0.04553497286400385,0,0,54.96547711836433,1.671428024277583,0,-0.003144793752158285,1.668283230525425,19.88717288776682,99.42838358973457,102.8618470769454,222.1774035544468,278.8111639033365,1010.638015941871
Accommodation,498.3874952309359,0.05522633646536371,0,0,498.4427215674013,1.452068784793378,0,-0.02007555848617248,1.431993226307206,1167.953797263078,5.855742525557686,2.779624392832962,1176.589164181469,1676.463878975177,1827.71415865244
Food & beverage services,3173.447679622005,0.1119064486127003,0,0,3173.559586070618,1.407741837099831,0,0.001890087301582634,1.409631924401413,455.2137716720229,10.21463358109889,3.919892444094091,469.3482976972159,3644.317515692235,4066.559286796371
Publishing services,151.2531913557421,0.008324753434283023,11.72019957482788,0,162.9817156840043,81.42593270406135,0,0.5610884668283732,81.98702117088973,7.137013366348826,129.0854889426454,68.8633079449422,205.0858102539364,450.0545471088304,550.7338086253122
Film video & TV etc; broadcasting,138.4569637814873,0.2374154461825884,164.7672472764251,1.856879447578816,305.3185059516738,19.06771153968704,0.1110663191147497,0.1118406668640904,19.29061852566588,21.93026441458985,70.13133129775417,30.34909755295537,122.4106932652994,447.019817742639,518.1004299810379
Telecommunications,1154.729387154937,0.06532693222239175,0,0,1154.794714087159,28.1508146498582,0,-0.07897197443143072,28.07184267542677,46.89571264025443,234.1659247521069,237.3577246327766,518.4193620251378,1701.285918787724,3184.140068735917
Computer services,97.87824544770598,1.336816979152927,0.435110179725598,2.710391817413417,102.3605644239979,396.3705883667472,0,0.6828465536380128,397.0534349203852,4.880503806612153,544.4531084712486,384.5874929964473,933.921105274308,1433.335104618691,2059.156602972833
Information services,2.24544141678637,0.2781300059876787,0.08877017103718358,0.6297105258352288,3.242052119646461,5.969777123516412,0,2.642657807419966,8.612434930936377,0.1846873525678859,56.13884085231615,21.9613183637341,78.28484656861814,90.13933361920098,203.6941619866006
Financial services,736.8381782977962,0.4258116954227646,0,0,737.263989993219,27.01206970199615,0,0.1965680443376927,27.20863774633384,2.011158109911054,3973.104393482506,621.4890086888615,4596.604560281278,5361.077188020831,7321.902299219775
Insurance & pensions,1533.830214690606,2.270514354232108,0,0,1536.100729044838,33.41637302188367,0,0.9224177671387864,34.33879078902246,0.2784895987965698,2630.053381354975,2065.649789530107,4695.981660483879,6266.421180317739,7792.618665189788
Auxiliary financial services,278.7663207589952,0.05207839232665842,0,0,278.8183991513218,19.53121750335332,0,0.002839584048887265,19.53405708740221,0.7180969790576809,712.9167083261686,635.1082914552987,1348.743096760525,1647.095552999249,2513.1188489479
Real estate - own,2043.030673965195,11.24638655966578,0,0,2054.277060524861,1.568571323458178,0,-0.08338224191902441,1.485189081539154,0.02450822601424574,404.2747784349082,111.5183474581874,515.8176341191099,2571.57988372551,3812.188009311255
Imputed rent,11158.00000262001,0,0,0,11158.00000262001,0,0,0,0,0,0,0,0,11158.00000262001,11158.00000262001
Real estate - fee or contract,28.93066968621953,0.1374782160127242,0,0,29.06814790223226,279.3053069130506,0,-0.0184108768645577,279.2868960361861,0.1076640371100049,63.83344986355939,13.34506975037985,77.28618365104926,385.6412275894676,469.6729473912612
Legal activities,22.01656653730402,2.693052385136547,0,0,24.70961892244056,134.428416658033,0,-1.629994785120821,132.7984218729122,3.052138615828685,188.0993238122144,54.00554390350378,245.1570063315468,402.6650471268995,1155.715790538633
Accounting & tax services,4.471545021087199,0.01979221879968478,0.002968258531970703,0.02105598782950681,4.515361486248362,3.749977573666079,0,0.000654698477276154,3.750632272143354,0.5961211357366771,102.099927003382,83.3657907629099,186.0618389020286,194.3278326604203,753.271166224202
Head office & consulting services,16.63288469179588,2.065138004625936,0.6477746470942102,4.595130423637028,23.94092776715305,26.54066344085287,0,-0.2151510322192381,26.32551240863363,1.240438257520625,351.6297310726804,260.5839791274348,613.4541484576359,663.7205886334226,1595.032509840544
Architectural services etc,109.5183841606111,0.5820853339341565,0.06651334053023321,0.6878956324309502,110.8548784675064,617.6206432946419,0,-11.4384310590692,606.1822122355727,7.582742641362779,1593.361401028154,1343.157874176991,2944.102017846508,3661.139108549587,5591.102417067941
Research & development,95.10041468446747,9.035564730519658,14.79373376122894,12.76906963513428,131.6987828113504,233.9422647491454,0,-1.699208652037393,232.243056097108,4.330318402267117,209.8912933007055,183.4798658562757,397.7014775592484,761.6433164677067,1016.716047952487
Advertising & market research,3.732786124078667,0.1009663313101105,0.5141894024128377,0.1563968967373243,4.50433875453894,1.403551741913093,0,0.004733683741045814,1.408285425654139,0.1822986436210286,92.94771585435436,49.23783904548002,142.3678535434554,148.2804777236485,288.6083792948001
Other professional services,13.14508579219505,0.2374611451310984,0.02259154875641137,0.1602580673284164,13.56539655341098,3.31208870165248,0,-4.543622083530289,-1.231533381877809,0.4957694053827081,196.3147634163166,138.6160781829754,335.4266110046747,347.7604741762079,427.5373319604479
Veterinary services,161.2809116742503,39.7120436729958,0,0,200.9929553472462,1.097026310907835,0,-0.006800682607388621,1.090225628300446,0.1628051151203515,2.287950990091222,1.804468435055215,4.255224540266788,206.3384055158134,226.1858723072305
Rental and leasing services,230.6129716863659,0.04014678365780065,0,0,230.6531184700237,7.449588199204817,0,-0.1878262559338574,7.261761943270959,39.89892648486648,234.5048760205912,215.1025442592878,489.5063467647455,727.4212271780401,1358.241955293431
Employment services,23.68953706740657,0.6070968842400769,0.17911017890961,1.270557030878858,25.74630116143511,8.97668633271308,0,-0.05870393625426932,8.91798239645881,1.832241175088879,571.875376504432,216.0674466527533,789.7750643322742,824.439347890168,2053.452649695845
Travel & related services,351.2030342297842,0.03440629759755091,0,0,351.2374405273818,1.802494440433749,0,0.005809729144290132,1.80830416957804,28.25292690474455,667.2959209644408,2.871259790019172,698.4201076592045,1051.465852356164,1285.117263410193
Security & investigation,11.35536241691982,0.00782481591996715,0,0,11.36318723283979,1.063308702701698,0,2.766794583124668,3.830103285826366,0.2995128881768918,43.64045780632811,7.836636959399318,51.77660765390432,66.96989817257048,282.076588696735
Building & landscape services,72.25802786516208,26.96420221436222,0,0,99.2222300795243,8.613662381815596,0,-3.540715309755144,5.072947072060452,2.104406033893606,232.9605806612228,27.45130011969241,262.5162868148088,366.8114639663936,1301.660089287707
