,Households,NPISHs,Central government,Local government,Total,Gross fixed capital formation,Valuables,Change in inventories,Total,Non-resident households,"Rest of
UK
exports",Rest of world exports,Total,Total final use, Total use for industry output
Agriculture,1566.54906567795,1.402577379967469,0.1000618472258429,2.043040815186894,1570.094745720331,146.099596122935,0,-106.0265399260412,40.0730561968938,115.3996251502263,1307.873837249308,383.2672812453781,1806.540743644912,3416.708545562137,4933.18038171503
Forestry planting,11.96733149517403,1.512599583693007,0,0.6124209284803893,14.09235200734743,10.62074733403728,0,28.97431293969264,39.59506027372992,16.74024845485352,6.66859034440111,3.76978829018157,27.1786270894362,80.86603937051355,219.8064813914764
Forestry harvesting,18.14065157307554,0.2251731384075271,0.05435622164283747,0.4869869651773391,18.90716789830324,1.161198195923131,0,58.54224153800197,59.70343973392511,0.3966826648802006,66.05630242936974,14.20429822571736,80.6572833199673,159.2678909521956,350.3128786625923
Fishing,28.5482309229034,0.1806080569842116,0,0.919326820811204,29.64816580069881,0.4010002699411335,0,17.96846949215362,18.36946976209475,6.105939940200602,59.78792502885911,165.225154062433,231.1190190314927,279.1366545942863,469.6731896850565
Aquaculture,45.16161901234963,0.5513709888834681,0,2.399502240885091,48.11249224211819,3.376219978129135,-0.1069096890617393,46.93946416922986,50.20877445829726,7.052686688488333,321.0680658427157,514.9302041334166,843.0509566646206,941.3722233650361,1221.970235926172
Coal & lignite,4.945333667150616,0,0,0,4.945333667150616,2.103070343883028,0,-2.990151294046892,-0.8870809501638637,0.01979145799184275,1.53988389129589,0.1834180610074919,1.743093410295225,5.801346127281978,12.05719913209947
"Oil & gas extraction, metal ores & other",24.83819877145343,0.06670012077830706,0,0,24.90489889223173,2.646599510942214,0,-7.085769402946281,-4.439169892004067,1.826349368644138,116.0328274525333,77.42956063906621,195.2887374602437,215.7544664604713,647.4345589925562
Mining Support,84.73805539686137,0.374917968336167,0,0,85.11297336519753,15.87004768237894,0,-0.04216348490330524,15.82788419747563,12.76636329639774,1825.641824858726,857.414694584846,2695.82288273997,2796.763740302643,3056.053636547405
Meat processing,256.461360893653,0.1146636164305179,0,0,256.5760245100835,0.2252321722702421,0,1.229610884077774,1.454843056348016,10.73823574939123,916.0831776091222,118.4130713974613,1045.234484755975,1303.265352322406,1465.865064230751
Fish & fruit processing,258.6941446286636,0.4200448723991453,0,0,259.1141895010628,2.557195361053337,0,1.592100867778046,4.149296228831383,7.913863682845736,813.677527006086,446.2111466028452,1267.802537291777,1531.066023021671,1709.681452920132
