,Agriculture,Forestry planting,Forestry harvesting,Fishing,Aquaculture,Coal & lignite,"Oil & gas extraction, metal ores & other",Mining Support,Meat processing,Fish & fruit processing,"Dairy products, oils & fats processing",Grain milling & starch,Bakery & farinaceous,Other food,Animal feeds,Spirits & wines,Beer & malt,Soft Drinks,Tobacco,Textiles,Wearing apparel,Leather goods,Wood and wood products,Paper & paper products,Printing and recording,"Coke, petroleum & petro-chemicals","Paints, varnishes and inks etc.",Cleaning & toilet preparations,Other chemicals,"Inorganic chemicals, dyestuffs & agro-chemicals",Pharma-ceuticals,Rubber & Plastic,Cement lime & plaster,"Glass, clay & stone etc.",Iron & Steel,Other metals & casting,Fabricated metal,"Computers, electronics & opticals",Electrical equipment,Machinery & equipment,Motor Vehicles,Other transport equipment,Furniture,Other manu-facturing,Repair & maintenance,Electricity,Gas etc.,Water and sewerage,"Waste, remediation & management",Construction,Wholesale & Retail - vehicles,Wholesale - excl vehicles,Retail - excl vehicles,Rail transport,Other land transport,Water transport,Air transport,Support services for transport,Post & courier,Accomm-odation,Food & beverage services,Publishing services,Film video & TV etc.; broadcasting,Telecommunications,Computer services,Information services,Financial services,Insurance & pensions,Auxiliary financial services,Real estate - own,Imputed rent,Real estate - fee or contract,Legal activities,Accounting & tax services,Head office & consulting services,Architectural services etc.,Research & development,Advertising & market research,Other professional services,Veterinary services,Rental and leasing services,Employment services,Travel & related services,Security & investigation,Building & landscape services,Business support services,Public admin & defence,Education,Health,Residential care and social work,Creative services,Cultural services,Gambling,Sports & recreation,Membership organisations,Repairs - personal and household,Other personal services,Households as employers
Total domestic use,1511.823957426959,74.52141374316147,243.1161839470715,78.24968558983251,351.1113330334123,2.167298203852916,254.8134040321169,767.5028908841697,688.8908333463426,744.112948818165,164.1575176562534,37.7477459802591,216.8625849650265,166.5053771514359,226.1125252980539,824.392859847132,123.464425156758,96.23954605803988,0,106.3126383648728,38.50090638402148,35.70371625949839,760.9061238517144,242.4778352801028,73.168801273167,177.5476220563921,13.59874077470302,81.36222526107805,490.0108781058984,53.62439344439651,165.042396242834,226.7990926335651,183.0081294270791,118.7815847714774,49.71884363969193,13.38313411037848,732.6733845171464,775.5313881677623,124.9558834756722,621.303799077281,124.5290378216196,695.3012235206653,55.38741663970993,212.204625972508,306.0793509483472,4185.466398822809,1578.982401663556,415.7291391234847,842.4879548730787,7737.190469665396,521.7161224148657,2509.522284302102,1691.932907674693,440.5943177250822,775.7986090437964,141.7898381647487,216.1654469815275,1177.19567194081,322.4802933285012,550.636655574079,819.5715478313496,57.95371708209129,162.9343236067294,517.9616447605812,586.1517885322002,64.6428494725915,3254.02012834927,1856.635245624589,1038.355221635406,1608.555614212631,1463.917302396621,166.8793207213834,236.5194818279802,237.2647929477791,448.8470537570016,1819.046769651898,688.162458998177,49.87802256195452,302.3940307319908,44.03602650487655,358.8202464951679,669.8144049073552,82.33981141716328,61.72724196355308,758.5948489236733,286.050472716209,4869.981214768262,1902.137548142894,3558.823113421799,1559.50708366188,54.16924206432565,121.1299003890628,301.3334111447574,410.6440757579559,153.8605868603139,86.04513207449234,256.806157109679,0
Imports from rest of UK,807.3781970030866,30.94418377594554,33.85082769081897,57.79152052922948,180.5868444113635,2.036068739042209,119.560880091319,522.4652188242951,309.5041192802575,294.9667608450771,78.70480204274166,27.8952366053747,250.2897223654026,167.7852211723363,188.0316913113443,797.9359643831297,124.2337742319345,84.72237805720634,0,66.12810523404096,22.06763885639146,13.80101578134061,165.915845117762,133.5228649564189,53.88963556689306,689.3654827292903,11.89504297281005,77.21937778303726,435.1796692509897,39.03349102302662,99.60518853924457,197.0906021567674,99.88408721018047,65.95417271045665,34.2288088127826,13.93533349287328,392.0196826267228,385.3812615483864,69.37996584135918,301.736562824694,107.8752715456314,290.28321628149,22.0648522237508,136.1833565153902,174.1066568611108,2086.875252341582,1247.617110036597,188.5946566846872,298.9213838510082,2904.261695509208,446.8052736960755,1499.483108524448,998.558281696304,282.0824412400328,410.5020465037564,66.6289842830995,151.8981368536548,482.7208817133866,111.5266488292998,345.8928545681893,582.6666545654215,64.98100832629721,242.5302338739016,411.8610080113023,554.4627790800128,54.82156237455051,1507.233698797464,704.1285919321917,409.0633548135884,515.5052697607179,582.6279286816903,79.49663964211112,130.8378366168673,146.0844887254809,268.5474011609915,986.5322783247394,306.324003342013,57.29417856424543,144.1488371505592,22.03187466619194,249.3899914267726,274.4470407968771,84.48088617790785,34.46303352610428,193.4918181306878,163.7470901837664,2322.342845649158,846.6626876250613,1852.504089845113,408.3093381039491,61.35696627047533,64.95576291325645,239.6553980869032,241.0227782870786,109.9760451409101,60.70528417453947,116.6324245797233,0
Imports from rest of world,355.4685057217199,11.47075935213375,14.47098546535435,26.78079158806418,39.44404199593086,1.000130910955552,40.84579262110428,276.4391882655841,211.6599859900848,158.9088425812064,52.89102013858074,11.58200931183131,90.36667439127207,68.51354543681843,57.75378634054946,277.9156380604763,35.67497350224925,50.43040547674843,0,37.40311378303006,11.76248637627599,8.996085721772152,207.0353447687716,116.3804169022405,32.24378029129861,122.7706073331022,6.114031543493097,41.50359277412037,268.0767099333673,18.34529810526914,104.8433894902944,115.4560269208045,35.28188579396296,25.52643633923763,28.4893797507556,22.59515751689885,392.3080521339795,753.3989935137939,133.5276526270489,496.188100096665,72.22641994762196,491.344255298516,17.20174358533872,111.8906272002706,232.2557200693092,281.3059681262727,139.4988680543479,53.14546807610927,200.0420133837031,1259.410036263914,137.1120343686212,583.1806194676044,270.1525369804378,71.43279863719238,142.9854765224224,19.63493151233696,97.91470509081083,189.5517484341828,28.68714786404547,70.0298237381274,207.1018913283827,13.66253262708107,72.26739389893119,154.2466249055697,153.5301508752126,17.63964434091265,653.8985727957635,122.0887889795764,87.62939445213276,99.92891682634652,107.1207535417545,21.86255042646492,33.16121092541842,48.52359975167091,140.4571327006603,520.2089949278411,124.8918497089889,13.43438840533614,69.06853327075761,18.88367501570779,83.10428770917603,48.84438082193221,17.23918890474983,11.37043464434343,86.35212915523624,227.2227164022409,1598.38888991419,317.7352049910248,1738.261529133361,131.8174173421317,22.1135445976043,18.67717310176815,121.4611310059706,78.2624720403982,49.79957999001615,22.42074972957387,59.27772500784198,0
Total intermediate use at basic prices,2674.670660151766,116.9363568712408,291.4379971032448,162.8219977071262,571.1422194407066,5.203497853850678,415.2200767445403,1566.407297974049,1210.054938616685,1197.988552244449,295.7533398375758,77.22499189746512,557.5189817217012,402.8041437605906,471.8980029499477,1900.244462290738,283.3731728909417,231.3923295919946,0,209.8438573819438,72.33103161668893,58.50081776261115,1133.857313738248,492.3811171387622,159.3022171313587,989.6837121187847,31.60781529100618,200.0851958182357,1193.267257290255,111.0031825726923,369.4909742723729,539.345721711137,318.1741024312225,210.2621938211717,112.4370322032301,49.91362512015061,1517.001119277849,1914.311643229943,327.8635019440802,1419.22846199864,304.630729314873,1476.928695100671,94.65401244879945,460.2786096881688,712.4417278787672,6553.647619290664,2966.098379754501,657.4692638842812,1341.45135210779,11900.86220143852,1105.633430479562,4592.186012294154,2960.643726351434,794.1095576023073,1329.286132069975,228.0537539601852,465.9782889259932,1849.468302088379,462.6940900218465,966.5593338803956,1609.340093725154,136.5972580354696,477.7319513795621,1084.069277677453,1294.144718487426,137.1040561880547,5415.152399942497,2682.852626536358,1535.047970901127,2223.989800799695,2153.665984620066,268.2385107899594,400.518529370266,431.8728814249309,857.8515876186533,3325.788042904478,1119.378312049179,120.6065895315361,515.6114011533075,84.95157618677626,691.3145256311166,993.1058265261645,184.0598864998209,107.5607101340008,1038.438796209597,677.0202793022162,8790.712950331612,3066.53544075898,7149.588732400273,2099.633839107961,137.6397529324053,204.7628364040874,662.4499402376312,729.9293260854328,313.6362119912401,169.1711659786057,432.7163066972443,0
Taxes less subsidies on products,-14.7388341727701,4.470329347759265,7.683459881755092,25.50759496987389,8.642056968293504,0.4799487931493271,28.91614677013219,8.566233995951578,-63.78710788368434,1.532708614551164,-12.4879544895759,-2.541288888465083,4.807330474299363,1.675753920409451,-9.39323156494783,152.3591471272618,6.006438077058807,9.285610878005489,0,9.00914253505631,0.2426922293110385,-1.168265175611194,15.22794886175092,7.818930678435777,1.449417258301423,115.0177349998582,2.040331147993808,2.894737480764485,44.02971736817077,4.264884777152028,4.148252847627356,77.87426932486326,14.59373901277761,11.46686032482832,1.116377037493038,0.3716105729310143,18.82869277415165,43.39135609505772,10.37529554953182,14.10120640835943,2.523558002104285,21.72935630473904,1.848899069200573,11.2500486398311,14.18018309723258,190.2037894182499,24.91965760468133,104.5159499017193,295.8812141519421,377.2877421724712,27.57074868343659,162.4005022658438,53.12250268756797,8.738624313690913,158.6392207133725,8.077335363814969,68.45787463900703,42.16313494061846,62.15154515215314,33.63841290360551,100.1142873728468,0.6458295125304138,1.139343666437771,9.948346299545328,5.027071165573676,0.9295821139453007,600.3329003175033,322.4033373936421,190.7117959828583,31.30737260627994,20.33401532393361,3.584832131040677,3.453340983734059,4.497178172069223,11.55715704634641,44.85948291531304,-122.3376375331791,0.5576213474639273,3.407655726692647,0.7876276492236731,22.89363924888313,19.09838590683666,7.088893825178948,3.311918761999275,14.57875110040224,5.639924986784292,1105.300012549387,317.9967297890201,1006.604342678718,243.8070219320394,17.56919605159484,3.164596076912618,3.307596001368577,96.7558527745673,7.20663749075981,1.92492989539427,63.25334424175511,0
Taxes less subsidies on production,-479.2976128,0.293079405,0.413185605,-0.160424178,0.235621105,0.148830432,-11.16683871,-70.98199172,-0.108829797,-6.199107425,-4.245227687,-0.860115323,-3.137627235,-0.476693839,-3.518327005,-20.77267284,-2.245627107,-3.43577174,0,-5.90496922,-4.950755531,-6.144275249,-3.232162521,3.419169446,-1.187006925,6.000146071,-0.240768475,0.546484732,-0.499627334,-1.806234995,-7,5.170495999,-1.034471398,-2.136024601,0.478426001,-0.472825494,3.994399493,-3,1,0,0.613431598,-7.613431597000001,-4.138347226,-9.089971845,-22.771680934,84.73931029,37.26068971,66.06224372,36.631958642,-268.000000034,0.431386586,96.78032654,73.78828688,-623.5966422,-130.0770985,12.25639758,-22.03036601,41.02288152,14.42482753,-60.2629264,-121.7370736,-6.389475667,-60.940039867,-21.47149874,-3.270373476,-9.928612255,16.71439574,46.18991306,43.0956912,-393.5359642,0,-33.46403576,-13.44055315,-5.62459786,-6.216196053,-26.14777911,5.817558017,-1.399793918,-19.17547829,-13.81315964,-9.334998925,-11.10646768,-6.333876706,-7.564332709,-100.8466205,-9.813703497,0,-35.999999996,-37.37401842,-64.62598158,-14.22462994,-17.14664073,-17.20798319,-49.42074615,-4.097843781,-5.462827047,-60.43932917,0
Compensation of employees,524.856104,89.91842865,102.6656502,56.00908215,104.8054647,3.338381795,83.88477309,902.7768451,200.4107705,270.6416546,64.230642119,15.22297533,357.5516143,175.5398847,53.39382915,816.8421711,101.9159858,84.25047241,0,224.4388921,87.54522791,30.01587999,312.7568764,197.6596974,103.5834262,306.2609401,17.2399998,59.7009562,154.4061423,64.39196161,721,322.7560731,89.00574074,130.2381862,36.22538656,21.26366377,818.51094973,1017,276,670,128.0916641,506.908335952,64.55424265,257.5358179,674.90993941,901.7257605,171.2742395,265.4562497,642.60685067,4787.0000003,1624.320575,2901.124247,4615.555179,369.5336457,1122.0759,182.1158631,217.5780906,1446.9328368,652.7636644,1071.182149,2136.817851,168.3167643,311.5940503100001,1159.354256,2249.447782,213.2871474,3240.385355,753.646782,1698.967863,834.8937871,0,326.1062129,704.6796141,739.2098044,980.4121369,2534.791164,684.0813818,128.8358515,367.9430088,153.0470389,497.0011209,1334.139481,124.3801653,240.4480161,1223.232476,1180.798741,8378,7513,9826.2407389,4497.7592622,115.455436361,231.90431371,92.06634442,796.5739055,388.702866,139.4329419,444.8641921,201
Gross operating surplus,1502.55547,81.51088075,64.96924154,164.9430922,221.456111,-1.647119285,98.42258727,246.224532,30.54114714,127.9947929,33.826125706,8.046302026,100.165056,53.51219879,52.54171548,1963.66661,134.9037365,60.80231579,0,159.057537,58.1731142,4.769348769,275.5431696,82.58229484,23.87453551,73.82656625,3.0273535,21.13913739,626.2129376,12.794005228,700,174.8447574,35.84303591,47.3122067,-1.956884449,6.572020156,291.38486431,308,75,476,120.1903319,-6.190331917999998,14.7790265,304.0644438,286.156529675,1445.875976,205.1240242,650.4073827,604.2787773169999,3829.9999994,467.5500422,1878.738527,2212.71143,29.99713467,495.6332082,65.88144731,79.33906158,707.5798205,81.56932776,428.9065322,542.0934678,48.81587571,109.76744409,1087.551421,797.2628191,27.60244035,2730.931673,2483.468024,1379.600303,3633.550011,13322,88.44998869,455.1335546,322.9298634,385.5114849,1574.915282,169.8021232,67.02260709,141.5167951,113.1682895,653.7167307,256.7980168,63.67598294,46.22593778,358.13710149999997,410.4462303,2984.9999997,2764.9999999,2802.9318727,503.068127657,125.406729959,37.56158221,329.0972529,122.93443494,157.1559412,63.83927317,1146.004786,0
Gross value added,1548.1139612,171.722388805,168.048077345,220.791750172,326.497196805,1.840092942,171.14052165,1078.01938538,230.843087843,392.437340075,93.811540138,22.409162033,454.579043065,228.575389651,102.417217625,2759.73610826,234.574095193,141.61701646,0,377.59145988,140.767586579,28.64095351,585.067883479,283.661161686,126.270954785,386.087652421,20.026584825,81.386578322,780.1194525660001,75.379731843,1414,502.771326499,123.814305252,175.414368299,34.746928112,27.362858432,1113.890213533,1322,352,1146,248.895427598,493.1045724369999,75.19492192400001,552.510289855,938.294788151,2432.34104679,413.65895341,981.92587612,1283.517586629,8348.999999666,2092.302003786,4876.64310054,6902.05489588,-224.06586183,1487.6320097,260.25370799,274.88678617,2195.53553882,748.75781969,1439.8257548,2557.1742452,210.743164343,360.421454533,2225.43417826,3043.440227624,230.960975495,5988.03142374,3283.30471906,3121.6638572,4074.9078339,13322,381.09216583,1146.37261555,1056.51506994,1359.707425747,4083.55866689,859.701063017,194.458664672,490.28432561,252.40216876,1141.382852675,1579.83103012,181.722271534,279.109621171,1480.522957,1581.431267803,11362.9999997,10241.999999904,12591.79859318,4936.201408277,226.63753638,252.31925519,403.95561413,870.0875942900001,541.760963419,197.809388023,1530.42964893,201
Total output at basic prices,4208.045787178996,293.129075024,467.1695343299999,409.121342849,906.2814732140001,7.523539589000006,615.2767451646724,2652.99291735,1377.110918576,1591.958600934,377.0769254859999,97.09286504200003,1016.905355261001,633.0552873320001,564.9219890099998,4812.339717678,523.9537061610005,382.2949569300001,0,596.4444597970001,213.341310425,85.97350609699996,1734.153146078999,783.861209503198,287.0225891746601,1490.789099539643,53.67473126399998,284.3665116210001,2017.416427224426,190.6477991928443,1787.63922712,1119.991317535,456.5821466960001,397.143422445,148.3003373527232,77.64809412508163,2649.720025585,3279.702999325,690.2387974936121,2579.329668407,556.0497149149772,1991.76262384241,171.697833442,1024.038948183,1664.916699127,9176.192455498913,3404.676990769183,1743.911089906,2920.850152888732,20627.14994327699,3225.506182948999,9631.229615099997,9915.821124919003,578.7823200859982,2975.557362483348,496.3847973140001,809.3229497350002,4087.166975848998,1273.603454864,2440.023501584001,4266.628626298,347.986251891,839.292749579,3319.451802236998,4342.612017277,368.9946137969999,12003.516724,6288.560682989999,4847.423624083985,6330.205007305975,15495.999999944,652.9155087510001,1550.344485904,1492.885129537,2229.116170412,7454.206192709791,1856.741737533,315.622875551,1009.30338249,338.1413725959999,1855.591017555,2592.035242553001,372.8710518589999,389.9822500670001,2533.54050431,2264.091472092,21259.012962581,13626.532170452,20747.99166825899,7279.642269317001,381.8464853640001,460.246687671,1069.713150369,1696.77277315,862.603812901,368.905483897,2026.399299868999,201
