,Households,NPISHs,Central government,Local government,Total,Gross fixed capital formation,Valuables,Change in inventories,Total,Non-resident households,"Rest of
UK
exports",Rest of world exports,Total,Total final use, Total use for industry output
Agriculture,1406.466558793975,1.141987353061563,0.08335436227452162,1.702229543236829,1409.394130052548,126.9073773086339,0,-17.70227181288804,109.2051054957458,74.34279390726289,1020.334968478821,262.6859948935801,1357.363757279664,2875.962992827958,4208.045787805322
Forestry planting,19.06346989631271,2.039250387986977,0,0.7176520986727527,21.82037238297244,14.84136435780019,0.006723028947622959,40.54043515592619,55.388522542674,17.9985203832401,8.726362642975765,5.128142619651652,31.85302564586752,109.061920571514,293.1290825535419
Forestry harvesting,25.73635664031378,0.4508011778545845,0.1307812835430762,1.134371140034247,27.45231024174569,1.610476788161992,0,155.216121024786,156.826597812948,0.1990332174423063,84.64741703081694,19.76667859371124,104.6131288419705,288.8920368966641,467.1695342929178
Fishing,26.79275186676556,0.29295605114668,0.01109150086573179,1.39153068242375,28.48833010120172,0.5016741299480821,0.06384344289782276,20.37443636468822,20.93995393753413,3.378166699961118,53.72585183432132,142.4123606625566,199.5163791968391,248.9446632355749,409.1213492780349
Aquaculture,45.25935559592644,0.7341424339781449,0.02442018123407545,3.063736086660137,49.08165429779879,4.237665147625099,0.2008960444048586,-27.34904912287645,-22.91048793084649,5.050066754905383,195.376141145145,384.1571701467558,584.5833780468062,610.7545444137585,906.2814731556323
Coal & lignite,8.276557730384233,0,0,0,8.276557730384233,2.289621284133524,0,-13.29082366767088,-11.00120238353735,0.007307134507754479,1.038412856511461,1.536914509683841,2.582634500703056,-0.1420101524500643,7.523539589930675
"Oil & gas extraction, metal ores & other",24.41712885941596,0.0610880724961012,0,0,24.47821693191206,2.225450064489393,0,36.52277025201847,38.74822031650786,0.6901804610373088,99.24309129263084,75.0037824706989,174.937054224367,238.163491472787,615.2776784081087
Mining Support,78.21405775782515,0.3023266592831276,0,0,78.51638441710827,14.09690062862847,0,-8.413570367191063,5.683330261437403,4.612668370599822,1773.293501108958,504.971955755524,2282.878125235082,2367.077839913628,2652.992917073287
Meat processing,314.400312948006,0.1058439530045688,0,0,314.5061569010106,0.2227380948535471,0,1.474681129178997,1.697419224032544,6.195478406218962,791.4184430750433,85.81805983249158,883.4319813137539,1199.635557438797,1377.110919116689
Fish & fruit processing,288.3222353652706,0.3341149208594951,0,0,288.6563502861301,2.659393778020323,0,10.0689410731912,12.72833485121152,4.12749262573449,722.2428864299483,397.5583218457151,1123.928700901398,1425.313386038739,1591.9586012483
"Dairy products, oils & fats processing",182.3562044151045,0.006790510198133214,0,0,182.3629949253026,0.2246522552264708,0,-0.5485992334928604,-0.3239469782663896,3.10284274136141,103.4027645338797,39.44815977658607,145.9537670518272,327.9928149988634,377.0769258626073
Grain milling & starch,9.1443273861034,0.005644304607531421,0,0,9.149971690710933,0.208923707123554,0,0.3293753658231151,0.538299072946669,0.1819345513748966,58.68436237489015,5.954410820588923,64.82070774685397,74.50897851051157,97.09286513350794
Bakery & farinaceous,402.4111669908,0.07686656456659065,0,0,402.4880335553666,2.169201345659532,0,3.284199725949135,5.453401071608667,5.594091726348776,419.5047779613872,112.7977360269219,537.8966057146579,945.8380403416331,1016.905355508129
Other food,156.2902616558784,0.02713793396219584,0.107030833466477,0,156.4244304233071,1.947601360226674,0,3.022511710675765,4.970113070902439,2.175086805144574,264.2280911359247,134.0124136625068,400.4155916035762,561.8101350977856,633.0552877708946
Animal feeds,124.795369558883,0.02184285479089843,0,0,124.8172124136739,1.711532337656361,0,-5.302176418245221,-3.59064408058886,0.5198946714129175,73.71795353994587,114.4746210267073,188.7124692380661,309.9390375711511,564.9219891786079
