,Households,NPISHs,Central government,Local government,Total,Gross fixed capital formation,Valuables,Change in inventories,Total,Non-resident households,"Rest of
UK
exports",Rest of world exports,Total,Total final use, Total use for industry output
Agriculture,569.2525118639912,0.1389723217872819,0.02505767109408531,0.6004909353491161,570.0170327922217,54.30887436644193,0,3.317541638306345,57.62641600474827,35.65949909677563,415.3702998325774,125.6219498374605,576.6517487668136,1204.295197563784,1760.470811630652
Forestry planting,8.671030585379432,0.8769268504103211,0,0.4162385119573689,9.964195947747122,7.25127694231522,0.000447171643336302,8.597883339910924,15.84960745386948,9.31626192890881,3.352039226256061,1.474181805395037,14.14248296055991,39.95628636217651,139.3236560062869
Forestry harvesting,15.50794476229566,0.2246929867064289,0.07672543931703672,0.6029615321956427,16.41232472051477,0.8017377507281046,0,42.27815549397488,43.07989324470298,0.2635242958918615,45.75153185250789,10.94181153944473,56.95686768784448,116.4490856530622,238.8582804297785
Fishing,10.63565220990361,0.01992627071138977,0,0.3614722553209,11.0170507359359,0.1517399863149952,0,3.999581082755712,4.151321069070707,3.134348118596466,34.82629077661691,67.09330121268862,105.053940107902,120.2223119129086,221.3117981762568
Aquaculture,14.07220191696251,0.04777079101363968,0,0.8665852162748264,14.98655792425098,0.6400042668470098,0,5.674237019169812,6.314241286016822,3.436403753976277,94.51052992436259,78.00518163431789,175.9521153126568,197.2529145229246,306.5623768945803
Coal & lignite,10.06741187727909,0,0,0,10.06741187727909,2.443355112465799,0,-20.83017004453195,-18.38681493206616,0.4402023818363524,68.92942502679733,1.290646026474292,70.66027343510798,62.34087038032091,182.752661111677
"Oil & gas extraction, metal ores & other",9.583814883784996,0.003866827614347053,0,0,9.587681711399343,1.35740616058541,0,-6.52368892249516,-5.16628276190975,0.9442818449419497,25.77061946174285,30.24710230806379,56.96200361474859,61.38340256423818,298.4457994903703
Mining Support,53.64482472552894,0.02697603719737587,0,0,53.67180076272632,19.46972353879459,0,-2.920300462494434,16.54942307630015,7.204639311751656,1410.717671594481,181.7943667608157,1599.716677667049,1669.937901506075,1891.951101710309
Meat processing,315.5793064532356,0.009945762872584422,0,0,315.5892522161082,0.447370025346545,0,0.780865135871334,1.228235161217879,11.06309316347619,497.6568792475838,60.08560501036722,568.8055774214273,885.6230647987533,1062.395687920748
Fish & fruit processing,198.6753030225611,0.01524667200363158,0,0,198.6905496945647,2.115618428565691,0,4.309373582999005,6.424992011564696,5.221623772480219,483.1410314436714,218.3803728035763,706.743028019728,911.8585697258574,1056.267134515818
"Dairy products, oils & fats processing",239.8342909781228,0.001246332208719956,0,0,239.8355373103315,0.9114657199025996,0,-4.099836581654816,-3.188370861752216,7.167562302971012,254.0248091275458,12.03204963160828,273.224421062125,509.8715875107043,592.7060926986845
Grain milling & starch,17.6429805294912,0.0002050134311835022,0,0,17.64318554292238,0.09825047260826918,0,1.779169484237625,1.877419956845894,0.5474540647257736,22.24379158610729,10.91523059391975,33.70647624475281,53.22708174452109,87.71294725342887
Bakery & farinaceous,324.0701352282945,0.00404537720255209,0,0,324.074180605497,1.022561619824139,0,5.958443634404528,6.981005254228667,10.65215170805637,344.454795863222,59.26745035562961,414.374397926908,745.4295837866338,887.1825891690169
Other food,103.9508346528199,0.0001314980000423757,0.1086360745767841,0,104.0596022253968,1.52838214870648,0,1.390385392244879,2.918767540951359,3.031605910811088,162.9355280198464,49.46322867962862,215.4303626102862,322.4087323766342,399.087438419756
Animal feeds,49.39990226838737,0.0001246889479367018,0,0,49.40002695733531,0.6292771497769436,0,3.324748079957685,3.954025229734628,0.4375292577043394,41.62111708726835,13.71421759966794,55.77286394464063,109.1269161317106,206.9023718009571
Spirits & wines,196.6653783173199,0.004030315206851516,0,0,196.6694086325267,10.85997466034468,0,-0.5609195764673351,10.29905508387734,20.63461374702333,541.6333310040405,1494.307582466422,2056.575527217486,2263.54399093389,2476.3061108112
Beer & malt,50.21098886099288,0.001599283991042261,0,0,50.21258814498392,2.008017742742847,0,-0.1396160618029181,1.868401680939929,5.136827919898601,47.90915046247106,86.7112443526764,139.7572227350461,191.8382125609699,235.1138397546664
Soft Drinks,140.3427407324439,0.002024598962397849,0,0,140.3447653314063,0.4867044714478068,0,0.4347531007194685,0.9214575721672753,9.945102612380765,149.4314802040429,5.42609643769006,164.8026792541138,306.0689021576873,338.339166714767
Tobacco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Textiles,161.6974305049426,0.001360941797447374,0,0,161.6987914467401,12.50056749746081,-0.08093827314088235,-0.3671682230619268,12.052461001258,5.299785477894736,168.4943854084871,172.5584128489252,346.3525837353071,520.1038361833051,623.7631145720536
Wearing apparel,113.5795271104844,0.001734894574194128,0,0,113.5812620050586,0.7704262084501243,0.03358260492930454,0.2468646317722459,1.050873445151675,12.94448053694205,96.88395648605264,75.48646622861651,185.3149032516112,299.9470387018215,311.8937189651514
Leather goods,11.38564665914205,1.657039470273842e-09,0,0,11.38564666079909,0.2523998451670165,0.0007604668650379656,0.04407621984280521,0.2972365318748597,2.296764079409889,11.64778281572704,31.18476541424046,45.12931230937739,56.81219550205135,58.67904105368964
Wood and wood products,37.50655653593336,0.004596316466185791,0,0,37.51115285239955,7.149029851330736,-0.2788605389861414,-4.755270405278598,2.114898907065997,4.147682902197046,344.8452593834379,57.54185737593228,406.5347996615672,446.1608514210328,820.1271492078871
Paper & paper products,80.76403547219184,0.004031466132040491,0,0,80.76806693832387,5.099875012309704,-0.01450525583887813,-6.154021166393389,-1.068651409922563,4.439523932856187,352.2663618058274,216.5748639952378,573.2807497339214,652.9801652623228,1108.372598712708
Printing and recording,66.90117298567961,0.003811779538368669,0.04451838223891321,0,66.9495031474569,3.314388442982997,0.1470446330904353,4.317339821879216,7.778772897952648,1.792006791838983,161.0836991778677,32.25371605531178,195.1294220250184,269.8576980704279,612.8073161813478
"Coke, petroleum & petrochemicals",681.0591629121042,0.006250020880484669,3.71620906518356,0,684.7816219981682,21.82621204158446,0.003929372288896134,36.90228165192904,58.73242306580239,11.98977052624575,750.3871033452319,1485.33430869544,2247.711182566918,2991.225227630888,4282.901267243808
"Paints, varnishes and inks etc",2.037431945936736,6.528492104975565e-05,0,0,2.037497230857786,0.9224188189664485,0,-0.008371165807618023,0.9140476531588305,0.1062056697229278,18.24324285208688,22.51722050152466,40.86666902333446,43.81821390735108,62.42443863675996
Cleaning & toilet preparations,17.85261273890695,0.0001311534103506717,0,0,17.8527438923173,10.26638212960174,0.001206906335489069,-0.0457206135010975,10.22186842243614,0.9233834450607303,33.09911775368164,27.75067143436932,61.77317263311168,89.84778494786512,100.8874958633662
Other chemicals,13.8077029333076,0.001588902397334042,0.2997710146845841,0,14.10906285038952,1.352283484328358,0.001586059822102759,-2.395148718422981,-1.04127917427252,0.9799251807563586,37.62599478466672,92.4124470431451,131.0183670085682,144.0861506846852,174.7964625506079
"Inorganic chemicals, dyestuffs & agrochemicals",13.40835740267238,0.0008825869831236584,0.1450264199186916,0,13.5542664095742,7.515080655930613,0,-3.134075289790424,4.381005366140189,0.2547404436081625,29.85663426653818,111.3595101363529,141.4708848464992,159.4061566222136,251.4345340895419
Pharmaceuticals,117.1826819910225,0.007944272208922654,215.659939708097,0,332.8505659713284,11.92807479907862,0.01822873644980785,2.569301577222198,14.51560511275063,2.726969677154293,61.13245526727514,53.13395675223667,116.9933816966661,464.3595527807452,657.2473519277654
Rubber & Plastic,108.8884873522096,0.0111827566775321,0,0,108.8996701088871,26.63272485632554,-0.4786243136048597,1.043085798684345,27.19718634140502,17.49087527135562,312.8604882481295,322.1099243626412,652.4612878821263,788.5581443324185,1262.785648080715
Cement lime & plaster,7.185112005611683,0.00182282496393717,0,0,7.18693483057562,1.57980677158229,0,-15.37261906864852,-13.79281229706623,0.5810127174099825,64.91406448503952,33.09359637045652,98.58867357290602,91.9827961064154,383.0302587333512
"Glass, clay & stone etc",59.95092300204256,0.003279323571167884,0,0,59.95420232561373,12.43898943038908,0.001134407920792743,-77.95927591991159,-65.51915208160172,2.444457204489267,85.10896740357028,70.84044211486173,158.3938667229213,152.8289169669333,428.5459558197411
Iron & Steel,6.420854911948912,0.001537685531175937,0,0,6.422392597480088,0.9253304477595418,0,-6.109247924965127,-5.183917477205584,0.8581354183834297,54.57358739317803,27.13145096608061,82.56317377764206,83.80164889791656,276.8554694080224
Other metals & casting,2.461353409803248,0.001193564931016187,0,0,2.462546974734264,2.124312465147934,0.0004948210812472871,-16.19282017623061,-14.06801289000143,0.2651033331651053,58.06212348247158,47.02753231637098,105.3547591320077,93.7492932167405,192.5433934138076
Fabricated metal,147.463619111288,0.015152301940256,0,0,147.4787714132282,162.0312271985103,-0.6801781877417975,9.609326903710324,170.9603759144788,4.875532563566415,435.8704441698373,411.6364682070216,852.3824449404253,1170.821592268132,2265.310369394106
"Computers, electronics & opticals",410.6449095104629,0.01957717012382464,0,0,410.6644866805868,353.182233121143,-8.807286042450757,-33.90337610723798,310.4715709714542,14.08069357362595,836.829504945285,1733.563602248219,2584.473800767129,3305.60985841917,4621.440587035182
Electrical equipment,100.9586754745789,0.00667014714587337,0,0,100.9653456217247,77.26054657100173,-15.237498429867,-36.69714741488041,25.32590072625432,3.298037737522217,149.1358529739531,245.3939712473191,397.8278619587945,524.1191083067736,722.0277864121718
Machinery & equipment,95.75325938440025,0.02458283921868988,0,0,95.77784222361895,363.6649324098109,-0.6244483119212515,0.2193462357649262,363.2598303336546,6.331338312073284,419.3880076870103,665.6936475513094,1091.412993550393,1550.450666107666,2058.801867334066
Motor Vehicles,76.17776789738,0.001335352047155321,0,0,76.17910324942714,19.38809173812127,-0.03412143178863281,-10.77877617874051,8.57519412759213,0.824242816658475,111.9524076817151,95.70418955105089,208.4808400494245,293.2351374264438,318.8933387488698
Other transport equipment,77.42791243157441,0.00955911472073529,0,0,77.43747154629514,178.4895317788803,-0.138747979836424,4.966298702697839,183.3170825017417,1.524356287986086,584.6595075925338,627.5049463302416,1213.688810210762,1474.443364258799,1674.145033261912
Furniture,125.430627708049,0.001864478930513704,0,0,125.4324921869795,46.41310108937073,-2.862972554069373,-19.46858250989651,24.08154602540484,2.175439827602426,45.41228801055195,13.51278159704903,61.10050943520341,210.6145476475878,237.5667331761377
Other manufacturing,156.1760872775852,0.01030210490863066,0.779601132080614,0,156.9659905145744,14.82377072626459,1.008651070430418,3.004821295738277,18.83724309243328,7.506152496989116,135.3074063417992,124.3803288145533,267.1938876533416,442.9971212603493,543.465013337176
Repair & maintenance,31.88530198694113,0.01786192185832061,0.1804877603840997,0,32.08365166918355,119.1498322414847,-0.3359803812898368,-0.6950170174018124,118.118834842793,1.072056790192903,306.4318133639961,127.7809623726844,435.2848325268734,585.4873190388499,1239.221832984842
Electricity,1029.540648028428,0.01081359827884999,0,0,1029.551461626707,25.53876212839281,0,-0.3275094138950443,25.21125271449777,33.76552047995643,884.1260017984496,9.482569623681336,927.3740919020873,1982.136806243292,4757.890998728421
Gas etc,390.1010751795391,0.002898529440980502,0,0,390.10397370898,4.760960373907343,0,-0.8252754239717408,3.935684949935602,11.53465820116493,436.1736520563383,7.399823412682387,455.1081336701856,849.1477923291013,1660.136351609957
Water and sewerage,581.853123738686,0.009242867041898261,0,0,581.8623666057279,20.28150920562941,0,-5.097128719352205,15.1843804862772,5.403759744740197,12.02522707855266,2.606348991533205,20.03533581482606,617.0820829068311,1165.267520193223
"Waste, remediation & management",18.82383328366193,0.01943134198350955,0,605.7166059058986,624.5598705315441,12.76010831497806,0,-0.1678571091073726,12.59225120587069,6.993512495298855,182.1544383094546,147.1358643229299,336.2838151276833,973.435936865098,1445.750673140266
Construction,261.8480718294648,0.1922884132197494,0,0,262.0403602426845,8065.475682714286,0,86.3716047747391,8151.847287489025,39.58327734108207,1616.140186840543,256.038165374597,1911.761629556222,10325.64927728793,15872.0150617196
Wholesale & Retail - vehicles,1317.019326287404,0.03499935026616382,0,0,1317.05432563767,142.7382347201708,0,0.03675161374813805,142.7749863339189,29.63942467775997,91.75452112751158,9.554542521591202,130.9484883268628,1590.777800298451,2198.772599556836
Wholesale - excl vehicles,730.7872851399592,0.2518954454500532,0.02547061915175274,0.2380855250332793,731.3027367295942,294.0039424565788,0,0.533642467957933,294.5375849245367,42.55362008608852,1490.274319813246,1274.373422609286,2807.20136250862,3833.041684162751,6417.63772299646
Retail - excl vehicles,5460.691165930959,1.937384241329912,0,18.984881672848,5481.613431845137,15.11205368298096,2.448244028273109,0.1762889557121447,17.73658666696621,326.2332432200016,371.1153592018724,334.9490184275909,1032.297620849465,6531.647639361568,7923.244664632577
Rail transport,386.498769447208,0.002049186911376138,0,0,386.5008186341194,0.2121601915674317,0,0.002877471229634746,0.2150376627970664,32.82956474930831,65.98184664435423,1.450867538341891,100.2622789320044,486.9781352289209,691.6178643243614
