,Households,NPISHs,Central government,Local government,Total,Gross fixed capital formation,Valuables,Change in inventories,Total,Non-resident households,"Rest of
UK
exports",Rest of world exports,Total,Total final use, Total use for industry output
Agriculture,790.1204494605996,0.2767493018294119,0.05829500347044287,1.026469017630865,791.4819627835303,101.6821133882966,0,12.9234926445892,114.6056060328858,47.28411471962064,609.8405419287586,132.952450767892,790.0771074162712,1696.164676232687,2506.703906788028
Forestry planting,8.17691370182759,1.082509359259586,0,0.475750054143374,9.73517311523055,6.438032883626673,0.0004340669041602053,11.81467531529216,18.25314226582299,8.82996242015603,3.21697285905336,1.709727126143912,13.7566624053533,41.74497778640685,133.1095764390653
Forestry harvesting,15.73638826890041,0.54451488742568,0.188695938693787,1.314877067584285,17.78447616260416,0.7397677629774083,0,10.33613100146068,11.07589876443809,0.1891634094525887,56.36281158797015,12.97223740307133,69.52421240049406,98.38458732753631,234.0134137113256
Fishing,15.62046933753305,0.05224474586352211,0,0.7131772316276384,16.38589131502421,0.1795188155142295,0,31.80847951807266,31.98799833358689,3.711280087237237,35.45312136985491,86.84030882191217,126.0047102790043,174.3785999276154,326.151726311359
Aquaculture,21.41131757029958,0.115146048190058,0,1.571823893938874,23.09828751242851,0.206279847843353,0,6.823546013101179,7.029825860944532,4.773688688444883,173.3195228195722,170.8334543198157,348.9266658278328,379.0547792012058,550.6550490270143
Coal & lignite,6.47672155857386,0,0,0,6.47672155857386,0.5672496393598141,0,8.812952809792222,9.380202449152035,0.4330198583956396,141.8493803154032,1.597742357780918,143.8801425315797,159.7370665393056,223.139228804902
"Oil & gas extraction, metal ores & other",11.81537305223992,0.007580990603087257,0,0,11.82295404284301,2.269507898308549,0,0.3639017510050306,2.633409649313579,0.9353422741526506,51.85387806107535,65.5996314223841,118.3888517576121,132.8452154497687,324.1782838703793
Mining Support,84.70167876055223,0.0388975282738754,0,0,84.7405762888261,28.05869017321064,0,-34.75995696286564,-6.701266789655001,9.120128790721456,2569.892162671291,289.5927850247332,2868.605076486745,2946.644385985917,3269.475245505309
Meat processing,359.9494179414349,0.01076237366613998,0,0,359.960180315101,0.4752653594022298,0,0.2290156335517435,0.7042809929539733,10.53627283393704,528.809781658952,77.69495227143939,617.0410067643285,977.7054680723835,1217.221047291665
Fish & fruit processing,121.3463251858984,0.02216039431578657,0,0,121.3684855802142,1.932819439923371,0,0.0791289506532886,2.011948390576659,2.846783313288383,613.5961437186186,285.1756066495298,901.6185336814367,1024.998967652228,1122.103195824593
"Dairy products, oils & fats processing",240.8581763275771,0.0005039546149827518,0,0,240.8586802821921,0.788255370119894,0,0.3775406533802939,1.165796023500188,5.73000954500594,360.9894806440369,8.645301685787784,375.3647918748306,617.3892681805229,697.4595481774936
Grain milling & starch,3.553230450371519,0.0002302666490660663,0,0,3.553460717020585,0.1590897256026905,0,-0.3469450133262472,-0.1878552877235567,0.1371731337846611,45.8790445960004,14.57360138246707,60.58981911225213,63.95542454154916,70.31575220575766
