,Agriculture,Forestry planting,Forestry harvesting,Fishing,Aquaculture,Coal & lignite,"Oil & gas extraction, metal ores & other",Mining Support,Meat processing,Fish & fruit processing,"Dairy products, oils & fats processing",Grain milling & starch,Bakery & farinaceous,Other food,Animal feeds,Spirits & wines,Beer & malt,Soft Drinks,Tobacco,Textiles,Wearing apparel,Leather goods,Wood and wood products,Paper & paper products,Printing and recording,"Coke, petroleum & petro-chemicals","Paints, varnishes and inks etc.",Cleaning & toilet preparations,Other chemicals,"Inorganic chemicals, dyestuffs & agro-chemicals",Pharma-ceuticals,Rubber & Plastic,Cement lime & plaster,"Glass, clay & stone etc.",Iron & Steel,Other metals & casting,Fabricated metal,"Computers, electronics & opticals",Electrical equipment,Machinery & equipment,Motor Vehicles,Other transport equipment,Furniture,Other manu-facturing,Repair & maintenance,Electricity,Gas etc.,Water and sewerage,"Waste, remediation & management",Construction,Wholesale & Retail - vehicles,Wholesale - excl vehicles,Retail - excl vehicles,Rail transport,Other land transport,Water transport,Air transport,Support services for transport,Post & courier,Accomm-odation,Food & beverage services,Publishing services,Film video & TV etc.; broadcasting,Telecommunications,Computer services,Information services,Financial services,Insurance & pensions,Auxiliary financial services,Real estate - own,Imputed rent,Real estate - fee or contract,Legal activities,Accounting & tax services,Head office & consulting services,Architectural services etc.,Research & development,Advertising & market research,Other professional services,Veterinary services,Rental and leasing services,Employment services,Travel & related services,Security & investigation,Building & landscape services,Business support services,Public admin & defence,Education,Health,Residential care and social work,Creative services,Cultural services,Gambling,Sports & recreation,Membership organisations,Repairs - personal and household,Other personal services,Households as employers
Total domestic use,653.1898693687552,29.68099514204014,109.9967405805444,59.67864650507924,81.046790700688,107.3660887363234,148.4699572762374,537.8090975365907,507.933664184023,368.6884146619138,317.7927347846341,39.10949557232592,160.7350400598386,110.1878307933716,80.20527726675493,530.1594255137169,98.49354449527544,61.69723724500427,0,185.1084036845842,221.8862967438972,25.23231062890125,318.5790638606953,374.6179112579035,176.6761213225522,517.2414151458065,15.19848709314191,32.33684819828369,54.20264888399306,100.1387505287602,126.6039735125347,270.0519973431312,110.9672385883143,134.3816922060782,70.84738135817527,77.74159685955375,676.4023589329304,3364.139459442918,234.5390847002648,661.2671000430577,107.6410574499834,450.5074579568094,64.64814691097038,79.18084345892767,537.6191844957093,1686.354685659303,312.7171669571319,178.4113302470811,268.8996140140167,4839.669063404538,359.8562926054582,1710.05564482017,1300.407323018762,298.7104929943786,554.7085613031531,121.9530802150037,181.3597333526137,664.7988189168324,212.9626568894059,268.9053846712957,905.6159807738954,172.3615634052058,48.20388298704101,445.0046721886383,424.306705044271,26.11483555344232,1013.813015191794,937.159729066809,343.7362982515062,604.1383283559161,554.8625550224546,76.77399209488453,167.0245403862935,102.9868460619852,123.9455113880919,656.7964061156437,81.33638230234877,50.78142104122031,51.12842772015461,13.95696433408138,190.5829960763991,250.0006986187935,633.8662506311219,35.00955662905498,135.7856707863982,62.04514712080503,1907.299543638915,907.500826423134,1221.982809610663,628.5917652018155,31.87638447442239,74.18659569844844,103.1247368704795,287.0078898278884,80.15344361479646,60.36252100775537,182.0621618315862,0
Imports from rest of UK,370.7007447623117,11.39719258016342,13.41919918995273,36.8749405075601,52.88502277779423,37.87526836146687,53.81285032063758,212.8706904128881,253.1365302662068,196.6860398908908,147.4729070207768,24.34798053665557,172.2623563295946,89.71940524515361,61.1781771608381,414.7838853647523,62.03264188452297,63.35528933108071,0,107.2298288422213,137.8142489010529,20.54557971583918,109.5226777489799,190.7628630148943,123.2484730834718,1441.986634547917,11.47510733884582,25.17587138787975,35.59443975816539,59.40328518252363,84.98215869023826,150.2461952784645,52.03280756440311,59.70056678177709,65.22751791645494,86.12821017737745,431.7797901296793,1687.9133779636,127.4547609019596,372.2605967859174,104.6629060180545,231.6836860388611,46.57424629108267,56.42828523307814,251.9996303254119,381.732192106602,498.4868805115639,35.64147237170318,133.6366052240191,1561.93316658758,291.6849621492854,840.7878496696572,609.6086755140262,116.684545281558,317.4041867219441,49.02559740074519,103.0920114057477,268.177085194817,60.53491175319322,115.830520915619,504.3769717225834,149.6742633140286,75.84941815039855,268.3894580631305,272.45454486028,17.31420682107514,592.0792730424865,674.7400770005955,210.1753175135603,140.4611106551065,141.6197672479667,42.73756750404815,71.6390682405866,46.11193308656356,84.29391404431927,169.4680267973088,29.5445578833221,23.53304224635456,45.57456769810798,6.331512440577652,118.0023060165368,130.550931604798,242.6292580736211,18.03707299841401,53.01321224379839,46.91651678446046,845.0657610517655,418.0093809049554,560.1778654705179,147.7794800054379,31.1546453676079,39.7443955366091,57.02459699941709,152.6935269516738,63.62821224629437,29.60202017644126,68.81986071825882,0
Imports from rest of world,74.83778544323826,3.054811568011002,4.911545039249509,14.61767940028798,6.948676052600371,32.71615925277214,14.38156089301205,112.5528053367649,59.78072315322817,51.81996053493842,34.74436809146864,5.128664116899865,34.49908351520157,20.91105908957619,10.64769964024686,90.76328315911064,15.05162176881072,16.60389657243063,0,58.93902726159673,71.20143682225664,8.115624926058116,47.70667545017382,140.5371134914305,62.02915335855018,173.9503498063749,3.934520195650495,8.450092396141597,17.06821830880077,18.02418962445703,32.83243351417996,72.67485685870439,9.156113261014909,17.80232157981675,19.57273933618471,32.1448492067112,135.8948992316379,3534.586439464202,144.6476692249145,302.9909951975288,44.13369538211091,159.868448456929,16.60137062183421,24.86477755276702,249.6349180038792,55.7931961833611,31.34307441474528,11.8681816512176,54.88571675808848,557.7000948079518,54.84924100619471,217.6652126106553,130.6192325621616,29.41642882767577,106.9368027401842,21.31571940035383,82.11524304809508,114.89232097632,18.58094479471126,32.22870664353793,102.9268474664446,30.71164864674283,16.2344029812616,80.41086666878208,72.92138545183467,4.921504185293172,101.4332016605058,76.68535868237524,25.09808962801206,15.80127196686132,10.05069026537793,7.829629768543742,19.14298962595631,12.04147176945707,21.73955102878612,82.67490453222189,8.635548565680375,6.934158257200687,12.82210650420591,2.533724847279028,35.28050795589514,17.52170433633777,141.4238916061446,6.273498272521463,16.10700122665919,13.71467481041216,429.1008318716402,121.8496760028641,493.3593264652439,38.28711722460972,11.49399847362196,8.364548037179949,20.36019026137631,38.12659571079512,16.60091348478182,28.08656807949853,25.72274211790364,0
Total intermediate use at basic prices,1098.728399574305,44.13299929021456,128.3274848097466,111.1712664129273,140.8804895310826,177.9575163505624,216.664368489887,863.2325932862436,820.8509176034579,617.194415087743,500.0100098968796,68.58614022588135,367.4964799046347,220.8182951281014,152.0311540678399,1035.70659403758,175.5778081486091,141.6564231485156,0,351.2772597884023,430.9019824672068,53.89351527079854,475.808417059849,705.9178877642283,361.9537477645742,2133.178399500099,30.60811462763822,65.96281198230504,106.8653069509592,177.5662253357408,244.4185657169529,492.9730494803001,172.1561594137323,211.884580567672,155.6476386108149,196.0146562436424,1244.077048294248,8586.63927687072,506.6415148271389,1336.518692026504,256.4376588501489,842.0595924525995,127.8237638238873,160.4739062447728,1039.253732825,2123.880073949266,842.547121883441,225.9209842700019,457.4219359961244,6959.302324800071,706.3904957609382,2768.508707100483,2040.63523109495,444.8114671036124,979.0495507652815,192.2943970161027,366.5669878064565,1047.868225087969,292.0785134373104,416.9646122304526,1512.919799962923,352.7474753659773,140.2877041187012,793.8049969205509,769.6826353563856,48.35054655981063,1707.325489894786,1688.58516474978,579.0097053930785,760.4007109778839,706.5330125357992,127.3411893674764,257.8065982528364,161.1402509180059,229.9789764611973,908.9393374451743,119.5164887513512,81.24862154477555,109.5251019224685,22.82220162193806,343.8658100488311,398.0733345599293,1017.919400310888,59.32012789999045,204.9058842568558,122.6763387156776,3181.466136562321,1447.359883330954,2275.520001546424,814.6583624318631,74.52502831565225,122.2955392722375,180.5095241312729,477.8280124903574,160.3825693458726,118.0511092636952,276.6047646677487,0
Taxes less subsidies on products,-22.53676487430538,0.9582243007854112,2.877513100253358,19.57544300807273,1.655067319917304,8.152927952437954,3.314917854628221,3.051349610756429,-77.53973040445818,0.3886045722563107,-41.22583919287958,-4.797149675881283,2.216677065364905,-3.655035979101442,-6.383053134839787,63.04066790941847,6.128448397390841,3.356135743484289,0,21.01597950959758,2.321654681792972,1.807601313201449,8.577120769150675,9.41616769763822,3.285242504426493,275.6137961484563,3.273025627361766,1.198209736694929,11.75183446598578,10.83363445705955,2.689895198046938,93.81390750969895,3.629793431267673,9.992634346328146,2.362048367900084,2.554764128654869,11.39039305075121,91.88049480027583,12.75577085195161,7.782942813495451,5.237282982563792,12.03431636540063,2.032217793112794,4.52340177522695,34.07203755399998,16.171500077783,2.842871218622848,24.34771010299809,67.95071501950427,86.81610005993019,9.99230083506211,81.58415145551805,31.78679642705142,-7.083445346613114,135.7670254487189,3.851916294897249,76.76083635954393,22.12111040503024,35.32371094168928,51.53163003154787,116.5844886490773,1.468716636022338,-0.208789960701122,3.766381817448896,5.806624272613116,0.3869410101893511,201.4627101352147,255.2647083752209,138.1027345761367,8.224882498954141,3.466987486201408,0.9964623035236142,1.800427095163646,1.3247564909941,2.386114537802485,29.20786416674477,-18.89060780035126,0.3157950992244217,1.193732721531531,0.1848537140619375,13.54323803116892,3.1930243620706,23.92085277911206,1.690975423009577,3.867644752144177,1.733374570322234,304.63073917738,119.8559375240459,244.0692529285736,75.02324250813724,8.683537745347724,0.5175761317625378,3.281052943727026,47.33769311364259,7.839869335127307,0.6545505263048869,30.00139235525145,0
Taxes less subsidies on production,-51.48905386,0.073529025,0.130052415,6.534377142,0.135898857,1.767883195,2.55321812,12.67889869,3.963572388,3.496807214,2.36314321,0.386378393,2.69000119,1.423859209,0.795435876,8.846738865,1.110253334,0.923810321,0,4.651032946,5.705209008,0.643758046,7.093417175,11.01153382,6.895049004,18.12068564,0.376577063,1.034651656,1.460509868,2.007575779,3,15.58948989,4.824585245,6.585924868,3.03803942,4.249787776,28.712172801,15,9,18,4.95188925,17.048110752,1.666893206,2.930038533,13.403068266,74.43944549,22.56055451,26.29967378,19.700326214,63,65.17629584,202.8444602,236.979244,11.47710112,42.44117593,13.23159801,13.82308488,36.41309299,15.61394707,37.57786762,86.42213238,10.78577712,4.163971623,28.7735788,25.34021777,1.936454682,51.04674077,36.35977639,16.59348284,-37.44576343,0,1.445763435,14.68995777,9.952387846,9.994070433,35.37475098,6.393859483,2.948395258,5.562811916,1.083766321,14.32844168,19.23432459,20.1779358,4.042376127,9.569537108,6.647384698,0,15,6.468994882,2.531005118,2.325576102,4.175403246,5.294062611,15.20495804,7.09200682,4.674849558,19.23314362,0
Compensation of employees,327.4732838,31.27513599,35.7088332,12.39826995,14.92050986,52.87358025,89.23797068799999,551.8884491,155.4497909,182.0781459,87.777224062,19.45373271,226.124987,96.94687059,34.36730412,396.5772698,79.19499549,51.02967936,0,161.2635613,235.9110896,18.8253491,142.8679926,252.2727659,234.8592415,243.399464,13.34559783,90.38194884,36.38619711,120.4867922,174,301.3325018,77.28570584,130.3817924,52.14068686,55.55306271,673.3062504009999,1309,269,646,100.5944687,354.405531238,61.640708,143.826598,387.53269401,409.7624522,49.23754784,233.3637396,111.219802358,2984.9999997,674.6970393,1424.752677,2296.550284,163.6243061,779.4414351,104.799657,177.8330959,625.2938251,490.0076808,521.8519816,950.1480184,246.265312,83.40601396,604.7329666,709.2477918,52.34791562,1096.139867,874.7518225,372.1083104,291.4803921,0,46.51960786,361.4056521,272.0570873,257.5634717,814.4833885,172.0708478,57.81950266,142.2150968,21.38495312,244.5785336,603.9285012,115.4395153,147.2011475,255.1276563,180.7246461,3527,3951.9999995,2776.8658261,1465.1341743,49.972790339,124.2784477,67.3378718,287.41089017,151.9728586,74.59434334,275.4327981,97
Gross operating surplus,526.0766624,33.27647081,29.90418499,64.01078626,75.1856319,-0.728624431,36.76250076100001,305.9661237,68.13785723,53.3099972,29.819711194,11.05326347,60.50896673,33.31620843,14.03154268,667.5237039,9.85664626,29.44210289,0,75.43815435,77.80048415,9.761361496,33.42411792,58.18500186,42.39088022,169.8986478,12.96822856,2.350609594,84.0129512,0.7695628560000003,435,103.3067299,53.92843782,66.76483227,10.18300941,50.4386976,154.378292946,280,94,325,32.61623791,149.383762124,14.72844248,54.00163454,198.269923016,681.8193165,103.1806835,529.5512838,231.324711839,1675,310.1724625,1020.299212,1820.528326,20.72775414,468.1832478,52.07962449,148.5187864,331.2870696,50.20351754,308.7830712,408.2169288,139.3186132,68.28784879,515.4336084,254.2341739,31.72575572,672.4913095,840.1805634,308.328127,1830.75089,7114,22.24910971,240.7812769,149.5195909,95.3273969,317.0890805,102.5363538,33.09114357,73.1740741,33.48108326,241.9298424,127.5897346,31.46400778,29.84445978,99.81892314,86.35303233,1180.99999975,708,930.3172944,91.682705583,14.669792511,21.645718411,82.32533288,95.3591562,80.35019984,44.5098021,378.1399981,0
Gross value added,802.06089234,64.625135825,65.743070605,82.943433352,90.242040617,53.91283901400001,128.553689569,870.53347149,227.551220518,238.884950314,119.960078466,30.893374573,289.32395492,131.686938229,49.194282676,1072.947712565,90.161895084,81.39559257100001,0,241.352748596,319.416782758,29.230468642,183.385527695,321.46930158,284.145170724,431.41879744,26.690403453,93.76721009,121.859658178,123.263930835,612,420.22872159,136.038728905,203.732549538,65.36173569,110.241548086,856.396716148,1604,372,989,138.16259586,520.837404114,78.036043686,200.758271073,599.205685292,1166.02121419,174.97878585,789.2146971799999,362.244840411,4722.9999997,1050.04579764,2647.8963492,4354.057854,195.82916136,1290.06585883,170.1108795,340.17496718,992.99398769,555.82514541,868.21292042,1444.78707958,396.36970232,155.857834373,1148.9401538,988.8221834699999,86.010126022,1819.67791727,1751.29216229,697.02992024,2084.78551867,7114,70.214481005,616.8768867699999,431.529066046,362.884939033,1166.94721998,281.001061083,93.859041488,220.951982816,55.949802701,500.83681768,750.75256039,167.08145888,181.087983407,364.516116548,273.725063128,4707.99999975,4674.9999995,3713.652115382,1559.347885001,66.968158952,150.099569357,154.957267291,397.97500441,239.41506526,123.778994998,672.80593982,97
Total output at basic prices,1878.25252704,109.716359416,196.948068515,213.690142773,232.7775974679999,240.0232833170003,348.5329759135152,1736.817414387,970.8624077169998,856.4679699739994,578.74424917,94.68236512300007,659.0371118899997,348.850197378,194.8423836090001,2171.694974511998,271.8681516299999,226.4081514629999,0,613.6459878939999,752.6404199069998,84.931585226,667.7710655239997,1036.803357041867,649.3841609930007,2840.210993088555,60.57154370799999,160.928231809,240.476799594945,311.6637906278004,859.1084609149998,1007.015678579999,311.82468175,425.6097644520001,223.371422668715,308.8109684582973,2111.864157492999,10282.519771671,891.3972856790905,2333.301634839999,399.8375376927127,1374.931312932,207.8920253030001,365.7555790929998,1672.531455671,3306.072788217049,1020.368778952064,1039.483391553,887.6174914266286,11769.11842456,1766.428594236,5497.989207756001,6426.479881522001,633.5571831169993,2404.882435044,366.257192811,783.5027913460004,2062.983323183,883.2273697889997,1336.709162682001,3074.291368192001,750.5858943219996,295.936748531,1946.511532538,1764.311443098999,134.747613592,3728.466117300001,3695.142035415,1414.142360209215,2853.411112146838,7824.000000022001,198.552132676,876.483912118,593.9940734549999,595.2500300319997,2105.094421591919,381.626942034,175.423458132,331.67081746,78.956858037,858.24586576,1152.018919312,1208.92171197,242.09908673,573.289645557,398.1347764139999,8194.0968754897,6242.215820354999,6233.241369856998,2449.029489941001,150.176725013,272.912684761,338.747844366,923.140710014,407.6375039409999,242.4846547880001,979.4120968430002,97
