,Households,NPISHs,Central government,Local government,Total,Gross fixed capital formation,Valuables,Change in inventories,Total,Non-resident households,"Rest of
UK
exports",Rest of world exports,Total,Total final use, Total use for industry output
Agriculture,1038.997679396493,0.3547307696359292,0.03335244537684836,1.018527696358558,1040.404290307864,131.1286626221985,0,17.69852022469938,148.8271828468979,52.99126505945605,705.6660266276043,167.2876699429062,925.9449616299667,2115.176434784728,3180.60928236157
Forestry planting,10.57605538421636,0.7774786620891448,0,0.5871378111124275,11.94067185741793,7.132611291636804,0.0006820743899637079,0.9218859726164744,8.055179338643242,8.36619890495313,4.108579810870086,2.3769963553131,14.85177507113632,34.84762626719749,150.934987488179
Forestry harvesting,11.92146296041172,0.2035136487861283,0.0558066304160021,0.4283166320953767,12.60909987170922,0.8494836000610915,0,13.01229142180636,13.86177502186745,0.2113455036023762,60.28704666150109,18.29874521431304,78.79713737941651,105.2680122729932,266.1795764094789
Fishing,15.32168072771361,0.1441613237694163,0.01893971878495754,0.7448933760604816,16.22967514632846,0.1410571331117042,0,20.83412480851544,20.97518194162714,3.87350307241698,40.20407015740355,104.3288761379885,148.406449367809,185.6113064557647,321.9699447550984
Aquaculture,28.14362745454566,0.3186151179032957,0.04172309103576633,1.649246038795552,30.15321170228027,0.153698838187561,0,1.208306398125331,1.362005236312892,4.756833027637262,189.6492622732176,244.6116447736707,439.0177400745255,470.5329570131187,712.8506495321178
Coal & lignite,3.231126844792714,0,0,0,3.231126844792714,1.072356171388942,0,-11.72014944681628,-10.64779327542734,0.2108962131704259,93.23394678147532,1.164606110973283,94.60944910561903,87.19278267498441,121.9924646315
"Oil & gas extraction, metal ores & other",15.53433950906295,0.005838015762515207,0,0,15.54017752482547,1.364679379791539,0,5.350902793721051,6.71558217351259,0.9648433495955374,60.27431025546546,74.17353153001591,135.4126851350769,157.668444833415,413.17205880635
Mining Support,115.9228485639494,0.1338759312374849,0,0,116.0567244951869,18.61224594030924,0,0.02918132009823404,18.64142726040747,11.55621435401955,2517.541372505887,413.4025094368909,2942.500096296798,3077.198248052393,3495.762069957598
Meat processing,217.1690882216788,0.04034231030863096,0,0,217.2094305319874,1.542787515706565,0,0.09950617793557692,1.642293693642142,6.487668504178368,724.0780151896521,69.12515804173908,799.6908417355695,1018.542565961199,1145.280268411357
Fish & fruit processing,200.4179711163255,0.03788451843547738,0,0,200.455855634761,1.069525876236788,0,1.811453924274848,2.880979800511636,4.151573955187685,597.2888853726397,298.9899957761327,900.4304551039601,1103.767290539233,1256.189222497198
"Dairy products, oils & fats processing",300.0415979961318,0.002774298082114796,0,0,300.0443722942139,0.5748852582306012,0,-5.541771567499968,-4.966886309269366,7.082124410600673,247.3454846868434,17.69094366965242,272.1185527670965,567.1960387520411,666.80032672104
Grain milling & starch,7.746086902584551,0.001160947631287343,0,0,7.747247850215839,0.09691740608449823,0,0.08147707799928611,0.1783944840837843,0.2269726468199549,53.42733413014091,5.651087428268867,59.30539420522973,67.23103653952936,87.41426174719359
Bakery & farinaceous,362.914161634625,0.02389195845959136,0,0,362.9380535930846,1.326947462888383,0,-0.8637802727519429,0.4631671901364406,8.618178057244355,515.9928168860566,102.6719045377726,627.2828994810735,990.6841202642946,1081.180970412842
Other food,171.5696382774622,0.01603756334253242,0.2191639723320698,0,171.8048398131368,1.623636987057134,0,-1.086501969107939,0.5371350179491956,3.592948834168681,267.1718724942761,77.83913748230343,348.6039588107482,520.9459336418341,627.9551753787234
Animal feeds,46.64215230806214,0.002370027854576094,0,0,46.64452233591672,0.6945782141050654,0,1.729583249283251,2.424161463388316,0.3586083926784363,95.72442049033633,31.87402100487123,127.957049887886,177.025733687191,269.9561533386689
Spirits & wines,232.3511626687862,0.0969193731997393,0,0,232.448082041986,17.47761102461122,0,4.762726855120533,22.24033787973175,17.46488065514118,624.7301119565388,3083.580462967887,3725.775455579567,3980.463875501285,4187.583655493588
Beer & malt,16.36463753427331,0.02090225215726538,0,0,16.38553978643058,1.565802034626864,0,0.2902399872818585,1.856042021908723,1.131474966796311,63.74475810553638,141.4864587984212,206.3626918707539,224.6042736790932,239.9123149597265
